Candidate: 0x92, Correlation: -0.45762892187393195
Candidate: 0x0, Correlation: -0.4159717779388867
Candidate: 0x1a, Correlation: -0.3803290252393242
Candidate: 0x12, Correlation: -0.36360837370481425
Candidate: 0x94, Correlation: -0.3613185752498075
Candidate: 0x9a, Correlation: -0.35942580337082497
Candidate: 0x96, Correlation: -0.349245036920425
Candidate: 0x2c, Correlation: -0.3489997301805357
Candidate: 0xd2, Correlation: -0.34328847670645735
Candidate: 0xb2, Correlation: -0.342037435783717
Candidate: 0x93, Correlation: -0.33995170956017273
Candidate: 0x4c, Correlation: -0.33943382906949665
Candidate: 0x6c, Correlation: -0.3390612720202175
Candidate: 0xa2, Correlation: -0.3339226765941176
Candidate: 0x8c, Correlation: -0.33006477919663774
Candidate: 0xfe, Correlation: -0.32946100346942153
Candidate: 0x1, Correlation: -0.31337491162424946
Candidate: 0xf8, Correlation: -0.3133551452184763
Candidate: 0xfc, Correlation: -0.31044918471500366
Candidate: 0xc0, Correlation: -0.30827672261796707
Candidate: 0xe0, Correlation: -0.30783643824805623
Candidate: 0x10, Correlation: -0.30606167951742336
Candidate: 0x80, Correlation: -0.3035140024663588
Candidate: 0x30, Correlation: -0.29261797177107507
Candidate: 0x78, Correlation: -0.28387963121311865
Candidate: 0x50, Correlation: -0.2832346718532768
Candidate: 0x70, Correlation: -0.28289659775153336
Candidate: 0x1c, Correlation: -0.2814147012345805
Candidate: 0xaa, Correlation: -0.27812255179688633
Candidate: 0x3a, Correlation: -0.27734492510106346
Candidate: 0x90, Correlation: -0.27397872999729805
Candidate: 0xac, Correlation: -0.2720278592893764
Candidate: 0x1e, Correlation: -0.26958527621438677
Candidate: 0x2a, Correlation: -0.2654994944514554
Candidate: 0x1b, Correlation: -0.26380530987971956
Candidate: 0xcc, Correlation: -0.26288146573656124
Candidate: 0xec, Correlation: -0.2622018139531089
Candidate: 0x14, Correlation: -0.2614348039289561
Candidate: 0x5a, Correlation: -0.2614099033624097
Candidate: 0x32, Correlation: -0.2605430295762789
Candidate: 0x9c, Correlation: -0.25743129934736897
Candidate: 0x98, Correlation: -0.25529782635107096
Candidate: 0x3c, Correlation: -0.254875042644116
Candidate: 0x5c, Correlation: -0.2536548265563275
Candidate: 0xc, Correlation: -0.25348335017610696
Candidate: 0x22, Correlation: -0.2516040744564711
Candidate: 0x8, Correlation: -0.2512506385879377
Candidate: 0xd8, Correlation: -0.25063531862529326
Candidate: 0xd4, Correlation: -0.2474948195495534
Candidate: 0x7c, Correlation: -0.24504987786058188
Candidate: 0xb4, Correlation: -0.24469962263870307
Candidate: 0x16, Correlation: -0.24452326551979528
Candidate: 0x95, Correlation: -0.24227163804354243
Candidate: 0xa4, Correlation: -0.24197443641715552
Candidate: 0x52, Correlation: -0.2405345553756526
Candidate: 0x9e, Correlation: -0.23964746406948456
Candidate: 0x88, Correlation: -0.23962594211818108
Candidate: 0x58, Correlation: -0.23926048729461982
Candidate: 0xda, Correlation: -0.2369516108107517
Candidate: 0xba, Correlation: -0.23610616307339485
Candidate: 0xd6, Correlation: -0.23554428207838476
Candidate: 0xb6, Correlation: -0.23370058062996746
Candidate: 0x13, Correlation: -0.23246083136595302
Candidate: 0x97, Correlation: -0.23196284122058716
Candidate: 0x9b, Correlation: -0.228457001789656
Candidate: 0xf2, Correlation: -0.22838360146169026
Candidate: 0xff, Correlation: -0.22746476346557615
Candidate: 0xa6, Correlation: -0.22700452924998327
Candidate: 0xf6, Correlation: -0.22694786593052726
Candidate: 0x60, Correlation: -0.2265392895300431
Candidate: 0xd3, Correlation: -0.22630024465693951
Candidate: 0x3e, Correlation: -0.2247775243984328
Candidate: 0xfa, Correlation: -0.2242356087047253
Candidate: 0xb3, Correlation: -0.22416837923248104
Candidate: 0xbe, Correlation: -0.22246224649959698
Candidate: 0xde, Correlation: -0.2218067462099074
Candidate: 0xe2, Correlation: -0.22015292452922416
Candidate: 0xe, Correlation: -0.21989249579429296
Candidate: 0xc2, Correlation: -0.21779234293997635
Candidate: 0x7e, Correlation: -0.21756673124493225
Candidate: 0xa3, Correlation: -0.21625093747375698
Candidate: 0xb0, Correlation: -0.21596653915417796
Candidate: 0x76, Correlation: -0.2121278619838842
Candidate: 0xf9, Correlation: -0.21069431387997173
Candidate: 0xf4, Correlation: -0.20816468147873488
Candidate: 0x36, Correlation: -0.20780114714569622
Candidate: 0xfd, Correlation: -0.20777046430939686
Candidate: 0x20, Correlation: -0.20767283627495045
Candidate: 0xd0, Correlation: -0.20692101799612753
Candidate: 0xe8, Correlation: -0.2066869094611948
Candidate: 0xf0, Correlation: -0.20626662985325814
Candidate: 0xb8, Correlation: -0.20620751091136116
Candidate: 0xc1, Correlation: -0.2057049235300354
Candidate: 0xe1, Correlation: -0.2056636340134325
Candidate: 0x11, Correlation: -0.2036769825101929
Candidate: 0xbc, Correlation: -0.20320768300205266
Candidate: 0xdc, Correlation: -0.20271416566281686
Candidate: 0x81, Correlation: -0.20127352747427282
Candidate: 0xa0, Correlation: -0.20092958820649107
Candidate: 0x2d, Correlation: -0.1989096449952393
Candidate: 0x40, Correlation: -0.1987216753767051
Candidate: 0x91, Correlation: -0.19725253257219494
Candidate: 0x68, Correlation: -0.19536574024164585
Candidate: 0x38, Correlation: -0.19330969213191332
Candidate: 0x4a, Correlation: -0.1917337544500094
Candidate: 0x6a, Correlation: -0.1908227248290113
Candidate: 0x4d, Correlation: -0.1895094479523408
Candidate: 0x6d, Correlation: -0.1891360687242102
Candidate: 0x24, Correlation: -0.18639762922470487
Candidate: 0x8a, Correlation: -0.18182106015636113
Candidate: 0xea, Correlation: -0.1812113868754534
Candidate: 0x8d, Correlation: -0.18005149976798795
Candidate: 0x6, Correlation: -0.17923713728743643
Candidate: 0x44, Correlation: -0.17725260917873462
Candidate: 0x64, Correlation: -0.17617038717002428
Candidate: 0x7a, Correlation: -0.17044849683521382
Candidate: 0x89, Correlation: -0.17012844678863703
Candidate: 0x86, Correlation: -0.16793448964923824
Candidate: 0x56, Correlation: -0.16778159035333004
Candidate: 0x84, Correlation: -0.1673309394037878
Candidate: 0xca, Correlation: -0.1671190514391908
Candidate: 0x1d, Correlation: -0.1654650794583694
Candidate: 0xae, Correlation: -0.16338178008602466
Candidate: 0x34, Correlation: -0.16025151381605865
Candidate: 0xc8, Correlation: -0.16020398061008806
Candidate: 0xab, Correlation: -0.15782945703420775
Candidate: 0x5e, Correlation: -0.15506164225784877
Candidate: 0x8e, Correlation: -0.1548408139483836
Candidate: 0x62, Correlation: -0.1541505554809197
Candidate: 0x1f, Correlation: -0.15406958280138944
Candidate: 0x72, Correlation: -0.1533910863181888
Candidate: 0x2e, Correlation: -0.15292994176368044
Candidate: 0x18, Correlation: -0.14912225949097424
Candidate: 0x48, Correlation: -0.148849758978194
Candidate: 0x2b, Correlation: -0.14704057002874765
Candidate: 0x5b, Correlation: -0.14605466418203417
Candidate: 0x9, Correlation: -0.1446553994556099
Candidate: 0x8f, Correlation: -0.14428635573131038
Candidate: 0x31, Correlation: -0.14289347523720305
Candidate: 0x71, Correlation: -0.14215355225446435
Candidate: 0x42, Correlation: -0.14026574520042445
Candidate: 0x74, Correlation: -0.14009289233044833
Candidate: 0x3b, Correlation: -0.13995220737549613
Candidate: 0x51, Correlation: -0.13921585657539143
Candidate: 0x54, Correlation: -0.13898816559787397
Candidate: 0x99, Correlation: -0.13650736534684405
Candidate: 0x26, Correlation: -0.13631243204186552
Candidate: 0xa8, Correlation: -0.1358930998474046
Candidate: 0x4e, Correlation: -0.13564571836440315
Candidate: 0xe6, Correlation: -0.13493915326669648
Candidate: 0x6e, Correlation: -0.1347568329271649
Candidate: 0x23, Correlation: -0.13093947505307563
Candidate: 0x15, Correlation: -0.13008459792082816
Candidate: 0x28, Correlation: -0.12999741608713727
Candidate: 0xd5, Correlation: -0.12916884141034435
