Candidate: 0x7e, Correlation: -0.6181217662817312
Candidate: 0x8e, Correlation: -0.5353129021030736
Candidate: 0x3e, Correlation: -0.516802792153627
Candidate: 0x7f, Correlation: -0.5065033496696252
Candidate: 0x9e, Correlation: -0.5048921440086457
Candidate: 0xba, Correlation: -0.4997773076087386
Candidate: 0xc0, Correlation: -0.49829500380383684
Candidate: 0x1a, Correlation: -0.4961356933848081
Candidate: 0x96, Correlation: -0.49559237574202636
Candidate: 0xf, Correlation: -0.4887458722265844
Candidate: 0x5e, Correlation: -0.48870862732124104
Candidate: 0xf5, Correlation: -0.4879066031590895
Candidate: 0x92, Correlation: -0.4837850279394433
Candidate: 0xb, Correlation: -0.4832608365764544
Candidate: 0x7a, Correlation: -0.4794184082682829
Candidate: 0x9d, Correlation: -0.4779151193369986
Candidate: 0x3f, Correlation: -0.476143257823124
Candidate: 0x1c, Correlation: -0.4759140207987131
Candidate: 0x9a, Correlation: -0.47386766259906193
Candidate: 0xe, Correlation: -0.47333402275870357
Candidate: 0x5, Correlation: -0.47318221515439807
Candidate: 0x1e, Correlation: -0.4685354719419855
Candidate: 0x8b, Correlation: -0.4664729089125966
Candidate: 0x9b, Correlation: -0.46619921744236575
Candidate: 0x94, Correlation: -0.4656219360778729
Candidate: 0x9c, Correlation: -0.4655742848117846
Candidate: 0x58, Correlation: -0.4631197529776576
Candidate: 0x1b, Correlation: -0.4624795750720913
Candidate: 0x33, Correlation: -0.4605379588046126
Candidate: 0x7d, Correlation: -0.4594452482530939
Candidate: 0x75, Correlation: -0.45916130147069056
Candidate: 0x7b, Correlation: -0.458955283890634
Candidate: 0x43, Correlation: -0.4552694569067653
Candidate: 0x78, Correlation: -0.45461136557945525
Candidate: 0xfe, Correlation: -0.45366082841460237
Candidate: 0x3a, Correlation: -0.452797920266748
Candidate: 0xa0, Correlation: -0.45172330429184443
Candidate: 0xee, Correlation: -0.449799431556324
Candidate: 0x73, Correlation: -0.44925643736288745
Candidate: 0x83, Correlation: -0.44694245963909135
Candidate: 0x93, Correlation: -0.4467109947680652
Candidate: 0xa2, Correlation: -0.4463800914702807
Candidate: 0x8f, Correlation: -0.44560455537425353
Candidate: 0x5f, Correlation: -0.4450600299650969
Candidate: 0x98, Correlation: -0.444641996725604
Candidate: 0x76, Correlation: -0.44408195978737963
Candidate: 0x87, Correlation: -0.4434587858109361
Candidate: 0x8a, Correlation: -0.4429439054134054
Candidate: 0xe3, Correlation: -0.44262491377985824
Candidate: 0xca, Correlation: -0.44030216453843296
Candidate: 0x1d, Correlation: -0.439913611783869
Candidate: 0x32, Correlation: -0.4395940126834156
Candidate: 0xbe, Correlation: -0.43901793055158106
Candidate: 0x55, Correlation: -0.437105105991887
Candidate: 0x3b, Correlation: -0.4364052082659639
Candidate: 0xfb, Correlation: -0.43496964829982987
Candidate: 0x88, Correlation: -0.4327308660804559
Candidate: 0xde, Correlation: -0.4288572580038252
Candidate: 0x1f, Correlation: -0.42823767485186054
Candidate: 0x90, Correlation: -0.42812161149239797
Candidate: 0x41, Correlation: -0.42757780786542815
Candidate: 0x42, Correlation: -0.4254107949289299
Candidate: 0xff, Correlation: -0.4252788507101734
Candidate: 0xd5, Correlation: -0.4244618512371075
Candidate: 0x74, Correlation: -0.42343931528309425
Candidate: 0x77, Correlation: -0.42070620360446825
Candidate: 0xf4, Correlation: -0.4205637984890998
Candidate: 0xa1, Correlation: -0.42044468081553665
Candidate: 0x86, Correlation: -0.41869941495174645
Candidate: 0xa6, Correlation: -0.4182459369276621
Candidate: 0x60, Correlation: -0.41818366353813574
Candidate: 0x81, Correlation: -0.41789912563551473
Candidate: 0x89, Correlation: -0.4173330134666954
Candidate: 0x6f, Correlation: -0.4159279577706492
Candidate: 0x6e, Correlation: -0.415894282074059
Candidate: 0x14, Correlation: -0.4141901556109527
Candidate: 0x3d, Correlation: -0.41409588241561224
Candidate: 0x85, Correlation: -0.4125899837358984
Candidate: 0x68, Correlation: -0.4123887402095072
Candidate: 0xbb, Correlation: -0.41211895042602864
Candidate: 0x0, Correlation: -0.41210667216888314
Candidate: 0xf0, Correlation: -0.4116205164670518
Candidate: 0xb2, Correlation: -0.410641871133057
Candidate: 0x95, Correlation: -0.4101916455389276
Candidate: 0xea, Correlation: -0.4091077761363304
Candidate: 0x70, Correlation: -0.40902899170440477
Candidate: 0x65, Correlation: -0.40661957957362255
Candidate: 0x8d, Correlation: -0.4054625661401396
Candidate: 0x9f, Correlation: -0.4053400606303593
Candidate: 0x3, Correlation: -0.4051879146963025
Candidate: 0xa4, Correlation: -0.4048735586178051
Candidate: 0x36, Correlation: -0.404805434033642
Candidate: 0x80, Correlation: -0.4040009669097193
Candidate: 0xe2, Correlation: -0.4037150692588487
Candidate: 0xae, Correlation: -0.4031457273579353
Candidate: 0xc1, Correlation: -0.40265041623019604
Candidate: 0xcc, Correlation: -0.4002504643047587
Candidate: 0xaa, Correlation: -0.39991613767131856
