Candidate: 0x8c, Correlation: -0.48142078799332727
Candidate: 0x92, Correlation: -0.44835887023052207
Candidate: 0x90, Correlation: -0.43984132437352946
Candidate: 0x0, Correlation: -0.43583963290023325
Candidate: 0x96, Correlation: -0.4076012366862489
Candidate: 0xc, Correlation: -0.40386266596087217
Candidate: 0x7c, Correlation: -0.392687377704151
Candidate: 0x9e, Correlation: -0.3838929128416307
Candidate: 0xa6, Correlation: -0.3783079221476439
Candidate: 0x1a, Correlation: -0.37174380720713424
Candidate: 0x9a, Correlation: -0.36487362980755034
Candidate: 0x94, Correlation: -0.36316536871064065
Candidate: 0x10, Correlation: -0.35917993927933073
Candidate: 0x8a, Correlation: -0.35369435352711887
Candidate: 0xb2, Correlation: -0.35280287260519066
Candidate: 0xae, Correlation: -0.35158501199989517
Candidate: 0x12, Correlation: -0.3512740805278735
Candidate: 0x80, Correlation: -0.3511306658561004
Candidate: 0x8d, Correlation: -0.34737144874798176
Candidate: 0xfe, Correlation: -0.3441098088763255
Candidate: 0x84, Correlation: -0.3438540997025428
Candidate: 0xf8, Correlation: -0.333476933899065
Candidate: 0xd6, Correlation: -0.33269925177979337
Candidate: 0x93, Correlation: -0.33204118257075405
Candidate: 0xd2, Correlation: -0.33005914571696177
Candidate: 0xfc, Correlation: -0.33000631136542796
Candidate: 0xc0, Correlation: -0.32694744840457907
Candidate: 0xea, Correlation: -0.32422915681596287
Candidate: 0xa2, Correlation: -0.3226643709182083
Candidate: 0x4c, Correlation: -0.32080426735603956
Candidate: 0x1, Correlation: -0.31916560819441947
Candidate: 0xaa, Correlation: -0.3175771482084513
Candidate: 0x6c, Correlation: -0.3134232285254551
Candidate: 0xde, Correlation: -0.3129848972780907
Candidate: 0xe0, Correlation: -0.31022382164587026
Candidate: 0x8e, Correlation: -0.3100875896848948
Candidate: 0x91, Correlation: -0.3052241993020368
Candidate: 0xe6, Correlation: -0.30233885563231133
Candidate: 0x88, Correlation: -0.299943447823888
Candidate: 0x98, Correlation: -0.2896670080379927
Candidate: 0xe2, Correlation: -0.286987492958677
Candidate: 0xec, Correlation: -0.28487549672464246
Candidate: 0x1c, Correlation: -0.2832393299024211
Candidate: 0x16, Correlation: -0.28156897757871513
Candidate: 0xee, Correlation: -0.2797064970414368
Candidate: 0xac, Correlation: -0.27767577065624105
Candidate: 0x50, Correlation: -0.27705924360802214
Candidate: 0x9c, Correlation: -0.2736202917562312
Candidate: 0x70, Correlation: -0.2713969189140074
Candidate: 0xa, Correlation: -0.27080025687193965
Candidate: 0xb4, Correlation: -0.26888431212611225
Candidate: 0x3a, Correlation: -0.26798825947874966
Candidate: 0x97, Correlation: -0.26743346181856864
Candidate: 0xd, Correlation: -0.2649128141160863
Candidate: 0x14, Correlation: -0.26132237010973786
Candidate: 0x7a, Correlation: -0.2611765992635466
Candidate: 0xa0, Correlation: -0.26109405175831013
Candidate: 0xa8, Correlation: -0.2579674932072871
Candidate: 0x4, Correlation: -0.25778079708779644
Candidate: 0xca, Correlation: -0.25586826583821015
Candidate: 0x1b, Correlation: -0.2555102628905626
Candidate: 0x1e, Correlation: -0.25524175804309635
Candidate: 0x7d, Correlation: -0.25515284076849115
Candidate: 0x2a, Correlation: -0.253955724959218
Candidate: 0xe4, Correlation: -0.2518512338054819
Candidate: 0x74, Correlation: -0.25099150218201544
Candidate: 0xda, Correlation: -0.2507287341506946
Candidate: 0x26, Correlation: -0.25052773462514033
Candidate: 0xa4, Correlation: -0.24847437562065017
Candidate: 0x32, Correlation: -0.24812007207115055
Candidate: 0x95, Correlation: -0.2481017255452021
Candidate: 0xba, Correlation: -0.24803252416343358
Candidate: 0xd4, Correlation: -0.2456498733193302
Candidate: 0x5a, Correlation: -0.24433083691264634
Candidate: 0xb6, Correlation: -0.2441323434040399
Candidate: 0x9f, Correlation: -0.24250054263532
Candidate: 0x22, Correlation: -0.24159423708356118
Candidate: 0xf6, Correlation: -0.2405937802651044
Candidate: 0xb3, Correlation: -0.23962913893820859
Candidate: 0xfa, Correlation: -0.23957789836270246
Candidate: 0xa7, Correlation: -0.23867707973366714
Candidate: 0x9b, Correlation: -0.238083991137438
Candidate: 0xbe, Correlation: -0.23750701255165793
Candidate: 0xcc, Correlation: -0.23707089268378648
Candidate: 0xf2, Correlation: -0.23659028207776875
Candidate: 0xb8, Correlation: -0.23145404528709565
Candidate: 0xf4, Correlation: -0.23082817469287692
Candidate: 0xe, Correlation: -0.229815361461788
Candidate: 0x3c, Correlation: -0.2296831560937706
Candidate: 0xb0, Correlation: -0.22782487289568892
Candidate: 0xff, Correlation: -0.226426360551695
Candidate: 0xc2, Correlation: -0.22564213732277555
Candidate: 0x2, Correlation: -0.22520199215135686
Candidate: 0x13, Correlation: -0.22415574314347836
Candidate: 0xbc, Correlation: -0.2240804864944527
Candidate: 0x7e, Correlation: -0.22329618170715815
Candidate: 0x5c, Correlation: -0.22264538830509667
Candidate: 0x11, Correlation: -0.22159478937655816
Candidate: 0xf0, Correlation: -0.22033163484554674
Candidate: 0x8, Correlation: -0.2194369931214265
Candidate: 0x52, Correlation: -0.21923679688159822
Candidate: 0xd3, Correlation: -0.21905722706732536
Candidate: 0x2e, Correlation: -0.21904242466730167
Candidate: 0x85, Correlation: -0.21850420646469496
Candidate: 0xf9, Correlation: -0.21840190356566966
Candidate: 0x78, Correlation: -0.2164600704044438
Candidate: 0x8b, Correlation: -0.2160039637951567
Candidate: 0xd8, Correlation: -0.21534931146552042
Candidate: 0x3e, Correlation: -0.2151703439696238
Candidate: 0x81, Correlation: -0.2149048540571234
Candidate: 0xfd, Correlation: -0.21270285486363674
Candidate: 0xaf, Correlation: -0.2116692249300343
Candidate: 0xd0, Correlation: -0.21155279954962725
Candidate: 0xa3, Correlation: -0.21141622042360217
Candidate: 0x82, Correlation: -0.21055222222937836
Candidate: 0xc1, Correlation: -0.2099237100395241
Candidate: 0x40, Correlation: -0.20792490524169008
Candidate: 0xdc, Correlation: -0.2052707708678567
Candidate: 0x56, Correlation: -0.20383903125974154
Candidate: 0x27, Correlation: -0.2003984231859538
Candidate: 0xd7, Correlation: -0.19537164131688942
Candidate: 0x36, Correlation: -0.19425770687617933
Candidate: 0xe1, Correlation: -0.19259267076182898
Candidate: 0x4a, Correlation: -0.19156863103919333
Candidate: 0x46, Correlation: -0.19125308222428025
Candidate: 0x66, Correlation: -0.1904225769208411
Candidate: 0x60, Correlation: -0.19017050909925637
Candidate: 0x6d, Correlation: -0.18904384928278994
Candidate: 0xce, Correlation: -0.18896841612648818
Candidate: 0xc4, Correlation: -0.18666703334043935
Candidate: 0xe8, Correlation: -0.18653048575516865
Candidate: 0x6a, Correlation: -0.1848778973247048
Candidate: 0x44, Correlation: -0.18409129805571203
Candidate: 0x4d, Correlation: -0.1834948911305218
Candidate: 0x47, Correlation: -0.18138337972965643
Candidate: 0x67, Correlation: -0.18078770712305975
Candidate: 0x89, Correlation: -0.17959378182637092
Candidate: 0x37, Correlation: -0.17933322058699558
Candidate: 0x1d, Correlation: -0.17821147039754634
Candidate: 0x5e, Correlation: -0.17749099637441054
Candidate: 0x64, Correlation: -0.1772701572130079
Candidate: 0x20, Correlation: -0.1769478250073809
Candidate: 0xdf, Correlation: -0.17220851870818907
Candidate: 0x8f, Correlation: -0.1720808549295088
Candidate: 0x86, Correlation: -0.1712119040964319
Candidate: 0x3f, Correlation: -0.16882884262167142
Candidate: 0x2c, Correlation: -0.16752897621108512
Candidate: 0xe7, Correlation: -0.16540524120264116
Candidate: 0xab, Correlation: -0.16503599849453712
Candidate: 0x87, Correlation: -0.1646673723583956
Candidate: 0x34, Correlation: -0.16447984257992834
Candidate: 0x7f, Correlation: -0.16438359855266765
Candidate: 0x2f, Correlation: -0.1635087951229292
Candidate: 0x77, Correlation: -0.16201220021806617
Candidate: 0x6, Correlation: -0.15962279111836142
Candidate: 0x18, Correlation: -0.15931225272756755
Candidate: 0xb5, Correlation: -0.15672636446741406
Candidate: 0x6e, Correlation: -0.15650290957855045
Candidate: 0x4e, Correlation: -0.15588330060869487
Candidate: 0xc6, Correlation: -0.154672372403386
Candidate: 0x99, Correlation: -0.1502052291515513
Candidate: 0x9d, Correlation: -0.1495634750159602
Candidate: 0x17, Correlation: -0.14917470485065165
Candidate: 0x1f, Correlation: -0.14854181033117125
Candidate: 0x71, Correlation: -0.1484331864541097
Candidate: 0x9, Correlation: -0.14786221035398814
Candidate: 0x24, Correlation: -0.1474511403885053
Candidate: 0x6f, Correlation: -0.14671374790928307
Candidate: 0x62, Correlation: -0.1463001820679591
Candidate: 0x4f, Correlation: -0.14598466217082076
Candidate: 0x3b, Correlation: -0.1430861720342296
Candidate: 0x51, Correlation: -0.14288178944283164
Candidate: 0x2b, Correlation: -0.14095834673782867
Candidate: 0xef, Correlation: -0.14027209177181113
Candidate: 0x72, Correlation: -0.1395574133062994
