Candidate: 0xed, Correlation: -0.29183679393197
Candidate: 0x6d, Correlation: -0.25264876845021766
Candidate: 0xee, Correlation: -0.24251798484407477
Candidate: 0xe, Correlation: -0.23613311958866595
Candidate: 0xce, Correlation: -0.2286289597302338
Candidate: 0xf, Correlation: -0.21907741293799804
Candidate: 0xec, Correlation: -0.21604365001428943
Candidate: 0xe9, Correlation: -0.21576677980555953
Candidate: 0x9, Correlation: -0.21243246011099323
Candidate: 0x30, Correlation: -0.2103958860915329
Candidate: 0xd0, Correlation: -0.21008200528146095
Candidate: 0xcf, Correlation: -0.20760075277176138
Candidate: 0x6e, Correlation: -0.2040338683073853
Candidate: 0x2e, Correlation: -0.1894950661257278
Candidate: 0x19, Correlation: -0.18926198173024486
Candidate: 0xeb, Correlation: -0.18756234251004236
Candidate: 0xb0, Correlation: -0.18603592834547658
Candidate: 0x17, Correlation: -0.18602127727575216
Candidate: 0x2f, Correlation: -0.183590498777871
Candidate: 0xf9, Correlation: -0.18075634098802001
Candidate: 0xf7, Correlation: -0.17958426430911667
Candidate: 0x35, Correlation: -0.17594027059026998
Candidate: 0x16, Correlation: -0.17501115432826783
Candidate: 0x11, Correlation: -0.17478578171541564
Candidate: 0x6c, Correlation: -0.17307521140303717
Candidate: 0xea, Correlation: -0.16933576714491133
Candidate: 0x2d, Correlation: -0.16765457239323173
Candidate: 0xf6, Correlation: -0.16736268214184075
Candidate: 0x7, Correlation: -0.16633472262869162
Candidate: 0x50, Correlation: -0.16620420615811232
Candidate: 0xf1, Correlation: -0.1645356547216287
Candidate: 0xae, Correlation: -0.16422872717140677
Candidate: 0xe7, Correlation: -0.1640359918764074
Candidate: 0x4e, Correlation: -0.163833303069938
Candidate: 0x15, Correlation: -0.16281384985872657
Candidate: 0xc5, Correlation: -0.16148642837249214
Candidate: 0xef, Correlation: -0.15969250788170333
Candidate: 0x10, Correlation: -0.1590916269072347
Candidate: 0x29, Correlation: -0.157026245253725
Candidate: 0xd, Correlation: -0.15666928219232287
Candidate: 0xaf, Correlation: -0.156602717728738
Candidate: 0xfd, Correlation: -0.15552765510153643
Candidate: 0x45, Correlation: -0.15219755964168638
Candidate: 0x4f, Correlation: -0.14950950031001264
Candidate: 0xca, Correlation: -0.14847458617658554
Candidate: 0xf5, Correlation: -0.14831133221585094
Candidate: 0xc9, Correlation: -0.1482910832094839
Candidate: 0x6b, Correlation: -0.1480397582884865
Candidate: 0xe8, Correlation: -0.14732794001643493
Candidate: 0xb5, Correlation: -0.14696205748026872
Candidate: 0xcd, Correlation: -0.14662410376479976
Candidate: 0xf0, Correlation: -0.14615326966217268
Candidate: 0x8, Correlation: -0.14514358002178973
Candidate: 0x32, Correlation: -0.14169290084487782
Candidate: 0x36, Correlation: -0.1402118112464063
Candidate: 0xd6, Correlation: -0.1399717690463607
Candidate: 0x80, Correlation: -0.13989057374506167
Candidate: 0x31, Correlation: -0.13982180673554986
Candidate: 0xe6, Correlation: -0.13938866941912997
Candidate: 0xd9, Correlation: -0.13935750914628237
Candidate: 0xa0, Correlation: -0.13932202345097658
Candidate: 0xa, Correlation: -0.13896461812531957
Candidate: 0x6, Correlation: -0.13829973203085338
Candidate: 0x18, Correlation: -0.1371037778395766
Candidate: 0x3c, Correlation: -0.1365606478912461
Candidate: 0xbc, Correlation: -0.1361211488211338
Candidate: 0xd7, Correlation: -0.136115202025631
Candidate: 0xd1, Correlation: -0.13525716389032869
Candidate: 0x69, Correlation: -0.13413146322856798
Candidate: 0x20, Correlation: -0.13384382012306772
Candidate: 0xf8, Correlation: -0.13370119520820287
Candidate: 0x13, Correlation: -0.1336126693930361
Candidate: 0x60, Correlation: -0.1331388695352572
Candidate: 0xc6, Correlation: -0.13310196158165088
Candidate: 0x6a, Correlation: -0.13149933620319457
Candidate: 0x6f, Correlation: -0.13100369001012743
Candidate: 0x40, Correlation: -0.1309162578425176
Candidate: 0xd2, Correlation: -0.13085717757891835
Candidate: 0x49, Correlation: -0.13049191311830924
Candidate: 0x4a, Correlation: -0.1282661560550791
Candidate: 0xe0, Correlation: -0.12825827322788363
Candidate: 0xc3, Correlation: -0.12565745256406222
Candidate: 0x9f, Correlation: -0.1253140998555915
Candidate: 0x39, Correlation: -0.12483239801526419
Candidate: 0x7d, Correlation: -0.12445969729729196
Candidate: 0xcc, Correlation: -0.1243768372124107
Candidate: 0x27, Correlation: -0.12395414405055864
Candidate: 0x34, Correlation: -0.12324351073140734
Candidate: 0xe5, Correlation: -0.12290399160569497
Candidate: 0x3a, Correlation: -0.12279669129029183
