Candidate: 0xfb, Correlation: -0.31480044445569283
Candidate: 0xfd, Correlation: -0.30217073478891515
Candidate: 0x5, Correlation: -0.3004255772734997
Candidate: 0x3, Correlation: -0.2814334023416908
Candidate: 0xfc, Correlation: -0.2641678719102975
Candidate: 0xf9, Correlation: -0.24861971973167182
Candidate: 0x83, Correlation: -0.24669135675145862
Candidate: 0x4, Correlation: -0.24598266015105513
Candidate: 0xe4, Correlation: -0.2397460339347514
Candidate: 0xdc, Correlation: -0.23943029352072065
Candidate: 0xfa, Correlation: -0.23791777029938393
Candidate: 0x1c, Correlation: -0.23306688058633288
Candidate: 0xff, Correlation: -0.2261924610999155
Candidate: 0x24, Correlation: -0.22501198024500627
Candidate: 0x7b, Correlation: -0.22201742376791245
Candidate: 0x1, Correlation: -0.22057102556702401
Candidate: 0x7d, Correlation: -0.21874654215920247
Candidate: 0xf5, Correlation: -0.21452263146543665
Candidate: 0x30, Correlation: -0.2095058682142516
Candidate: 0x42, Correlation: -0.20848859492322752
Candidate: 0x38, Correlation: -0.2083462160843179
Candidate: 0xc2, Correlation: -0.20738675423136912
Candidate: 0x3a, Correlation: -0.20732987258945365
Candidate: 0xf7, Correlation: -0.20674890459193332
Candidate: 0x70, Correlation: -0.20572140699940403
Candidate: 0xba, Correlation: -0.20339426988741663
Candidate: 0x2, Correlation: -0.20188647861124365
Candidate: 0xda, Correlation: -0.20047593410333342
Candidate: 0x3c, Correlation: -0.1994163276953331
Candidate: 0xbc, Correlation: -0.1989836022533588
Candidate: 0x7, Correlation: -0.1978082183106583
Candidate: 0x6, Correlation: -0.1971364099574814
Candidate: 0xfe, Correlation: -0.1959354396748163
Candidate: 0xdb, Correlation: -0.1939415979958113
Candidate: 0x6e, Correlation: -0.19340563295796542
Candidate: 0x72, Correlation: -0.1919238671929901
Candidate: 0x63, Correlation: -0.19150948149891833
Candidate: 0x1b, Correlation: -0.19095680958002423
Candidate: 0x90, Correlation: -0.19016964638696449
Candidate: 0x85, Correlation: -0.18944818860870338
Candidate: 0x36, Correlation: -0.1879774850849643
Candidate: 0x9, Correlation: -0.1863829123469504
Candidate: 0x8e, Correlation: -0.18603990213305135
Candidate: 0xa4, Correlation: -0.18598356306975453
Candidate: 0xc4, Correlation: -0.18500606899234598
Candidate: 0xb5, Correlation: -0.1849610671151596
Candidate: 0x44, Correlation: -0.18387937054565598
Candidate: 0x9b, Correlation: -0.18223907037775722
Candidate: 0xe2, Correlation: -0.18209878720217185
Candidate: 0xbe, Correlation: -0.1814129322561078
Candidate: 0xb, Correlation: -0.18113194362689336
Candidate: 0x3e, Correlation: -0.18100013129370754
Candidate: 0x3b, Correlation: -0.18062398547102151
Candidate: 0x34, Correlation: -0.18026405234211534
Candidate: 0x81, Correlation: -0.18018234093273894
Candidate: 0x5c, Correlation: -0.17986015408830675
Candidate: 0x37, Correlation: -0.17755141309283173
Candidate: 0xbb, Correlation: -0.17703445046325805
Candidate: 0xe3, Correlation: -0.1766171122868519
Candidate: 0xb7, Correlation: -0.1765556762685189
Candidate: 0x84, Correlation: -0.17420548346127934
Candidate: 0x8b, Correlation: -0.1740379245070819
Candidate: 0xbd, Correlation: -0.17198025841524964
Candidate: 0x9c, Correlation: -0.1718570100567683
Candidate: 0x22, Correlation: -0.17166990606809146
Candidate: 0x92, Correlation: -0.17110881212347304
Candidate: 0x50, Correlation: -0.1707193093946705
Candidate: 0x3d, Correlation: -0.1697657370111084
Candidate: 0x9d, Correlation: -0.16930110558696174
Candidate: 0xa3, Correlation: -0.16882987499070085
Candidate: 0x1a, Correlation: -0.16816190959296726
Candidate: 0x77, Correlation: -0.1681457060162402
Candidate: 0x46, Correlation: -0.1670149993636476
Candidate: 0x64, Correlation: -0.16674599351456504
Candidate: 0x0, Correlation: -0.16605227251855825
Candidate: 0xde, Correlation: -0.16437849483463493
Candidate: 0xb6, Correlation: -0.16434081564001557
Candidate: 0x43, Correlation: -0.16410234191252893
Candidate: 0xb9, Correlation: -0.16389246828976656
Candidate: 0xc6, Correlation: -0.16332963639163425
Candidate: 0xb0, Correlation: -0.16323504708102765
Candidate: 0xbf, Correlation: -0.16257941844847676
Candidate: 0xc3, Correlation: -0.16232149649526695
Candidate: 0xd4, Correlation: -0.16215463639642833
Candidate: 0x39, Correlation: -0.1619648848237831
Candidate: 0xf6, Correlation: -0.1613320475142413
Candidate: 0xf4, Correlation: -0.16110760629738893
Candidate: 0xf3, Correlation: -0.16085103585982366
Candidate: 0x79, Correlation: -0.1605089691017689
Candidate: 0xe5, Correlation: -0.16001676911001556
Candidate: 0x26, Correlation: -0.15933856417685524
Candidate: 0x45, Correlation: -0.15931002494308483
Candidate: 0xc5, Correlation: -0.15884946772610534
Candidate: 0xe6, Correlation: -0.1587529313367644
Candidate: 0x7c, Correlation: -0.15728972464484736
Candidate: 0xb8, Correlation: -0.15703745759688245
Candidate: 0x73, Correlation: -0.15664058281674914
Candidate: 0x71, Correlation: -0.15496684677492634
Candidate: 0x6b, Correlation: -0.15448231911602106
Candidate: 0x23, Correlation: -0.15395425521021414
Candidate: 0xeb, Correlation: -0.15344534395968143
Candidate: 0x14, Correlation: -0.15290707536229364
Candidate: 0xd6, Correlation: -0.15226563566102386
Candidate: 0xad, Correlation: -0.15171648016359102
Candidate: 0x1d, Correlation: -0.1516182242789445
Candidate: 0xd8, Correlation: -0.15124945483987579
Candidate: 0x3f, Correlation: -0.1502644932550386
Candidate: 0x18, Correlation: -0.14846329744937478
Candidate: 0x32, Correlation: -0.1479925185046088
Candidate: 0x5d, Correlation: -0.1460480016860229
Candidate: 0x35, Correlation: -0.14596590254700914
Candidate: 0xf0, Correlation: -0.14493145714841377
Candidate: 0x7f, Correlation: -0.14439126313745107
Candidate: 0x5b, Correlation: -0.1443629593715275
Candidate: 0xd0, Correlation: -0.1426843599506388
Candidate: 0xae, Correlation: -0.14242837049931828
Candidate: 0x6f, Correlation: -0.13921214108764401
Candidate: 0x1e, Correlation: -0.1390126680231943
Candidate: 0x10, Correlation: -0.13859119183848817
Candidate: 0x6a, Correlation: -0.13773548645133027
Candidate: 0x93, Correlation: -0.1376094556677613
Candidate: 0xee, Correlation: -0.13670987560917325
Candidate: 0xa5, Correlation: -0.1350821161857022
Candidate: 0xa, Correlation: -0.1350229129027361
Candidate: 0x87, Correlation: -0.13474483639549503
Candidate: 0x40, Correlation: -0.1336646154585085
Candidate: 0x28, Correlation: -0.13335060961967893
Candidate: 0xb2, Correlation: -0.13298308626158725
Candidate: 0x15, Correlation: -0.13258227940742837
Candidate: 0xb4, Correlation: -0.13194284150057733
Candidate: 0xe, Correlation: -0.13142083689010453
Candidate: 0x8f, Correlation: -0.1312951451583413
Candidate: 0x75, Correlation: -0.13121346057753483
Candidate: 0xf8, Correlation: -0.13112889394353003
Candidate: 0x62, Correlation: -0.13103910004327074
Candidate: 0x5a, Correlation: -0.13099216806481112
Candidate: 0x91, Correlation: -0.1308639887662943
Candidate: 0xdd, Correlation: -0.13084232794537176
Candidate: 0xc, Correlation: -0.13028678855840473
Candidate: 0x82, Correlation: -0.1299910547823943
Candidate: 0x65, Correlation: -0.12908209874305945
Candidate: 0xf2, Correlation: -0.1287212442870206
Candidate: 0x8d, Correlation: -0.1278641193683856
Candidate: 0xca, Correlation: -0.12738454031627697
Candidate: 0x48, Correlation: -0.12683978821537606
Candidate: 0x7a, Correlation: -0.12676244246726168
Candidate: 0xa6, Correlation: -0.12662124049709864
Candidate: 0x4e, Correlation: -0.12660311753734804
Candidate: 0x52, Correlation: -0.12650524484392478
Candidate: 0xe8, Correlation: -0.12588819984586663
Candidate: 0xec, Correlation: -0.12586289974554163
Candidate: 0x8, Correlation: -0.12583322439358
Candidate: 0x12, Correlation: -0.12460783088692376
Candidate: 0x31, Correlation: -0.12403879027796677
Candidate: 0xc7, Correlation: -0.12372729505708173
Candidate: 0x16, Correlation: -0.12312837603596925
Candidate: 0x4a, Correlation: -0.1226517897763498
Candidate: 0x58, Correlation: -0.12162606536121628
Candidate: 0xd9, Correlation: -0.12107524464154247
Candidate: 0x9e, Correlation: -0.12071781574065947
Candidate: 0x47, Correlation: -0.1204000726750639
Candidate: 0x25, Correlation: -0.12002508876884359
Candidate: 0xce, Correlation: -0.11909308394402279
Candidate: 0x13, Correlation: -0.11899846758517478
Candidate: 0x2a, Correlation: -0.11817933090325099
Candidate: 0x61, Correlation: -0.11795107634304822
Candidate: 0xcd, Correlation: -0.11649512850458713
