Candidate: 0x3f, Correlation: -0.3407857066654064
Candidate: 0xbf, Correlation: -0.3406377495994834
Candidate: 0x1f, Correlation: -0.32227939294972996
Candidate: 0x5f, Correlation: -0.31432477267893333
Candidate: 0xdf, Correlation: -0.31285994345177515
Candidate: 0x9f, Correlation: -0.2978802045957707
Candidate: 0x28, Correlation: -0.2861852554912981
Candidate: 0xa8, Correlation: -0.2772898555343327
Candidate: 0x7f, Correlation: -0.27251276541959163
Candidate: 0x7e, Correlation: -0.27092340253306796
Candidate: 0xff, Correlation: -0.2672762128514414
Candidate: 0x37, Correlation: -0.2638675161345573
Candidate: 0xdd, Correlation: -0.26350936811870207
Candidate: 0x80, Correlation: -0.26253656046012885
Candidate: 0x47, Correlation: -0.260727486311449
Candidate: 0x1d, Correlation: -0.2604718360399165
Candidate: 0x82, Correlation: -0.25847234055490304
Candidate: 0xc7, Correlation: -0.2580541527786471
Candidate: 0xb7, Correlation: -0.2565756021315681
Candidate: 0x3d, Correlation: -0.25626433961442124
Candidate: 0x7c, Correlation: -0.252565213087284
Candidate: 0xbd, Correlation: -0.24928326241235724
Candidate: 0x21, Correlation: -0.24907606692324144
Candidate: 0xe1, Correlation: -0.24655392689920244
Candidate: 0x41, Correlation: -0.23685790606414964
Candidate: 0xc1, Correlation: -0.23620066786003102
Candidate: 0x9b, Correlation: -0.23131457224683483
Candidate: 0x98, Correlation: -0.2293061169545008
Candidate: 0x24, Correlation: -0.228701714561667
Candidate: 0x5d, Correlation: -0.22111967328836912
Candidate: 0xa3, Correlation: -0.2202479515220628
Candidate: 0xa4, Correlation: -0.2199231960125058
Candidate: 0x18, Correlation: -0.2196626900483656
Candidate: 0x5b, Correlation: -0.2193793007843456
Candidate: 0xa1, Correlation: -0.21282564525136347
Candidate: 0x20, Correlation: -0.21272073979562972
Candidate: 0x9d, Correlation: -0.21248516036757858
Candidate: 0x61, Correlation: -0.21162663969074197
Candidate: 0x7a, Correlation: -0.20809197065576607
Candidate: 0x83, Correlation: -0.20656581877616653
Candidate: 0x43, Correlation: -0.203902946998315
Candidate: 0xc3, Correlation: -0.20310494202283833
Candidate: 0xa0, Correlation: -0.2030109470398718
Candidate: 0x60, Correlation: -0.20234725405158116
Candidate: 0x63, Correlation: -0.2019399703282363
Candidate: 0x62, Correlation: -0.20169058016488894
Candidate: 0x93, Correlation: -0.20077913696848262
Candidate: 0x9c, Correlation: -0.20029437995945149
Candidate: 0x53, Correlation: -0.19852836784175987
Candidate: 0x1b, Correlation: -0.19765879108832085
Candidate: 0x23, Correlation: -0.19691813840737862
Candidate: 0xc4, Correlation: -0.1956349814582006
Candidate: 0x7b, Correlation: -0.19414811627931533
Candidate: 0x84, Correlation: -0.1917861181535967
Candidate: 0xb8, Correlation: -0.18995478341366445
Candidate: 0xbb, Correlation: -0.1896681759256711
Candidate: 0xa2, Correlation: -0.18754451749251147
Candidate: 0xe8, Correlation: -0.18657807809197577
Candidate: 0x9e, Correlation: -0.18314497944232624
Candidate: 0x3b, Correlation: -0.18234102192231966
Candidate: 0xb4, Correlation: -0.18216318683378094
Candidate: 0xdb, Correlation: -0.18177507881767258
Candidate: 0x7, Correlation: -0.1794181016117849
Candidate: 0xf7, Correlation: -0.17896473104530872
Candidate: 0x5c, Correlation: -0.17863708505518772
Candidate: 0x68, Correlation: -0.17573582259444384
Candidate: 0xaa, Correlation: -0.17554104443792246
Candidate: 0x5e, Correlation: -0.17334716816850718
Candidate: 0x2f, Correlation: -0.1726389437836824
Candidate: 0x4b, Correlation: -0.1718455872440915
Candidate: 0x87, Correlation: -0.171484168123764
Candidate: 0xbe, Correlation: -0.17111073732710028
Candidate: 0x4f, Correlation: -0.17002682291334015
