Candidate: 0x4a, Correlation: -0.3725009836989697
Candidate: 0xca, Correlation: -0.3649267134551069
Candidate: 0xba, Correlation: -0.3432697759110029
Candidate: 0x3a, Correlation: -0.3242221903171231
Candidate: 0xc2, Correlation: -0.30154673823998396
Candidate: 0x42, Correlation: -0.29499644574551637
Candidate: 0xfb, Correlation: -0.27848372466373666
Candidate: 0x7b, Correlation: -0.27669329913844815
Candidate: 0x8a, Correlation: -0.27276907472170453
Candidate: 0x3, Correlation: -0.2715106942405866
Candidate: 0xb2, Correlation: -0.2568130286223649
Candidate: 0x52, Correlation: -0.2554144109371479
Candidate: 0x48, Correlation: -0.2499871829034765
Candidate: 0xc8, Correlation: -0.2468552350980932
Candidate: 0xd2, Correlation: -0.2431508716417109
Candidate: 0x83, Correlation: -0.24012045601692902
Candidate: 0x7a, Correlation: -0.23862179095121286
Candidate: 0xfc, Correlation: -0.23005306837350253
Candidate: 0x4, Correlation: -0.22799419340130445
Candidate: 0x32, Correlation: -0.22748845684061217
Candidate: 0xe, Correlation: -0.22331751461422297
Candidate: 0xe6, Correlation: -0.2228752257783444
Candidate: 0xb8, Correlation: -0.21648360873856354
Candidate: 0x7c, Correlation: -0.21536075645180228
Candidate: 0xfe, Correlation: -0.21460829015218028
Candidate: 0xc6, Correlation: -0.21362263496231942
Candidate: 0xf7, Correlation: -0.21293498761249974
Candidate: 0x46, Correlation: -0.21292956750223543
Candidate: 0x26, Correlation: -0.21163583732631056
Candidate: 0x7, Correlation: -0.20743064714443826
Candidate: 0x8b, Correlation: -0.2039875188914751
Candidate: 0xee, Correlation: -0.2021374722398274
Candidate: 0x6, Correlation: -0.19867310738098104
Candidate: 0xaa, Correlation: -0.19834592655922992
Candidate: 0x38, Correlation: -0.19784159994866982
Candidate: 0x72, Correlation: -0.1931934983612841
Candidate: 0x92, Correlation: -0.19256199080021782
Candidate: 0x87, Correlation: -0.19235734444682123
Candidate: 0x73, Correlation: -0.1899066842249355
Candidate: 0xd6, Correlation: -0.18766035074177165
Candidate: 0xff, Correlation: -0.18684562537673774
Candidate: 0x84, Correlation: -0.18654657736178018
Candidate: 0xf8, Correlation: -0.18594839616732894
Candidate: 0xfa, Correlation: -0.1853478138644699
Candidate: 0xb6, Correlation: -0.18502464873213917
Candidate: 0xd8, Correlation: -0.18345189907875592
Candidate: 0x5, Correlation: -0.18318890879364996
Candidate: 0xde, Correlation: -0.18278201284598344
Candidate: 0xf9, Correlation: -0.18162917779248935
Candidate: 0x4c, Correlation: -0.18154456578715514
Candidate: 0x2, Correlation: -0.18127884542765918
Candidate: 0x77, Correlation: -0.18089261171394613
Candidate: 0xb, Correlation: -0.17780845117700816
Candidate: 0xf6, Correlation: -0.17655955550585922
Candidate: 0xa, Correlation: -0.1765264463394968
Candidate: 0x4e, Correlation: -0.17634253275425152
Candidate: 0xfd, Correlation: -0.17625388214667076
Candidate: 0x0, Correlation: -0.17557968226435225
Candidate: 0x75, Correlation: -0.1747693958554271
Candidate: 0xf0, Correlation: -0.17469777137749024
Candidate: 0x7d, Correlation: -0.1735181467448876
Candidate: 0x1, Correlation: -0.17315452728333805
Candidate: 0xc0, Correlation: -0.1727591040378267
Candidate: 0x85, Correlation: -0.17195280389772416
Candidate: 0xf1, Correlation: -0.1717372043402382
Candidate: 0xcc, Correlation: -0.1695619298404672
Candidate: 0x79, Correlation: -0.16944486572470335
Candidate: 0x6a, Correlation: -0.16885961037106778
Candidate: 0xf2, Correlation: -0.1677950124793527
Candidate: 0x36, Correlation: -0.1674734437663787
Candidate: 0x89, Correlation: -0.16706540626476127
Candidate: 0xa6, Correlation: -0.16630279402708711
Candidate: 0x16, Correlation: -0.16629044135771484
Candidate: 0xc4, Correlation: -0.16611242247768715
Candidate: 0x10, Correlation: -0.16585378135370904
Candidate: 0x50, Correlation: -0.1652884792728132
Candidate: 0x93, Correlation: -0.16525684334560575
Candidate: 0x49, Correlation: -0.1644850036395552
Candidate: 0xd9, Correlation: -0.1641431585289437
Candidate: 0x44, Correlation: -0.16363308166438081
Candidate: 0xe8, Correlation: -0.16343402573507282
Candidate: 0xce, Correlation: -0.16299882541763322
Candidate: 0xb7, Correlation: -0.16295778866689975
Candidate: 0x18, Correlation: -0.16248550411999954
Candidate: 0xbe, Correlation: -0.16248425182304524
Candidate: 0x82, Correlation: -0.16217012886722484
Candidate: 0x28, Correlation: -0.16116873226851197
Candidate: 0xe2, Correlation: -0.1604335924701004
Candidate: 0xda, Correlation: -0.16037880525992002
Candidate: 0x40, Correlation: -0.15912756155578975
Candidate: 0x1e, Correlation: -0.15882471062870754
Candidate: 0xbc, Correlation: -0.15801969136037688
Candidate: 0xc9, Correlation: -0.1575729319522747
Candidate: 0xd0, Correlation: -0.15737046696640514
Candidate: 0x6b, Correlation: -0.1568303708745826
Candidate: 0x88, Correlation: -0.15681760003482872
Candidate: 0x5a, Correlation: -0.1564148889296517
Candidate: 0x2a, Correlation: -0.15628777049662168
Candidate: 0x8, Correlation: -0.1544156289077745
Candidate: 0xe0, Correlation: -0.15361496503192223
Candidate: 0xe1, Correlation: -0.15314180685498058
Candidate: 0x2b, Correlation: -0.15280471690255723
Candidate: 0xe5, Correlation: -0.1526491031415456
Candidate: 0x4b, Correlation: -0.15185398304681122
Candidate: 0xf3, Correlation: -0.15039373338721243
Candidate: 0x86, Correlation: -0.1496852523374018
Candidate: 0x37, Correlation: -0.1494405570757723
Candidate: 0x11, Correlation: -0.14879916133288804
Candidate: 0x19, Correlation: -0.14833772605971204
Candidate: 0x81, Correlation: -0.14827082625715032
Candidate: 0xd3, Correlation: -0.14821121966654008
Candidate: 0xc7, Correlation: -0.1473108628426471
Candidate: 0x3e, Correlation: -0.14710747899026172
Candidate: 0x1f, Correlation: -0.1463796740704951
Candidate: 0xdf, Correlation: -0.14590459393966734
Candidate: 0xd, Correlation: -0.14427981437820953
Candidate: 0x47, Correlation: -0.14421118616185918
Candidate: 0x7f, Correlation: -0.14343618746943912
