Candidate: 0xf2, Correlation: -0.47313731572345114
Candidate: 0x50, Correlation: -0.4532167031149201
Candidate: 0x72, Correlation: -0.41800155645502113
Candidate: 0xd2, Correlation: -0.40432060679956217
Candidate: 0x87, Correlation: -0.40369240877954427
Candidate: 0x89, Correlation: -0.3925229998492303
Candidate: 0xf0, Correlation: -0.38913921414067265
Candidate: 0x2, Correlation: -0.36206321015766807
Candidate: 0x60, Correlation: -0.3580757693610249
Candidate: 0x4f, Correlation: -0.35304402207909624
Candidate: 0xd0, Correlation: -0.34979930593819175
Candidate: 0xa7, Correlation: -0.3470939682829752
Candidate: 0x52, Correlation: -0.3442409612727686
Candidate: 0x48, Correlation: -0.3391887496984872
Candidate: 0x70, Correlation: -0.3380939475988935
Candidate: 0x88, Correlation: -0.3373861442022177
Candidate: 0xf6, Correlation: -0.3348531362248879
Candidate: 0x9, Correlation: -0.3345694243394967
Candidate: 0x8b, Correlation: -0.3274468022834337
Candidate: 0x7, Correlation: -0.32501929200968926
Candidate: 0xea, Correlation: -0.32495739604808416
Candidate: 0xf1, Correlation: -0.3240227556783195
Candidate: 0xa, Correlation: -0.3201124318932241
Candidate: 0x54, Correlation: -0.31753633098418704
Candidate: 0xc7, Correlation: -0.3154265371027272
Candidate: 0x97, Correlation: -0.31394888598427145
Candidate: 0x8a, Correlation: -0.3128687589844613
Candidate: 0x10, Correlation: -0.31151770712957966
Candidate: 0x4a, Correlation: -0.3066909966053055
Candidate: 0xc9, Correlation: -0.3061404052905055
Candidate: 0x82, Correlation: -0.30509703836808877
Candidate: 0x49, Correlation: -0.303798301188029
Candidate: 0xca, Correlation: -0.3015384575117617
Candidate: 0xb2, Correlation: -0.2942502554366101
Candidate: 0x91, Correlation: -0.29101185364697746
Candidate: 0xe2, Correlation: -0.2884483135970055
Candidate: 0x76, Correlation: -0.2838370000047782
Candidate: 0x8f, Correlation: -0.2792581579914208
Candidate: 0x0, Correlation: -0.27663735000824136
Candidate: 0xab, Correlation: -0.27299003798436633
Candidate: 0x6a, Correlation: -0.2694172288478378
Candidate: 0x71, Correlation: -0.26902669032201315
Candidate: 0xa8, Correlation: -0.26664455444537966
Candidate: 0x8c, Correlation: -0.2640314534284777
Candidate: 0xa9, Correlation: -0.2635696480177874
Candidate: 0xb7, Correlation: -0.261690919405985
Candidate: 0x5f, Correlation: -0.26063329992790235
Candidate: 0xd6, Correlation: -0.2600986831103986
Candidate: 0xe7, Correlation: -0.25976960847343533
Candidate: 0x99, Correlation: -0.25908381621449883
Candidate: 0x61, Correlation: -0.2573068057066013
Candidate: 0xe0, Correlation: -0.25675775057611633
Candidate: 0xd1, Correlation: -0.25114489006778573
Candidate: 0xf4, Correlation: -0.2509306173725051
Candidate: 0xcf, Correlation: -0.2504018014125039
Candidate: 0xc8, Correlation: -0.2478446649684443
Candidate: 0x98, Correlation: -0.247148600584579
Candidate: 0x58, Correlation: -0.24605618150847394
Candidate: 0x80, Correlation: -0.2443807390370546
Candidate: 0x47, Correlation: -0.24433349169756546
Candidate: 0x8d, Correlation: -0.24384542788366842
Candidate: 0x62, Correlation: -0.2435928979749539
Candidate: 0xcb, Correlation: -0.2424126288127122
Candidate: 0x21, Correlation: -0.24198107665408106
Candidate: 0x32, Correlation: -0.2408518643343804
Candidate: 0x9b, Correlation: -0.2405498764627446
Candidate: 0xe8, Correlation: -0.24040341058292838
Candidate: 0x51, Correlation: -0.23927867966120586
Candidate: 0x6f, Correlation: -0.23865285655707213
Candidate: 0xef, Correlation: -0.2385127356294261
Candidate: 0x27, Correlation: -0.2376309260433754
Candidate: 0x11, Correlation: -0.23644334260058197
Candidate: 0x65, Correlation: -0.23599207772939507
Candidate: 0x1a, Correlation: -0.23440104065574413
Candidate: 0x8, Correlation: -0.23251829902713533
Candidate: 0x19, Correlation: -0.2309452969972728
Candidate: 0xf, Correlation: -0.22775099527405615
Candidate: 0x9a, Correlation: -0.22745152907582153
Candidate: 0xd7, Correlation: -0.22639337033907828
Candidate: 0x68, Correlation: -0.22424826766723255
Candidate: 0x64, Correlation: -0.22371981816332537
Candidate: 0x5a, Correlation: -0.22324544589217687
Candidate: 0x6, Correlation: -0.2231213090942337
Candidate: 0x59, Correlation: -0.2204300706470531
Candidate: 0x25, Correlation: -0.218712273047723
Candidate: 0x92, Correlation: -0.21853479302768677
Candidate: 0xda, Correlation: -0.2177102708750467
Candidate: 0x20, Correlation: -0.21681166378972347
Candidate: 0x53, Correlation: -0.21665738682522517
Candidate: 0xd9, Correlation: -0.2163699167362655
Candidate: 0x81, Correlation: -0.21444268224274093
Candidate: 0x90, Correlation: -0.21342550270287966
Candidate: 0xfa, Correlation: -0.21310017269512424
Candidate: 0xaf, Correlation: -0.21293567183833073
Candidate: 0x1, Correlation: -0.2123978111498949
Candidate: 0x12, Correlation: -0.21133112240831686
Candidate: 0xd4, Correlation: -0.20984434442327216
Candidate: 0xb0, Correlation: -0.20679079094593006
Candidate: 0x22, Correlation: -0.20651677394396276
Candidate: 0x56, Correlation: -0.20552443915922727
