Candidate: 0x9b, Correlation: -0.5338654884261133
Candidate: 0x2, Correlation: -0.46579598143810746
Candidate: 0x82, Correlation: -0.4383363147690935
Candidate: 0x13, Correlation: -0.4295243987442367
Candidate: 0x4e, Correlation: -0.4239474857502198
Candidate: 0x4c, Correlation: -0.42122421650168795
Candidate: 0x9c, Correlation: -0.42092754820521905
Candidate: 0xdb, Correlation: -0.41369284393285766
Candidate: 0x52, Correlation: -0.4102913430131295
Candidate: 0x92, Correlation: -0.41009429953218457
Candidate: 0x50, Correlation: -0.4098008692300788
Candidate: 0xbb, Correlation: -0.4096853842661549
Candidate: 0x12, Correlation: -0.40583476908546673
Candidate: 0xba, Correlation: -0.402193162388746
Candidate: 0xab, Correlation: -0.40029339875726405
Candidate: 0x9d, Correlation: -0.3954655271445546
Candidate: 0x9f, Correlation: -0.39517389666320196
Candidate: 0x90, Correlation: -0.39286758716331815
Candidate: 0xa3, Correlation: -0.3909216955582815
Candidate: 0x80, Correlation: -0.3848255956403533
Candidate: 0x0, Correlation: -0.38164489816175867
Candidate: 0x8e, Correlation: -0.379171267360485
Candidate: 0xfe, Correlation: -0.3751909206629579
Candidate: 0xf3, Correlation: -0.37495471861137447
Candidate: 0x1b, Correlation: -0.3733895256655049
Candidate: 0xb, Correlation: -0.36551140668118
Candidate: 0x3, Correlation: -0.3619027870089736
Candidate: 0xe2, Correlation: -0.3576327814478983
Candidate: 0x1, Correlation: -0.35434470719131717
Candidate: 0xc2, Correlation: -0.35360260326967213
Candidate: 0x4b, Correlation: -0.3533693873598721
Candidate: 0xb6, Correlation: -0.35199291233967966
Candidate: 0x10, Correlation: -0.35181119948314027
Candidate: 0xd3, Correlation: -0.3515526239343846
Candidate: 0x4d, Correlation: -0.35126142777913544
Candidate: 0x8c, Correlation: -0.3506525164605157
Candidate: 0xb8, Correlation: -0.3483440137231012
Candidate: 0x56, Correlation: -0.344440290151889
Candidate: 0x54, Correlation: -0.3424910627563404
Candidate: 0x4f, Correlation: -0.34089549752160964
Candidate: 0x51, Correlation: -0.33701931539566776
Candidate: 0x9a, Correlation: -0.33296866549423365
Candidate: 0x8a, Correlation: -0.33256255978436466
Candidate: 0xb4, Correlation: -0.33222071110615925
Candidate: 0x5a, Correlation: -0.3305546893678347
Candidate: 0x58, Correlation: -0.3304220977314829
Candidate: 0xb9, Correlation: -0.32902629759993923
Candidate: 0xa, Correlation: -0.3285967760261926
Candidate: 0xe, Correlation: -0.3274908906858199
Candidate: 0xce, Correlation: -0.31748522480715174
Candidate: 0xcc, Correlation: -0.31724879531424566
Candidate: 0x70, Correlation: -0.3154152458681016
Candidate: 0xb7, Correlation: -0.31535362062401473
Candidate: 0xeb, Correlation: -0.3150210831691418
Candidate: 0xb5, Correlation: -0.3147336772242284
Candidate: 0xe3, Correlation: -0.30855961368739443
Candidate: 0xaa, Correlation: -0.30655807218279046
Candidate: 0xcb, Correlation: -0.30629571591767724
Candidate: 0xb2, Correlation: -0.3046869234803444
Candidate: 0xb3, Correlation: -0.30399188269615357
Candidate: 0xd0, Correlation: -0.30373550388752013
Candidate: 0xd2, Correlation: -0.3035235535759641
Candidate: 0xc, Correlation: -0.3031537892970744
Candidate: 0xfb, Correlation: -0.30245756937544027
Candidate: 0xbc, Correlation: -0.3015153842351942
Candidate: 0xdc, Correlation: -0.3008392194933763
Candidate: 0x17, Correlation: -0.29427298631792914
Candidate: 0xa6, Correlation: -0.2929563182203658
Candidate: 0x7e, Correlation: -0.2923375876576776
Candidate: 0x8f, Correlation: -0.29124640365428905
Candidate: 0x14, Correlation: -0.29014495803331725
Candidate: 0xfa, Correlation: -0.2899133081335668
Candidate: 0xac, Correlation: -0.28941402409827843
Candidate: 0xc3, Correlation: -0.28897481044475926
Candidate: 0x3e, Correlation: -0.28741692593294577
Candidate: 0xa8, Correlation: -0.28712618162366027
Candidate: 0x9e, Correlation: -0.28700854852567664
Candidate: 0xae, Correlation: -0.28679345699966874
Candidate: 0x3c, Correlation: -0.28608276821322876
Candidate: 0x62, Correlation: -0.28467924024302454
Candidate: 0xa0, Correlation: -0.2834167459191725
Candidate: 0xb0, Correlation: -0.28277926339674286
Candidate: 0xda, Correlation: -0.2814246744305273
Candidate: 0xdd, Correlation: -0.27808194329570646
Candidate: 0xa4, Correlation: -0.27763501967307747
Candidate: 0xbf, Correlation: -0.27709284876353346
Candidate: 0x53, Correlation: -0.2764272218763588
Candidate: 0xdf, Correlation: -0.2763171099772835
Candidate: 0x1d, Correlation: -0.2759384115035644
Candidate: 0x55, Correlation: -0.27456282071089094
Candidate: 0xad, Correlation: -0.27284598774216795
Candidate: 0xbd, Correlation: -0.2713499014407376
Candidate: 0xde, Correlation: -0.27084096613778513
Candidate: 0x15, Correlation: -0.27051455773587835
Candidate: 0x40, Correlation: -0.2694566742921424
Candidate: 0x42, Correlation: -0.26925482174063065
Candidate: 0xfc, Correlation: -0.2686722240130323
Candidate: 0x81, Correlation: -0.2680829719270143
Candidate: 0xaf, Correlation: -0.2675039029330649
Candidate: 0x3a, Correlation: -0.26725663953067724
Candidate: 0xa9, Correlation: -0.26702646067471186
Candidate: 0xfd, Correlation: -0.2643567862527475
Candidate: 0x57, Correlation: -0.26318778729778325
Candidate: 0x91, Correlation: -0.26302321886443286
Candidate: 0x3b, Correlation: -0.2628237354603248
Candidate: 0xb1, Correlation: -0.2618085863432528
Candidate: 0xbe, Correlation: -0.2603584931088689
Candidate: 0x59, Correlation: -0.25996331583902554
Candidate: 0x96, Correlation: -0.25929247033450314
Candidate: 0x5b, Correlation: -0.25902352235526105
Candidate: 0x1a, Correlation: -0.2584145410529564
Candidate: 0x2b, Correlation: -0.256473622134214
Candidate: 0xa1, Correlation: -0.2563629724597226
Candidate: 0xa5, Correlation: -0.255711380023644
Candidate: 0x72, Correlation: -0.2551599910323236
Candidate: 0x88, Correlation: -0.25462017322822195
Candidate: 0xa7, Correlation: -0.25459241866963284
Candidate: 0xff, Correlation: -0.25425543177861226
Candidate: 0x98, Correlation: -0.2538073277580742
Candidate: 0xe0, Correlation: -0.25182877045742047
Candidate: 0xe1, Correlation: -0.2509748489927498
Candidate: 0x93, Correlation: -0.25092250975354496
Candidate: 0x1c, Correlation: -0.25061100699452243
Candidate: 0xa2, Correlation: -0.2504300591249304
Candidate: 0xf2, Correlation: -0.24993890782040065
Candidate: 0xc0, Correlation: -0.24868618600544587
