Candidate: 0x7e, Correlation: -0.38598174412958536
Candidate: 0x82, Correlation: -0.37571838719340356
Candidate: 0xfe, Correlation: -0.3214648023260124
Candidate: 0x2, Correlation: -0.3072379989203814
Candidate: 0xd8, Correlation: -0.29907945627524074
Candidate: 0x18, Correlation: -0.2943102951866371
Candidate: 0xe0, Correlation: -0.29364584445391745
Candidate: 0x20, Correlation: -0.29130502187749635
Candidate: 0xe4, Correlation: -0.2810778195972073
Candidate: 0x80, Correlation: -0.2719410366415235
Candidate: 0x47, Correlation: -0.266356849125542
Candidate: 0xf2, Correlation: -0.2606262886556393
Candidate: 0xa0, Correlation: -0.2575608592503398
Candidate: 0x67, Correlation: -0.2534549383087622
Candidate: 0xac, Correlation: -0.25089549718464405
Candidate: 0x48, Correlation: -0.24994234694652973
Candidate: 0x86, Correlation: -0.2495714719353721
Candidate: 0x87, Correlation: -0.24821050344771944
Candidate: 0x58, Correlation: -0.24794482805727
Candidate: 0xe2, Correlation: -0.247599590364419
Candidate: 0x2c, Correlation: -0.24426890337304968
Candidate: 0xe, Correlation: -0.24403645812709748
Candidate: 0x54, Correlation: -0.242804719086647
Candidate: 0x98, Correlation: -0.24059708632031235
Candidate: 0xd4, Correlation: -0.23913414555940754
Candidate: 0x10, Correlation: -0.2377263816170491
Candidate: 0xd0, Correlation: -0.23754557375623805
Candidate: 0xf0, Correlation: -0.23747008904663233
Candidate: 0x7a, Correlation: -0.23710618681992648
Candidate: 0xb4, Correlation: -0.23596252697910444
Candidate: 0xcc, Correlation: -0.2351304637796375
Candidate: 0xe8, Correlation: -0.2326631523774251
Candidate: 0x12, Correlation: -0.23167000063850465
Candidate: 0x28, Correlation: -0.23162519530330986
Candidate: 0x4c, Correlation: -0.23102779943969431
Candidate: 0x72, Correlation: -0.23027788363857596
Candidate: 0x34, Correlation: -0.22723089626191845
Candidate: 0x60, Correlation: -0.22651176036778212
Candidate: 0xec, Correlation: -0.2261797800503237
Candidate: 0x0, Correlation: -0.2240008745508408
Candidate: 0x8e, Correlation: -0.222641065045214
Candidate: 0xdc, Correlation: -0.21965913569098247
Candidate: 0x5c, Correlation: -0.21904900657569432
Candidate: 0x76, Correlation: -0.21708536620711544
Candidate: 0x94, Correlation: -0.21536450413570274
Candidate: 0xee, Correlation: -0.21499766096748674
Candidate: 0x6c, Correlation: -0.21459417033206998
Candidate: 0x14, Correlation: -0.21434150146856104
Candidate: 0x68, Correlation: -0.21427593861097627
Candidate: 0x3e, Correlation: -0.2129312807741891
Candidate: 0x1c, Correlation: -0.21162750277727085
Candidate: 0xe6, Correlation: -0.21095335344723284
Candidate: 0x5f, Correlation: -0.21005093211545114
Candidate: 0x4f, Correlation: -0.20894718498089893
Candidate: 0x64, Correlation: -0.20626217142362077
Candidate: 0x30, Correlation: -0.20615026154405122
Candidate: 0x24, Correlation: -0.20534510204606704
Candidate: 0x9c, Correlation: -0.20421013891269352
Candidate: 0x81, Correlation: -0.2038308373113245
Candidate: 0x42, Correlation: -0.20314493852203896
Candidate: 0xfc, Correlation: -0.20312667119934533
Candidate: 0xc7, Correlation: -0.20257831518458422
Candidate: 0xb0, Correlation: -0.20188504739624621
Candidate: 0x50, Correlation: -0.2012312620789971
Candidate: 0xf6, Correlation: -0.20073504121082106
Candidate: 0x6e, Correlation: -0.20049538996884697
Candidate: 0xa8, Correlation: -0.20027329638025457
Candidate: 0xa4, Correlation: -0.20023129778176707
Candidate: 0xc, Correlation: -0.20002885862497286
Candidate: 0xbe, Correlation: -0.19983640277160852
Candidate: 0xa, Correlation: -0.1987809992885773
Candidate: 0x88, Correlation: -0.19789725066559408
Candidate: 0x6, Correlation: -0.19754571798282186
Candidate: 0x7f, Correlation: -0.19654095705993388
Candidate: 0xde, Correlation: -0.19612063426160914
Candidate: 0x7c, Correlation: -0.19513006468675825
Candidate: 0xf4, Correlation: -0.19129878013169616
Candidate: 0xc2, Correlation: -0.19003435220314535
Candidate: 0x84, Correlation: -0.1897973482328411
Candidate: 0xea, Correlation: -0.18803471946293193
Candidate: 0x92, Correlation: -0.18345326490661581
Candidate: 0x8a, Correlation: -0.18293351144657202
Candidate: 0x66, Correlation: -0.18226226044042332
Candidate: 0xfa, Correlation: -0.18175704638754028
Candidate: 0x8c, Correlation: -0.18045480988987986
Candidate: 0x38, Correlation: -0.18030896875805774
Candidate: 0x40, Correlation: -0.17867387252108824
Candidate: 0x22, Correlation: -0.17777291648623275
Candidate: 0x27, Correlation: -0.1777483261534008
Candidate: 0x62, Correlation: -0.17638700365655985
Candidate: 0xb8, Correlation: -0.17612494433287393
Candidate: 0x63, Correlation: -0.1719413816210061
Candidate: 0x4, Correlation: -0.1713553439667362
Candidate: 0x32, Correlation: -0.17087444845392252
Candidate: 0x6b, Correlation: -0.17059786055665302
Candidate: 0x7, Correlation: -0.1703900672992072
Candidate: 0x74, Correlation: -0.17037838242132622
Candidate: 0x90, Correlation: -0.1699857691865565
Candidate: 0xf8, Correlation: -0.1693861900023311
Candidate: 0x70, Correlation: -0.16917434743565163
Candidate: 0x8f, Correlation: -0.16902519784936113
Candidate: 0x26, Correlation: -0.16745107637882006
Candidate: 0x7d, Correlation: -0.1668450474345657
Candidate: 0xbc, Correlation: -0.16623360872871515
Candidate: 0x6f, Correlation: -0.1660042284054701
Candidate: 0x9e, Correlation: -0.16512897725013234
Candidate: 0x3c, Correlation: -0.16502759976215373
Candidate: 0x46, Correlation: -0.16413288441485194
Candidate: 0xa7, Correlation: -0.16244143804276612
Candidate: 0xd2, Correlation: -0.16134255788970378
Candidate: 0x5e, Correlation: -0.15919045702874385
Candidate: 0x3f, Correlation: -0.15913062521245047
Candidate: 0xc4, Correlation: -0.15832851275662893
Candidate: 0xc8, Correlation: -0.15815597724215136
Candidate: 0x83, Correlation: -0.15676670260986347
Candidate: 0xce, Correlation: -0.15310049088904287
Candidate: 0x2e, Correlation: -0.15161626891061925
Candidate: 0xf1, Correlation: -0.14894381641464963
Candidate: 0xb2, Correlation: -0.148691503548855
Candidate: 0x44, Correlation: -0.14807526512979466
Candidate: 0x1, Correlation: -0.14681430832829598
Candidate: 0xf, Correlation: -0.14645945530840504
Candidate: 0x57, Correlation: -0.1438513469910586
Candidate: 0x1e, Correlation: -0.1403864673422988
Candidate: 0xc0, Correlation: -0.13873154876716493
Candidate: 0x4b, Correlation: -0.13830825270905303
Candidate: 0x8, Correlation: -0.13614048387736474
Candidate: 0xef, Correlation: -0.13489349872816178
Candidate: 0xff, Correlation: -0.13417184594713144
Candidate: 0xe7, Correlation: -0.13395531881002315
Candidate: 0x11, Correlation: -0.1338571255720916
Candidate: 0xda, Correlation: -0.13361740184137477
Candidate: 0x61, Correlation: -0.13069732708167428
Candidate: 0xa2, Correlation: -0.13021206748699427
Candidate: 0xae, Correlation: -0.12995147177978628
Candidate: 0xcf, Correlation: -0.12722287080229988
Candidate: 0x4e, Correlation: -0.12567252734246978
Candidate: 0x69, Correlation: -0.12549881844366007
Candidate: 0x9f, Correlation: -0.12368649373293518
Candidate: 0x1a, Correlation: -0.12205126285553962
Candidate: 0x2a, Correlation: -0.1207511699482278
Candidate: 0x16, Correlation: -0.1203232901678401
Candidate: 0x52, Correlation: -0.1201059940070391
Candidate: 0xbf, Correlation: -0.12003362368373899
Candidate: 0x49, Correlation: -0.1196345572012755
Candidate: 0x1f, Correlation: -0.11828807205172039
Candidate: 0x2f, Correlation: -0.11806268560423881
Candidate: 0xdf, Correlation: -0.11755693161265039
Candidate: 0xd6, Correlation: -0.11663656085138499
Candidate: 0x85, Correlation: -0.11584856413115453
Candidate: 0x77, Correlation: -0.11214646847329704
Candidate: 0x5b, Correlation: -0.11183302573358314
Candidate: 0x6d, Correlation: -0.10772856519075666
Candidate: 0xaf, Correlation: -0.10693747533343008
Candidate: 0x96, Correlation: -0.10501147411497555
Candidate: 0x8b, Correlation: -0.10465759290903227
Candidate: 0x65, Correlation: -0.10421989658731047
Candidate: 0x43, Correlation: -0.10337958936192719
Candidate: 0xfd, Correlation: -0.10016266399326833
Candidate: 0xa6, Correlation: -0.09954644238540697
