Candidate: 0x30, Correlation: -0.280541146030209
Candidate: 0xd0, Correlation: -0.2795067060263822
Candidate: 0xed, Correlation: -0.2749367541470672
Candidate: 0xb0, Correlation: -0.2524776713729505
Candidate: 0xee, Correlation: -0.24727988501834527
Candidate: 0xe9, Correlation: -0.24069291732178535
Candidate: 0xf, Correlation: -0.2390479201641863
Candidate: 0x50, Correlation: -0.23854982271981037
Candidate: 0x9, Correlation: -0.2379511236789001
Candidate: 0x17, Correlation: -0.2360342979067727
Candidate: 0x6d, Correlation: -0.23479789057468192
Candidate: 0xf7, Correlation: -0.2314438076978099
Candidate: 0xcf, Correlation: -0.22802484606267293
Candidate: 0x19, Correlation: -0.225165704266448
Candidate: 0xf9, Correlation: -0.21754015364765347
Candidate: 0xf0, Correlation: -0.21607149621155744
Candidate: 0x7, Correlation: -0.21447481226318868
Candidate: 0xe7, Correlation: -0.21162004210890717
Candidate: 0x6e, Correlation: -0.21047405890555107
Candidate: 0xeb, Correlation: -0.20578110385338289
Candidate: 0xef, Correlation: -0.1995910751633472
Candidate: 0x10, Correlation: -0.1977446276138926
Candidate: 0x35, Correlation: -0.19580377548846165
Candidate: 0x11, Correlation: -0.1940201318371821
Candidate: 0x2f, Correlation: -0.1901968637129575
Candidate: 0xf1, Correlation: -0.1871747910007414
Candidate: 0xc5, Correlation: -0.18556165287930684
Candidate: 0x29, Correlation: -0.18521382782966397
Candidate: 0xcb, Correlation: -0.18468220407513747
Candidate: 0xd9, Correlation: -0.1774721439441835
Candidate: 0x45, Correlation: -0.17609733226172256
Candidate: 0x27, Correlation: -0.1752921690419662
Candidate: 0xec, Correlation: -0.17373420034904125
Candidate: 0xe, Correlation: -0.17224948027468281
Candidate: 0xc9, Correlation: -0.1715012683399612
Candidate: 0xa0, Correlation: -0.17112247546887996
Candidate: 0xcd, Correlation: -0.16842968920109594
Candidate: 0xd7, Correlation: -0.16807910861064593
Candidate: 0xb5, Correlation: -0.16804002608714197
Candidate: 0x20, Correlation: -0.16799039898655665
Candidate: 0x69, Correlation: -0.16630204709914734
Candidate: 0x6b, Correlation: -0.16606907306180704
Candidate: 0x4b, Correlation: -0.1652726394994899
Candidate: 0xce, Correlation: -0.1650470993334951
Candidate: 0xd, Correlation: -0.16503810970764657
Candidate: 0x60, Correlation: -0.16479798773622148
Candidate: 0x37, Correlation: -0.16470893109049287
Candidate: 0x40, Correlation: -0.16464828381863342
Candidate: 0x4f, Correlation: -0.16451046435105757
Candidate: 0x3c, Correlation: -0.16396097826033193
Candidate: 0xaf, Correlation: -0.1638362078737845
Candidate: 0x33, Correlation: -0.1636194434453265
Candidate: 0xbc, Correlation: -0.16288102744395486
Candidate: 0xe0, Correlation: -0.16155865860547758
Candidate: 0x3b, Correlation: -0.15938390086518162
Candidate: 0x6f, Correlation: -0.15902797739762237
Candidate: 0x15, Correlation: -0.15899370039234448
Candidate: 0xc0, Correlation: -0.15856816435587687
Candidate: 0xc7, Correlation: -0.15783724549462616
Candidate: 0xc4, Correlation: -0.1576911403984307
Candidate: 0xb, Correlation: -0.157458003657622
Candidate: 0x13, Correlation: -0.15602994207968235
Candidate: 0x34, Correlation: -0.15468157744293395
Candidate: 0x32, Correlation: -0.15404729533063866
Candidate: 0x49, Correlation: -0.15369898097360582
Candidate: 0xf5, Correlation: -0.1530364576640951
Candidate: 0x2e, Correlation: -0.15209050653358935
Candidate: 0x39, Correlation: -0.15203746235789345
Candidate: 0xc3, Correlation: -0.15121566960305025
Candidate: 0x44, Correlation: -0.1507425899703336
Candidate: 0x2d, Correlation: -0.1490722091180551
Candidate: 0xd5, Correlation: -0.14862925895835358
Candidate: 0xcc, Correlation: -0.14770836818024183
Candidate: 0x43, Correlation: -0.14768360424936092
Candidate: 0x99, Correlation: -0.14617448769397953
Candidate: 0xf3, Correlation: -0.1452910260218955
Candidate: 0x80, Correlation: -0.1451941511074481
Candidate: 0x47, Correlation: -0.14467167872356546
Candidate: 0xbb, Correlation: -0.14461736582056547
Candidate: 0x4d, Correlation: -0.14319059962101224
Candidate: 0xd2, Correlation: -0.14303128738551532
