Candidate: 0xe0, Correlation: -0.256790258046836
Candidate: 0xc0, Correlation: -0.249006372787726
Candidate: 0xd4, Correlation: -0.24800234958060696
Candidate: 0xec, Correlation: -0.23800635431135464
Candidate: 0x20, Correlation: -0.23521245021800033
Candidate: 0xe8, Correlation: -0.23340120382544519
Candidate: 0x2c, Correlation: -0.226661353451535
Candidate: 0xe4, Correlation: -0.22536632557247552
Candidate: 0x34, Correlation: -0.22387885712606842
Candidate: 0x18, Correlation: -0.2196735119571393
Candidate: 0x60, Correlation: -0.21883853322195948
Candidate: 0x14, Correlation: -0.21512092090397378
Candidate: 0xb4, Correlation: -0.2150262627424129
Candidate: 0xcc, Correlation: -0.2147794867410962
Candidate: 0xdc, Correlation: -0.21154173552393352
Candidate: 0xf4, Correlation: -0.2112010786303857
Candidate: 0x17, Correlation: -0.21029673451188616
Candidate: 0xa0, Correlation: -0.20728632028841176
Candidate: 0x40, Correlation: -0.20514114525714164
Candidate: 0xe9, Correlation: -0.2047447558698491
Candidate: 0x24, Correlation: -0.20380294698994625
Candidate: 0xe7, Correlation: -0.20344913456179373
Candidate: 0x0, Correlation: -0.2034433792404456
Candidate: 0x54, Correlation: -0.20170948128308797
Candidate: 0xd8, Correlation: -0.2004302646853384
Candidate: 0xd0, Correlation: -0.19994884557060136
Candidate: 0xf8, Correlation: -0.1945734865238207
Candidate: 0xac, Correlation: -0.19435240579449709
Candidate: 0x28, Correlation: -0.18995232973386508
Candidate: 0xa2, Correlation: -0.1886788441981918
Candidate: 0x1c, Correlation: -0.1846311818332309
Candidate: 0xc, Correlation: -0.18372931265751907
Candidate: 0x8, Correlation: -0.18173745185741538
Candidate: 0xf7, Correlation: -0.18022709261070732
Candidate: 0x19, Correlation: -0.1791110240970992
Candidate: 0xe2, Correlation: -0.17782475876114087
Candidate: 0x4c, Correlation: -0.1772352133909663
Candidate: 0xe6, Correlation: -0.1771319472173804
Candidate: 0xe3, Correlation: -0.17388329260226035
Candidate: 0xd7, Correlation: -0.17215901338147124
Candidate: 0x27, Correlation: -0.17150986631832496
Candidate: 0x3, Correlation: -0.17055301187060226
Candidate: 0xc2, Correlation: -0.16943456453621797
Candidate: 0xe5, Correlation: -0.16941938357356437
Candidate: 0xc3, Correlation: -0.16899140269552387
Candidate: 0xbd, Correlation: -0.16866868701550383
Candidate: 0x1, Correlation: -0.16467328098452053
Candidate: 0x29, Correlation: -0.16031218973374695
Candidate: 0x9, Correlation: -0.15948378127365262
Candidate: 0xff, Correlation: -0.1592511130278178
Candidate: 0x43, Correlation: -0.1592022745900311
Candidate: 0xa4, Correlation: -0.15829810208656325
Candidate: 0xb2, Correlation: -0.15656215868478576
Candidate: 0xbf, Correlation: -0.15430584787611523
Candidate: 0xd9, Correlation: -0.15366315794646457
Candidate: 0xc4, Correlation: -0.1533717443730113
Candidate: 0x3d, Correlation: -0.1524841422997202
Candidate: 0xbc, Correlation: -0.15206370858066579
Candidate: 0xe1, Correlation: -0.15182259699277878
Candidate: 0xc8, Correlation: -0.15153714574305366
Candidate: 0xc1, Correlation: -0.15094400447655565
Candidate: 0xa8, Correlation: -0.14894387865891817
Candidate: 0xc5, Correlation: -0.14830223359050207
Candidate: 0xf0, Correlation: -0.14827030995685517
Candidate: 0x22, Correlation: -0.1470058179162418
Candidate: 0x7, Correlation: -0.14612678953153535
Candidate: 0xbb, Correlation: -0.14604813901208014
Candidate: 0x5c, Correlation: -0.1447857780148606
Candidate: 0x10, Correlation: -0.14455611964348983
Candidate: 0xa6, Correlation: -0.14390053953182172
Candidate: 0xbe, Correlation: -0.1437366038614923
Candidate: 0x3f, Correlation: -0.14358232206723454
Candidate: 0x50, Correlation: -0.14295604978129453
Candidate: 0x58, Correlation: -0.14252936738902294
Candidate: 0xeb, Correlation: -0.14234700685711346
Candidate: 0x38, Correlation: -0.14182581853870777
Candidate: 0x45, Correlation: -0.1417340724692716
Candidate: 0xf9, Correlation: -0.1415235309999739
Candidate: 0x98, Correlation: -0.14148270761288406
Candidate: 0xef, Correlation: -0.141370831058672
Candidate: 0x1f, Correlation: -0.1411735632275479
Candidate: 0x94, Correlation: -0.1411291616061364
Candidate: 0x3b, Correlation: -0.14090289361571337
Candidate: 0x4, Correlation: -0.13947306130457737
Candidate: 0x41, Correlation: -0.13823495444884523
Candidate: 0xb8, Correlation: -0.13791838448288682
Candidate: 0x64, Correlation: -0.13772689463210303
