Candidate: 0xfd, Correlation: -0.3332910493326104
Candidate: 0xfb, Correlation: -0.33170812305679315
Candidate: 0x5, Correlation: -0.3226961394059471
Candidate: 0x3, Correlation: -0.297044361495757
Candidate: 0xdc, Correlation: -0.2929917738547205
Candidate: 0x1c, Correlation: -0.291158953606436
Candidate: 0x83, Correlation: -0.29020282123237556
Candidate: 0x7d, Correlation: -0.28062074348035065
Candidate: 0xe4, Correlation: -0.27766723309820024
Candidate: 0x24, Correlation: -0.26573993547384644
Candidate: 0xf9, Correlation: -0.26131788769589426
Candidate: 0xfc, Correlation: -0.25878650908614304
Candidate: 0x85, Correlation: -0.2586742578494892
Candidate: 0x7b, Correlation: -0.25444810772251814
Candidate: 0x72, Correlation: -0.24883512163105567
Candidate: 0x4, Correlation: -0.24826367725751425
Candidate: 0x63, Correlation: -0.237184257094165
Candidate: 0x5c, Correlation: -0.2351331488135999
Candidate: 0x7, Correlation: -0.23414130464223226
Candidate: 0x92, Correlation: -0.2309577424754809
Candidate: 0x9d, Correlation: -0.23072002190714141
Candidate: 0xbe, Correlation: -0.23059857146622126
Candidate: 0xf5, Correlation: -0.22803597499352862
Candidate: 0xda, Correlation: -0.22796191847643935
Candidate: 0x70, Correlation: -0.22757692543117924
Candidate: 0x3e, Correlation: -0.22734021148968972
Candidate: 0x6e, Correlation: -0.22725823696267536
Candidate: 0xc2, Correlation: -0.2269418176988317
Candidate: 0x42, Correlation: -0.22688944640117373
Candidate: 0xb6, Correlation: -0.22574393427616554
Candidate: 0xf7, Correlation: -0.2252114043857114
Candidate: 0xa4, Correlation: -0.2250957906638627
Candidate: 0x3a, Correlation: -0.2244992565323258
Candidate: 0x1, Correlation: -0.2239022596148716
Candidate: 0x81, Correlation: -0.22377651416506855
Candidate: 0x9c, Correlation: -0.22271833219010553
Candidate: 0xba, Correlation: -0.22239042407138665
Candidate: 0x46, Correlation: -0.22221304385342688
Candidate: 0xc6, Correlation: -0.22103687982650355
Candidate: 0x8e, Correlation: -0.2203729060921337
Candidate: 0xe3, Correlation: -0.22029103849349027
Candidate: 0x3c, Correlation: -0.21959553691895445
Candidate: 0xbc, Correlation: -0.2172297866696742
Candidate: 0x8b, Correlation: -0.21716270839889176
Candidate: 0x90, Correlation: -0.21676548813975727
Candidate: 0xa3, Correlation: -0.21469291741929533
Candidate: 0x38, Correlation: -0.214405228486493
Candidate: 0x9b, Correlation: -0.21377879517729284
Candidate: 0x1d, Correlation: -0.2129490603082822
Candidate: 0xff, Correlation: -0.21075920345543928
Candidate: 0xfa, Correlation: -0.2106912880537401
Candidate: 0x7f, Correlation: -0.20998019855393701
Candidate: 0x30, Correlation: -0.20980856078209628
Candidate: 0xde, Correlation: -0.20933656712719356
Candidate: 0xb, Correlation: -0.20758228339360918
Candidate: 0x5d, Correlation: -0.20730269663422785
Candidate: 0x44, Correlation: -0.20674751227681898
Candidate: 0xc4, Correlation: -0.20603232354029613
Candidate: 0x9, Correlation: -0.20590064929787733
Candidate: 0x64, Correlation: -0.20588501718880392
Candidate: 0x26, Correlation: -0.20321404309449478
Candidate: 0xe6, Correlation: -0.2021258128329813
Candidate: 0xe2, Correlation: -0.2015198044721657
Candidate: 0xfe, Correlation: -0.20030557372270072
Candidate: 0xd4, Correlation: -0.19903771376993545
Candidate: 0xae, Correlation: -0.19891123463375412
Candidate: 0x23, Correlation: -0.1975901196514399
Candidate: 0x1b, Correlation: -0.1974802341821503
Candidate: 0x1a, Correlation: -0.1970436469248772
Candidate: 0x65, Correlation: -0.19697338581696994
Candidate: 0x75, Correlation: -0.19626625872997563
Candidate: 0x73, Correlation: -0.19606344031242767
Candidate: 0x6, Correlation: -0.1954562730808248
Candidate: 0x8d, Correlation: -0.19335416224138252
Candidate: 0xdd, Correlation: -0.19230518017953896
Candidate: 0x6a, Correlation: -0.19213587638497276
Candidate: 0x22, Correlation: -0.1915194727572874
Candidate: 0x6b, Correlation: -0.19075529716784598
Candidate: 0x14, Correlation: -0.19046542944528017
Candidate: 0xe5, Correlation: -0.18827633722158102
Candidate: 0xd6, Correlation: -0.18770125733020673
Candidate: 0xf2, Correlation: -0.1873189161096376
Candidate: 0x2, Correlation: -0.18610149237245183
Candidate: 0xa6, Correlation: -0.18601783413521353
Candidate: 0x62, Correlation: -0.18532752318106707
Candidate: 0x12, Correlation: -0.18414163571791836
Candidate: 0x52, Correlation: -0.1841264622594665
Candidate: 0xec, Correlation: -0.1832731331886681
Candidate: 0x36, Correlation: -0.18271382970192757
Candidate: 0x1e, Correlation: -0.18147105386558623
Candidate: 0x93, Correlation: -0.18008486345167143
Candidate: 0x9e, Correlation: -0.1798599677047732
Candidate: 0x50, Correlation: -0.17833491353830644
Candidate: 0x34, Correlation: -0.1781467272266851
Candidate: 0x6d, Correlation: -0.1780030840129531
Candidate: 0xf4, Correlation: -0.17553703342360044
