Candidate: 0xc0, Correlation: -0.35268020954013024
Candidate: 0x40, Correlation: -0.35260531870932255
Candidate: 0x20, Correlation: -0.32909449173487204
Candidate: 0x60, Correlation: -0.3216071290004679
Candidate: 0xe0, Correlation: -0.32015949033214874
Candidate: 0xa0, Correlation: -0.3054152502200299
Candidate: 0x80, Correlation: -0.28341081976591287
Candidate: 0x7f, Correlation: -0.27958982092482876
Candidate: 0x29, Correlation: -0.2752188566515291
Candidate: 0x0, Correlation: -0.27456769598043596
Candidate: 0x38, Correlation: -0.27369412478023697
Candidate: 0x48, Correlation: -0.26969252476225275
Candidate: 0xde, Correlation: -0.2689214133074492
Candidate: 0xb8, Correlation: -0.26772383561137714
Candidate: 0xc8, Correlation: -0.266579088700844
Candidate: 0xa9, Correlation: -0.2656646990327473
Candidate: 0x1e, Correlation: -0.26556117070223445
Candidate: 0x83, Correlation: -0.2647247513706643
Candidate: 0x81, Correlation: -0.2640314082007068
Candidate: 0x3e, Correlation: -0.26272443510038124
Candidate: 0xbe, Correlation: -0.25658154225243224
Candidate: 0x7d, Correlation: -0.2548681318783111
Candidate: 0x22, Correlation: -0.2541893529369882
Candidate: 0xe2, Correlation: -0.24903997585672785
Candidate: 0x9c, Correlation: -0.24779604712162182
Candidate: 0xc2, Correlation: -0.2392253162811898
Candidate: 0x42, Correlation: -0.23898449090254356
Candidate: 0x5c, Correlation: -0.23618164735038819
Candidate: 0xa4, Correlation: -0.23048559830134052
Candidate: 0x5e, Correlation: -0.22697348112534335
Candidate: 0x25, Correlation: -0.22246704324530994
Candidate: 0x99, Correlation: -0.22197110178414672
Candidate: 0x84, Correlation: -0.21856302922430598
Candidate: 0x9e, Correlation: -0.21792343155588323
Candidate: 0x7b, Correlation: -0.2155898434968957
Candidate: 0x44, Correlation: -0.21549554854431888
Candidate: 0xc4, Correlation: -0.21503902008571116
Candidate: 0xa2, Correlation: -0.2146773947239646
Candidate: 0x62, Correlation: -0.21361704536080503
Candidate: 0xa5, Correlation: -0.21343393336628072
Candidate: 0x1c, Correlation: -0.21275631274169843
Candidate: 0x64, Correlation: -0.21228311430090258
Candidate: 0x94, Correlation: -0.21226274388097852
Candidate: 0x19, Correlation: -0.2111061911161646
Candidate: 0x54, Correlation: -0.208974328845795
Candidate: 0x63, Correlation: -0.2071565907980707
Candidate: 0x61, Correlation: -0.20649924595621622
Candidate: 0x24, Correlation: -0.20558233363272976
Candidate: 0xbc, Correlation: -0.20556681625053205
Candidate: 0xa1, Correlation: -0.20466622589707079
Candidate: 0x21, Correlation: -0.2041156044852832
Candidate: 0x9d, Correlation: -0.20309895322190602
Candidate: 0x7c, Correlation: -0.19845702848619404
Candidate: 0xdc, Correlation: -0.198017083612104
Candidate: 0x3c, Correlation: -0.19688932400352957
Candidate: 0xa3, Correlation: -0.19328532330699777
Candidate: 0x85, Correlation: -0.19192225138972027
Candidate: 0x9f, Correlation: -0.19139723943654383
Candidate: 0xf8, Correlation: -0.18972978694463413
Candidate: 0x8, Correlation: -0.18838486978423633
Candidate: 0x4c, Correlation: -0.18654769097675905
Candidate: 0xac, Correlation: -0.18647004261763248
Candidate: 0x8c, Correlation: -0.18399723359898487
Candidate: 0xc5, Correlation: -0.18270990995503444
Candidate: 0xb9, Correlation: -0.18242981284070997
Candidate: 0x5f, Correlation: -0.18205113407918727
Candidate: 0x50, Correlation: -0.1820001936215931
Candidate: 0x5d, Correlation: -0.18155677188015124
Candidate: 0xab, Correlation: -0.18128196366538274
Candidate: 0x88, Correlation: -0.18014993804468538
Candidate: 0x28, Correlation: -0.1797845303166488
Candidate: 0xd4, Correlation: -0.17773894843298835
Candidate: 0xbf, Correlation: -0.17757636371412408
Candidate: 0x30, Correlation: -0.1768618665816088
Candidate: 0x98, Correlation: -0.17663505362569762
Candidate: 0xb5, Correlation: -0.17644368387740533
Candidate: 0xb4, Correlation: -0.17524486953646393
Candidate: 0xe4, Correlation: -0.17490771329054283
Candidate: 0xe9, Correlation: -0.17486705941210545
Candidate: 0x14, Correlation: -0.174144467190045
Candidate: 0xa8, Correlation: -0.17381792736668522
Candidate: 0xb0, Correlation: -0.17286609170527872
Candidate: 0x2b, Correlation: -0.17277662984178052
Candidate: 0x74, Correlation: -0.170453100087746
Candidate: 0x34, Correlation: -0.16986161989739984
Candidate: 0x3f, Correlation: -0.1697516801401682
Candidate: 0x58, Correlation: -0.16963407415933157
Candidate: 0x78, Correlation: -0.1692226609787233
Candidate: 0xcc, Correlation: -0.1685300450116851
Candidate: 0xd8, Correlation: -0.1684110842819136
Candidate: 0x2c, Correlation: -0.16832517826278787
Candidate: 0x65, Correlation: -0.16782998930017654
Candidate: 0x6c, Correlation: -0.16753769471338423
Candidate: 0x9b, Correlation: -0.16537555083444097
