Candidate: 0x9c, Correlation: -0.5015412865094345
Candidate: 0x0, Correlation: -0.457862185386391
Candidate: 0xe7, Correlation: -0.39557141285222336
Candidate: 0x9e, Correlation: -0.39033256533288935
Candidate: 0xbc, Correlation: -0.38970745709257043
Candidate: 0xa0, Correlation: -0.38678022965548603
Candidate: 0x9d, Correlation: -0.38006213614369233
Candidate: 0x1c, Correlation: -0.36999949771522506
Candidate: 0xdc, Correlation: -0.36833999351961244
Candidate: 0xa4, Correlation: -0.3677094797067558
Candidate: 0x7, Correlation: -0.35618044363631124
Candidate: 0xac, Correlation: -0.35413309381220337
Candidate: 0x2, Correlation: -0.3537505439445557
Candidate: 0x80, Correlation: -0.35276197700299605
Candidate: 0xfc, Correlation: -0.35261066665571406
Candidate: 0xde, Correlation: -0.3475799151376877
Candidate: 0xe0, Correlation: -0.3441421824976661
Candidate: 0x1, Correlation: -0.3434831980181256
Candidate: 0x8, Correlation: -0.3421216224498237
Candidate: 0x10, Correlation: -0.3405341925657109
Candidate: 0xeb, Correlation: -0.3399739228753629
Candidate: 0xc0, Correlation: -0.33926020761723497
Candidate: 0xe5, Correlation: -0.3323002611758752
Candidate: 0xe2, Correlation: -0.3173680712383097
Candidate: 0xe6, Correlation: -0.31694335473586566
Candidate: 0xdf, Correlation: -0.3117494601477226
Candidate: 0xb, Correlation: -0.3027198496409005
Candidate: 0x5, Correlation: -0.2936564863303117
Candidate: 0xe3, Correlation: -0.28099895831423904
Candidate: 0xea, Correlation: -0.27922463401186115
Candidate: 0xbe, Correlation: -0.2783905877604838
Candidate: 0xe9, Correlation: -0.2777028347220678
Candidate: 0x6, Correlation: -0.2761098347316011
Candidate: 0xa2, Correlation: -0.275553256812581
Candidate: 0xbd, Correlation: -0.27198502916893047
Candidate: 0x9f, Correlation: -0.27003541724753377
Candidate: 0x20, Correlation: -0.2693466581328217
Candidate: 0xff, Correlation: -0.266871211665042
Candidate: 0xa1, Correlation: -0.26660430357708464
Candidate: 0x24, Correlation: -0.2662479879876427
Candidate: 0xe4, Correlation: -0.2639627496175466
Candidate: 0xdd, Correlation: -0.2616753525945636
Candidate: 0xc4, Correlation: -0.26063297458311957
Candidate: 0x67, Correlation: -0.26004760063378235
Candidate: 0x3c, Correlation: -0.25988140972762264
Candidate: 0xfe, Correlation: -0.25826708741394455
Candidate: 0x1e, Correlation: -0.25588604848534907
Candidate: 0xa8, Correlation: -0.255086897527614
Candidate: 0xa6, Correlation: -0.25348949917045605
Candidate: 0x28, Correlation: -0.2522692287605916
Candidate: 0x9, Correlation: -0.2518513180475395
Candidate: 0xa5, Correlation: -0.2488262055376043
Candidate: 0x1d, Correlation: -0.24742428585435003
Candidate: 0xf7, Correlation: -0.24642197656108697
Candidate: 0xae, Correlation: -0.24630324741736037
Candidate: 0x7c, Correlation: -0.2445118521916344
Candidate: 0xad, Correlation: -0.24403312994109344
Candidate: 0x82, Correlation: -0.24198035343578164
Candidate: 0x2c, Correlation: -0.24175713021699413
Candidate: 0xb0, Correlation: -0.24024715511724828
Candidate: 0x3, Correlation: -0.2398158816034083
Candidate: 0xfd, Correlation: -0.2390688061823256
Candidate: 0xcc, Correlation: -0.238612413733208
Candidate: 0x5c, Correlation: -0.23787890825349606
Candidate: 0x4, Correlation: -0.2368122777143951
Candidate: 0x29, Correlation: -0.2361470731084197
Candidate: 0x81, Correlation: -0.2355664531855133
Candidate: 0x12, Correlation: -0.2350229319316091
Candidate: 0xb4, Correlation: -0.23426639316677977
Candidate: 0xa, Correlation: -0.23402423874970185
Candidate: 0xe8, Correlation: -0.23350074629815598
Candidate: 0xc2, Correlation: -0.23336730108052828
Candidate: 0xc, Correlation: -0.23328759603477622
Candidate: 0x60, Correlation: -0.23322351030784225
Candidate: 0xe1, Correlation: -0.23172118586332352
Candidate: 0x90, Correlation: -0.23067578720716073
Candidate: 0x88, Correlation: -0.23009774258343899
Candidate: 0x40, Correlation: -0.22872433163260839
Candidate: 0x11, Correlation: -0.226103451219465
Candidate: 0xf0, Correlation: -0.2254671458570986
Candidate: 0xec, Correlation: -0.2250474853349886
Candidate: 0xc1, Correlation: -0.22487428059411912
Candidate: 0x9b, Correlation: -0.22397550277926084
Candidate: 0x18, Correlation: -0.22352885841958828
Candidate: 0x87, Correlation: -0.2228939253787447
Candidate: 0xd0, Correlation: -0.22086272184023015
Candidate: 0xc8, Correlation: -0.22019403427927828
Candidate: 0x38, Correlation: -0.21964682947463168
Candidate: 0xa3, Correlation: -0.21148287655591916
Candidate: 0xa9, Correlation: -0.20957324330998908
Candidate: 0xaa, Correlation: -0.20951301345627188
Candidate: 0x37, Correlation: -0.20834436345786958
Candidate: 0x6b, Correlation: -0.2067909197033203
Candidate: 0x17, Correlation: -0.20663676706736409
Candidate: 0xa7, Correlation: -0.20659529181059913
Candidate: 0x21, Correlation: -0.2061027834899014
Candidate: 0x35, Correlation: -0.20365834149938253
Candidate: 0x39, Correlation: -0.2019871032800146
Candidate: 0x65, Correlation: -0.20112663080609877
Candidate: 0xb7, Correlation: -0.19516558627595976
Candidate: 0xb8, Correlation: -0.19383841953628458
Candidate: 0xfb, Correlation: -0.19367726123296647
Candidate: 0x30, Correlation: -0.1896703178886297
Candidate: 0x5e, Correlation: -0.1881427699902172
Candidate: 0xb5, Correlation: -0.18771131082054138
Candidate: 0x1b, Correlation: -0.18493215187185988
Candidate: 0xf5, Correlation: -0.1842975693829764
Candidate: 0x66, Correlation: -0.1833846511544169
Candidate: 0x2f, Correlation: -0.18273892071668282
Candidate: 0x7b, Correlation: -0.18217169476830608
Candidate: 0x99, Correlation: -0.18164123473999944
Candidate: 0x68, Correlation: -0.18152186680340376
Candidate: 0x25, Correlation: -0.18004086651630355
Candidate: 0x22, Correlation: -0.17839520696252595
Candidate: 0x97, Correlation: -0.1777893797065448
Candidate: 0x8b, Correlation: -0.17731711899163027
Candidate: 0x5f, Correlation: -0.17711796492021614
Candidate: 0x2d, Correlation: -0.17638073922907
Candidate: 0xb9, Correlation: -0.17617201473147068
Candidate: 0xab, Correlation: -0.17436942878903505
Candidate: 0x93, Correlation: -0.1736264039134004
Candidate: 0x36, Correlation: -0.1717667572921744
Candidate: 0x31, Correlation: -0.1709171771524748
Candidate: 0x27, Correlation: -0.17050026664070428
Candidate: 0xf6, Correlation: -0.17047044977858064
Candidate: 0x69, Correlation: -0.16935008401732776
Candidate: 0x34, Correlation: -0.1677496385031235
Candidate: 0x9a, Correlation: -0.16722313119530421
