Candidate: 0xff, Correlation: -0.4567725035677729
Candidate: 0x42, Correlation: -0.4493738368194461
Candidate: 0x43, Correlation: -0.39700452008863824
Candidate: 0x2, Correlation: -0.37648496653176716
Candidate: 0x3e, Correlation: -0.36754415812228663
Candidate: 0x3, Correlation: -0.35608565421849575
Candidate: 0x1, Correlation: -0.3494239646286206
Candidate: 0xef, Correlation: -0.3472284278311587
Candidate: 0x3f, Correlation: -0.34666569192902763
Candidate: 0xdf, Correlation: -0.33789746485479744
Candidate: 0xfe, Correlation: -0.33753480514279427
Candidate: 0x44, Correlation: -0.336974923262652
Candidate: 0x4a, Correlation: -0.32526618472201957
Candidate: 0x7f, Correlation: -0.3247174377093044
Candidate: 0x7, Correlation: -0.3237794210935578
Candidate: 0xc2, Correlation: -0.3133438530264133
Candidate: 0x32, Correlation: -0.3101176795870315
Candidate: 0x2f, Correlation: -0.2996464460265973
Candidate: 0x56, Correlation: -0.29922215130888513
Candidate: 0xfb, Correlation: -0.2952486081502616
Candidate: 0x31, Correlation: -0.294974470085571
Candidate: 0x22, Correlation: -0.2903939298486498
Candidate: 0xf1, Correlation: -0.2850072812908876
Candidate: 0x45, Correlation: -0.28240340854698365
Candidate: 0x4b, Correlation: -0.2658215762326903
Candidate: 0xdb, Correlation: -0.2626336865550192
Candidate: 0xce, Correlation: -0.26044888165468927
Candidate: 0x4, Correlation: -0.2602980679206614
Candidate: 0xc3, Correlation: -0.2566093080209774
Candidate: 0x40, Correlation: -0.2536117395307381
Candidate: 0x33, Correlation: -0.25193627605310465
Candidate: 0xfd, Correlation: -0.25136907652050483
Candidate: 0xa, Correlation: -0.2503138741370262
Candidate: 0xf3, Correlation: -0.24975443806267827
Candidate: 0x5, Correlation: -0.2495042247692183
Candidate: 0xd6, Correlation: -0.2484470708008557
Candidate: 0x4e, Correlation: -0.24543898974861791
Candidate: 0x46, Correlation: -0.24056492643984037
Candidate: 0x41, Correlation: -0.24013035863763255
Candidate: 0xe3, Correlation: -0.2394180424407864
Candidate: 0xcf, Correlation: -0.23653786261073156
Candidate: 0xf2, Correlation: -0.2357757269675165
Candidate: 0x82, Correlation: -0.235010713993347
Candidate: 0x23, Correlation: -0.23487078133875067
Candidate: 0xee, Correlation: -0.23473265348958122
Candidate: 0x2e, Correlation: -0.23443426658114166
Candidate: 0x3b, Correlation: -0.23425411331136803
Candidate: 0xe1, Correlation: -0.2335174537974592
Candidate: 0xbe, Correlation: -0.23205079571079154
Candidate: 0x76, Correlation: -0.23160559600267827
Candidate: 0x1f, Correlation: -0.23090338426266224
Candidate: 0x0, Correlation: -0.23009905239751402
Candidate: 0x30, Correlation: -0.22928020021133783
Candidate: 0xb, Correlation: -0.22537821520258408
Candidate: 0x66, Correlation: -0.22424120461465805
Candidate: 0x83, Correlation: -0.22370426739088956
Candidate: 0x7b, Correlation: -0.22366599238211335
Candidate: 0xf0, Correlation: -0.22300227769934033
Candidate: 0xdd, Correlation: -0.22121840191695705
Candidate: 0xde, Correlation: -0.22120017556169874
Candidate: 0x6f, Correlation: -0.22040671067506226
Candidate: 0xf7, Correlation: -0.22032450876491944
Candidate: 0x57, Correlation: -0.218397913514159
Candidate: 0xbf, Correlation: -0.21752080946901572
Candidate: 0xf5, Correlation: -0.2173517397912034
Candidate: 0x81, Correlation: -0.2156671306798073
Candidate: 0xfc, Correlation: -0.2145996736411192
Candidate: 0x9, Correlation: -0.21408242543238465
Candidate: 0xe2, Correlation: -0.21367770942583567
Candidate: 0x47, Correlation: -0.21309350676050426
Candidate: 0xf, Correlation: -0.2121432695658212
Candidate: 0x11, Correlation: -0.20923905934732798
Candidate: 0x6, Correlation: -0.20871249859320637
Candidate: 0x1e, Correlation: -0.20841473796916338
Candidate: 0x5a, Correlation: -0.20828399188156074
Candidate: 0x4c, Correlation: -0.2082368415909477
Candidate: 0x7e, Correlation: -0.20782773071586702
Candidate: 0x5f, Correlation: -0.20776009143605317
Candidate: 0x36, Correlation: -0.20683051183419687
Candidate: 0xe7, Correlation: -0.2045738065617503
Candidate: 0x96, Correlation: -0.2041778144532515
Candidate: 0x7d, Correlation: -0.2039107812950555
Candidate: 0x1b, Correlation: -0.2034433792404456
Candidate: 0x58, Correlation: -0.20327566164486036
Candidate: 0xfa, Correlation: -0.20307837770598589
