Candidate: 0xf7, Correlation: -0.20353513066793558
Candidate: 0x37, Correlation: -0.18379921040342065
Candidate: 0x77, Correlation: -0.17327093746880842
Candidate: 0x7, Correlation: -0.1699205113350992
Candidate: 0xb7, Correlation: -0.16515126468686964
Candidate: 0x17, Correlation: -0.16276124622307184
Candidate: 0xfb, Correlation: -0.15855214104528373
Candidate: 0xe7, Correlation: -0.15614682146320807
Candidate: 0xe8, Correlation: -0.15088488035249342
Candidate: 0x47, Correlation: -0.14612438786446819
Candidate: 0x27, Correlation: -0.14378152868550925
Candidate: 0x0, Correlation: -0.14021403188764484
Candidate: 0x3b, Correlation: -0.1385207165455558
Candidate: 0x87, Correlation: -0.13575908244040497
Candidate: 0xb, Correlation: -0.13535492082874376
Candidate: 0x97, Correlation: -0.13171354186167755
Candidate: 0xe5, Correlation: -0.13146803236366575
Candidate: 0x7b, Correlation: -0.12927606088485596
Candidate: 0xe6, Correlation: -0.12535308753501148
Candidate: 0x57, Correlation: -0.12469729198049177
Candidate: 0xff, Correlation: -0.12287270038734978
Candidate: 0x67, Correlation: -0.12107742698866336
Candidate: 0xa7, Correlation: -0.12091610752172896
Candidate: 0x2b, Correlation: -0.12019595764246137
Candidate: 0xf3, Correlation: -0.11887514063578478
Candidate: 0x33, Correlation: -0.1173820450768537
Candidate: 0x1b, Correlation: -0.11692741515875485
Candidate: 0xeb, Correlation: -0.11641686156424223
Candidate: 0xf9, Correlation: -0.11630860739661297
Candidate: 0xdf, Correlation: -0.11519436152059521
Candidate: 0xc7, Correlation: -0.11513871899896415
Candidate: 0xbb, Correlation: -0.11505953971629376
Candidate: 0xd7, Correlation: -0.11425456534956717
Candidate: 0xf, Correlation: -0.11382796477938106
Candidate: 0x2f, Correlation: -0.11067343399367342
Candidate: 0xe9, Correlation: -0.11043654673351697
Candidate: 0xe0, Correlation: -0.10953515620271372
Candidate: 0x20, Correlation: -0.10883650021499425
Candidate: 0xef, Correlation: -0.10711763362027837
Candidate: 0x3, Correlation: -0.1063905380586411
Candidate: 0x4b, Correlation: -0.10440598885754981
Candidate: 0x10, Correlation: -0.10426501782221707
Candidate: 0x68, Correlation: -0.10327321151712161
Candidate: 0x6b, Correlation: -0.10163030076981742
Candidate: 0xe4, Correlation: -0.10111670893581266
Candidate: 0xea, Correlation: -0.10103511287825753
Candidate: 0x13, Correlation: -0.10002284048727028
Candidate: 0x8b, Correlation: -0.09938699573599727
Candidate: 0x3f, Correlation: -0.09926041858231976
Candidate: 0xf0, Correlation: -0.0981544276647846
Candidate: 0xab, Correlation: -0.09756870310673758
Candidate: 0xb3, Correlation: -0.09606694383840245
Candidate: 0x73, Correlation: -0.09391317709607731
Candidate: 0x39, Correlation: -0.09307023151961982
Candidate: 0xaf, Correlation: -0.09289880678926729
Candidate: 0x80, Correlation: -0.09288885999309252
Candidate: 0x9, Correlation: -0.0922171435087029
Candidate: 0x1, Correlation: -0.09213534276446277
Candidate: 0x9b, Correlation: -0.09125722868823409
Candidate: 0x79, Correlation: -0.08890585217608041
Candidate: 0x7f, Correlation: -0.08887363942449791
Candidate: 0x6f, Correlation: -0.08860951511282641
Candidate: 0x5b, Correlation: -0.08534365678170668
Candidate: 0x43, Correlation: -0.0843172761544941
Candidate: 0x1f, Correlation: -0.0839905311572242
Candidate: 0x28, Correlation: -0.0833016960411286
Candidate: 0x60, Correlation: -0.08243771970385072
Candidate: 0x66, Correlation: -0.08108185659829167
Candidate: 0xdb, Correlation: -0.08063697882342047
Candidate: 0xcb, Correlation: -0.07976012239488699
Candidate: 0x19, Correlation: -0.07972851502936816
Candidate: 0xa0, Correlation: -0.07923947522161355
Candidate: 0x30, Correlation: -0.07914381778136208
Candidate: 0x8f, Correlation: -0.0782929143389133
Candidate: 0x8, Correlation: -0.07772875412679552
Candidate: 0xa8, Correlation: -0.07675452985434675
Candidate: 0xb9, Correlation: -0.07664014663804589
Candidate: 0x65, Correlation: -0.07583200768277576
Candidate: 0xd8, Correlation: -0.07569698061960632
Candidate: 0xe3, Correlation: -0.07539478685698374
Candidate: 0xf8, Correlation: -0.07536833402171149
Candidate: 0xc8, Correlation: -0.07497096275121942
Candidate: 0x40, Correlation: -0.0744186885059966
Candidate: 0x23, Correlation: -0.07438735581745122
Candidate: 0x4f, Correlation: -0.07437120275489059
Candidate: 0x70, Correlation: -0.07355849706600467
Candidate: 0xec, Correlation: -0.0732810322124541
Candidate: 0x83, Correlation: -0.07305719299888706
Candidate: 0xbf, Correlation: -0.07230910537897332
Candidate: 0x29, Correlation: -0.07048031638338026
Candidate: 0xad, Correlation: -0.06974698632680223
Candidate: 0xe2, Correlation: -0.06809988738763847
Candidate: 0x90, Correlation: -0.06776953010543844
Candidate: 0xaa, Correlation: -0.06755969543652211
Candidate: 0x5, Correlation: -0.06692372854402703
Candidate: 0x11, Correlation: -0.06656925874072098
Candidate: 0x93, Correlation: -0.0665177554016313
Candidate: 0xc0, Correlation: -0.0658827996090522
Candidate: 0xb0, Correlation: -0.06574242714855755
Candidate: 0x54, Correlation: -0.06555476467633141
Candidate: 0x49, Correlation: -0.06522038847442396
Candidate: 0xfd, Correlation: -0.06498050736440848
Candidate: 0x50, Correlation: -0.06492274365555724
Candidate: 0x6a, Correlation: -0.06411714674132099
Candidate: 0xf5, Correlation: -0.06327845899459403
Candidate: 0xe1, Correlation: -0.0625985596324628
Candidate: 0x2d, Correlation: -0.06254209268869856
Candidate: 0x3d, Correlation: -0.062412684399207434
Candidate: 0x21, Correlation: -0.06227155806975361
Candidate: 0xbd, Correlation: -0.062091453658306414
Candidate: 0xd5, Correlation: -0.061794160625476414
Candidate: 0x5f, Correlation: -0.0616607660589155
Candidate: 0xfc, Correlation: -0.06139911363790787
Candidate: 0x88, Correlation: -0.060886589774355404
Candidate: 0xe, Correlation: -0.060788403784766146
Candidate: 0xc5, Correlation: -0.060558329917406895
Candidate: 0x15, Correlation: -0.06033642330858343
Candidate: 0xd, Correlation: -0.06017230905193836
Candidate: 0x26, Correlation: -0.06003439921535904
Candidate: 0xba, Correlation: -0.05994455733587222
Candidate: 0xd0, Correlation: -0.059899316769111796
Candidate: 0x25, Correlation: -0.05965221128060407
Candidate: 0xae, Correlation: -0.05954717695794336
Candidate: 0x8c, Correlation: -0.05941424048816441
Candidate: 0x53, Correlation: -0.05912154230813136
Candidate: 0xf1, Correlation: -0.05868719692222313
Candidate: 0xb1, Correlation: -0.05854814231409231
Candidate: 0x2a, Correlation: -0.05848802482065567
Candidate: 0x6e, Correlation: -0.05846683788810571
Candidate: 0xee, Correlation: -0.05809869375120436
Candidate: 0xcf, Correlation: -0.05808917563429175
Candidate: 0xc3, Correlation: -0.05805670706707943
Candidate: 0x74, Correlation: -0.05753661883304728
Candidate: 0xd1, Correlation: -0.05752374895554639
Candidate: 0xc4, Correlation: -0.057496266409689266
Candidate: 0x9f, Correlation: -0.05732376299374821
Candidate: 0xed, Correlation: -0.057251936840148204
Candidate: 0xde, Correlation: -0.05723906965989492
Candidate: 0x89, Correlation: -0.05720746428638645
Candidate: 0x7e, Correlation: -0.05707467183675579
Candidate: 0x99, Correlation: -0.05692077634537514
Candidate: 0x45, Correlation: -0.05691145902234153
Candidate: 0x69, Correlation: -0.05690117909183715
Candidate: 0x8e, Correlation: -0.05668411551165118
Candidate: 0xdd, Correlation: -0.056374411654877506
Candidate: 0x64, Correlation: -0.056368311913918674
