Candidate: 0xfe, Correlation: -0.22807234016375852
Candidate: 0x2, Correlation: -0.22498742508402858
Candidate: 0x0, Correlation: -0.19624891692161664
Candidate: 0xff, Correlation: -0.18433856441799856
Candidate: 0x7e, Correlation: -0.18006244811095498
Candidate: 0x82, Correlation: -0.17428456284181454
Candidate: 0x3e, Correlation: -0.1712008782156152
Candidate: 0x42, Correlation: -0.16022600954542604
Candidate: 0x1e, Correlation: -0.15557779681676542
Candidate: 0x22, Correlation: -0.15476547370365037
Candidate: 0xbf, Correlation: -0.15101878981695385
Candidate: 0x3f, Correlation: -0.14961179301942978
Candidate: 0x80, Correlation: -0.14768981942461049
Candidate: 0x40, Correlation: -0.13599362990267228
Candidate: 0xfa, Correlation: -0.13598489895476965
Candidate: 0x20, Correlation: -0.13086156321817233
Candidate: 0x1, Correlation: -0.1306202064138405
Candidate: 0xa, Correlation: -0.12925473139000246
Candidate: 0xe, Correlation: -0.128329468206592
Candidate: 0x6, Correlation: -0.12783531605981782
Candidate: 0xee, Correlation: -0.12534305454329456
Candidate: 0x7f, Correlation: -0.12082071366176514
Candidate: 0xf2, Correlation: -0.1199417347675116
Candidate: 0x12, Correlation: -0.11919583817890128
Candidate: 0x1a, Correlation: -0.11889060066106547
Candidate: 0xf6, Correlation: -0.11623459768391874
Candidate: 0x1f, Correlation: -0.11618450892907742
Candidate: 0x5e, Correlation: -0.11220505580488928
Candidate: 0xde, Correlation: -0.11024089085984448
Candidate: 0x4, Correlation: -0.11017951283786091
Candidate: 0xfc, Correlation: -0.10780875776962395
Candidate: 0xbe, Correlation: -0.10704707600185784
Candidate: 0x6e, Correlation: -0.1068761352290174
Candidate: 0x62, Correlation: -0.10527431009567631
Candidate: 0x2e, Correlation: -0.10362334490226241
Candidate: 0xdf, Correlation: -0.101806179028227
Candidate: 0x9e, Correlation: -0.1004092019581605
Candidate: 0x7a, Correlation: -0.09815265830179774
Candidate: 0x3a, Correlation: -0.09699153412485469
Candidate: 0x10, Correlation: -0.09695851594834894
Candidate: 0xf, Correlation: -0.09687538065722551
Candidate: 0xe2, Correlation: -0.09562827995247478
Candidate: 0xc2, Correlation: -0.09378264659607101
Candidate: 0x3, Correlation: -0.09344821941245948
Candidate: 0xef, Correlation: -0.09211377124934307
Candidate: 0xa2, Correlation: -0.09203037640824799
Candidate: 0xc0, Correlation: -0.09134353083958195
Candidate: 0x8e, Correlation: -0.08944946402503505
Candidate: 0x81, Correlation: -0.08877305779705374
Candidate: 0x9f, Correlation: -0.08748047255886485
Candidate: 0x2f, Correlation: -0.08639747736538335
Candidate: 0xf0, Correlation: -0.0856542145401997
Candidate: 0x72, Correlation: -0.0822727090605137
Candidate: 0x76, Correlation: -0.08123191464342604
Candidate: 0xa0, Correlation: -0.07961406061799668
Candidate: 0x4e, Correlation: -0.07868480378994655
Candidate: 0xce, Correlation: -0.07838022340888293
Candidate: 0x7, Correlation: -0.07805788996630092
Candidate: 0x5f, Correlation: -0.07761314985407079
Candidate: 0xf8, Correlation: -0.07722885163406906
Candidate: 0x60, Correlation: -0.0771401738162513
Candidate: 0x8, Correlation: -0.07661742597170455
Candidate: 0x41, Correlation: -0.07651959871648414
Candidate: 0x86, Correlation: -0.07544305319795232
Candidate: 0x16, Correlation: -0.07536585334876389
Candidate: 0xfd, Correlation: -0.07359618996632515
Candidate: 0x32, Correlation: -0.07272241842598212
Candidate: 0x8a, Correlation: -0.07264565147219346
Candidate: 0xb2, Correlation: -0.07179054426335245
Candidate: 0x4a, Correlation: -0.07160624942098041
Candidate: 0xcf, Correlation: -0.0714818467459216
Candidate: 0xae, Correlation: -0.0710743298745028
Candidate: 0xdd, Correlation: -0.07023329951996707
Candidate: 0x21, Correlation: -0.06992367220521216
Candidate: 0x52, Correlation: -0.06896525126963855
Candidate: 0xe0, Correlation: -0.06890876458549293
Candidate: 0x7c, Correlation: -0.06864039388978237
Candidate: 0x9d, Correlation: -0.0683443565561548
Candidate: 0x2a, Correlation: -0.06562710518363264
Candidate: 0x5c, Correlation: -0.06525057609724857
Candidate: 0x46, Correlation: -0.06518215362005035
Candidate: 0xfb, Correlation: -0.06516855644769887
Candidate: 0xf7, Correlation: -0.06512687151217934
Candidate: 0x92, Correlation: -0.0647984769706706
Candidate: 0xaf, Correlation: -0.0646281719471677
Candidate: 0x8b, Correlation: -0.06419819401859009
Candidate: 0x9a, Correlation: -0.06402532266987122
