Candidate: 0x2b, Correlation: -0.29119801228288134
Candidate: 0x23, Correlation: -0.2182633450310272
Candidate: 0xb, Correlation: -0.20503131684414322
Candidate: 0x29, Correlation: -0.19979580111101686
Candidate: 0x33, Correlation: -0.19265789456894247
Candidate: 0xfb, Correlation: -0.1915988284274943
Candidate: 0xab, Correlation: -0.18853998628865495
Candidate: 0x3b, Correlation: -0.1825703002186793
Candidate: 0xeb, Correlation: -0.17702350561467245
Candidate: 0x27, Correlation: -0.16921853308166399
Candidate: 0x13, Correlation: -0.16885271975985117
Candidate: 0x4b, Correlation: -0.166183441327803
Candidate: 0xbb, Correlation: -0.16306784664866728
Candidate: 0x7b, Correlation: -0.1572750755086312
Candidate: 0x1b, Correlation: -0.15489222314907633
Candidate: 0xb3, Correlation: -0.1547659322875087
Candidate: 0x3, Correlation: -0.1536514008231124
Candidate: 0x73, Correlation: -0.14802723023900974
Candidate: 0x25, Correlation: -0.1474478552379737
Candidate: 0x43, Correlation: -0.14717597527364834
Candidate: 0x7f, Correlation: -0.14603986684043355
Candidate: 0x6b, Correlation: -0.14319808076866872
Candidate: 0x2d, Correlation: -0.1423544213918733
Candidate: 0xff, Correlation: -0.14015188568089965
Candidate: 0xf3, Correlation: -0.13907927798830097
Candidate: 0xc3, Correlation: -0.1351357505789121
Candidate: 0x2f, Correlation: -0.1341548489067833
Candidate: 0x2a, Correlation: -0.13152837265422912
Candidate: 0x21, Correlation: -0.12912524813932488
Candidate: 0x83, Correlation: -0.12585279799821092
Candidate: 0xcb, Correlation: -0.12282273792855997
Candidate: 0x8b, Correlation: -0.12040690904754167
Candidate: 0x3f, Correlation: -0.1194467790722393
Candidate: 0xbf, Correlation: -0.11478086325043892
Candidate: 0x1, Correlation: -0.11435756507106548
Candidate: 0xa3, Correlation: -0.11416257151390335
Candidate: 0x2c, Correlation: -0.1125072582520513
Candidate: 0x31, Correlation: -0.10890797448804887
Candidate: 0x1f, Correlation: -0.10813342565437686
Candidate: 0x9, Correlation: -0.10606132217807096
Candidate: 0xe3, Correlation: -0.10510972831082224
Candidate: 0x3c, Correlation: -0.10388194491584002
Candidate: 0x6f, Correlation: -0.1016962700935396
Candidate: 0x34, Correlation: -0.10083395638937136
Candidate: 0xaf, Correlation: -0.09605973171539063
Candidate: 0xa9, Correlation: -0.09486042716131801
Candidate: 0x41, Correlation: -0.09371297485291304
Candidate: 0xc1, Correlation: -0.0922834719733392
Candidate: 0xf, Correlation: -0.09134982073894714
Candidate: 0x53, Correlation: -0.0912063220861915
Candidate: 0x0, Correlation: -0.09119992133096823
Candidate: 0x37, Correlation: -0.0908875245919209
Candidate: 0x8f, Correlation: -0.09087623714819078
Candidate: 0xfc, Correlation: -0.09065651196758678
Candidate: 0x63, Correlation: -0.09042434539834969
Candidate: 0xef, Correlation: -0.0894593047091238
Candidate: 0x7, Correlation: -0.08675616350948769
Candidate: 0x3d, Correlation: -0.08438438616991582
Candidate: 0xf9, Correlation: -0.08402604614043284
Candidate: 0x35, Correlation: -0.08206108199133484
Candidate: 0xd, Correlation: -0.08175685874110222
Candidate: 0x24, Correlation: -0.08169869308494161
