Candidate: 0xaa, Correlation: -0.33688774669912486
Candidate: 0x2a, Correlation: -0.3145333959896659
Candidate: 0xa, Correlation: -0.2568250222816685
Candidate: 0x8a, Correlation: -0.24209421769960857
Candidate: 0xa8, Correlation: -0.2201600583206019
Candidate: 0xca, Correlation: -0.216337208205647
Candidate: 0x28, Correlation: -0.20412079860655308
Candidate: 0xb2, Correlation: -0.20279435164457915
Candidate: 0x4a, Correlation: -0.19408985853499333
Candidate: 0xac, Correlation: -0.18312909054433674
Candidate: 0xa9, Correlation: -0.1710897988494253
Candidate: 0xba, Correlation: -0.1695312577301292
Candidate: 0x32, Correlation: -0.16410140458349967
Candidate: 0x2c, Correlation: -0.1630775247760519
Candidate: 0xab, Correlation: -0.16245250185962473
Candidate: 0x29, Correlation: -0.15467571376301295
Candidate: 0xa2, Correlation: -0.1538953648151438
Candidate: 0xea, Correlation: -0.1536176024381208
Candidate: 0x8, Correlation: -0.15057436517898998
Candidate: 0x9a, Correlation: -0.14910029369762318
Candidate: 0x3a, Correlation: -0.14843803726398058
Candidate: 0xae, Correlation: -0.1477241976830238
Candidate: 0xc2, Correlation: -0.14644292712855345
Candidate: 0x1a, Correlation: -0.1462003218415385
Candidate: 0x22, Correlation: -0.14432631105910204
Candidate: 0xb0, Correlation: -0.1395760726717683
Candidate: 0xa6, Correlation: -0.13460244672713487
Candidate: 0x12, Correlation: -0.1323321575514488
Candidate: 0x88, Correlation: -0.13206145940335778
Candidate: 0x2, Correlation: -0.12997773433005425
Candidate: 0x92, Correlation: -0.1291163122817001
Candidate: 0x2b, Correlation: -0.12496317464487969
Candidate: 0x2e, Correlation: -0.12335836637671677
Candidate: 0x30, Correlation: -0.12265232362764761
Candidate: 0x6a, Correlation: -0.11895639091677057
Candidate: 0xc8, Correlation: -0.11824014431664784
Candidate: 0x26, Correlation: -0.1181504673291854
Candidate: 0xfa, Correlation: -0.11211318646121168
Candidate: 0xd2, Correlation: -0.11024975052970146
Candidate: 0xb3, Correlation: -0.11013857491126695
Candidate: 0xf2, Correlation: -0.10967570240269528
Candidate: 0xc, Correlation: -0.10901714061707446
Candidate: 0x42, Correlation: -0.10876231482458103
Candidate: 0x82, Correlation: -0.10708602609164763
Candidate: 0xaf, Correlation: -0.10465208048741924
Candidate: 0xb4, Correlation: -0.10141682006264588
Candidate: 0x72, Correlation: -0.0981899750821536
Candidate: 0x48, Correlation: -0.09729027937857689
Candidate: 0xe2, Correlation: -0.09663669743362052
Candidate: 0x10, Correlation: -0.0932144936701084
Candidate: 0x9, Correlation: -0.09170970111121922
Candidate: 0x8c, Correlation: -0.08996224554197729
Candidate: 0xb1, Correlation: -0.08971381932712875
Candidate: 0xb8, Correlation: -0.08943551737664364
Candidate: 0xbc, Correlation: -0.08745108203368679
Candidate: 0xa4, Correlation: -0.08730320342195591
Candidate: 0x7a, Correlation: -0.08712564414862713
Candidate: 0xa0, Correlation: -0.086884723138734
Candidate: 0x6, Correlation: -0.08444808623168877
Candidate: 0xe, Correlation: -0.0817106180829396
Candidate: 0xec, Correlation: -0.0790456048008308
Candidate: 0xeb, Correlation: -0.07758014928453714
Candidate: 0xcc, Correlation: -0.07707669664956855
Candidate: 0xbe, Correlation: -0.07696248315152959
Candidate: 0xbb, Correlation: -0.07657686446982818
Candidate: 0x90, Correlation: -0.07577957576163538
Candidate: 0xcb, Correlation: -0.07538076013447255
Candidate: 0x24, Correlation: -0.07515493253081627
Candidate: 0x38, Correlation: -0.07390392824319474
Candidate: 0x52, Correlation: -0.07354238437536509
Candidate: 0xa3, Correlation: -0.07283406202777845
Candidate: 0x96, Correlation: -0.07257938828074285
Candidate: 0x98, Correlation: -0.0712279605846545
Candidate: 0x9c, Correlation: -0.07119283595335499
Candidate: 0x89, Correlation: -0.0705252352422523
Candidate: 0xc0, Correlation: -0.07017654129821302
Candidate: 0xad, Correlation: -0.07013810264763633
Candidate: 0x18, Correlation: -0.07006119539610144
Candidate: 0x8e, Correlation: -0.06979262548808904
Candidate: 0x35, Correlation: -0.06970896932979136
Candidate: 0xc3, Correlation: -0.0678983665607388
Candidate: 0xb6, Correlation: -0.06583056833286084
Candidate: 0x62, Correlation: -0.06543180195465706
Candidate: 0x0, Correlation: -0.06531897749070313
Candidate: 0x76, Correlation: -0.06519435696994265
Candidate: 0xee, Correlation: -0.06441312687858004
Candidate: 0x20, Correlation: -0.06428686483205578
Candidate: 0xfb, Correlation: -0.06409120942354958
Candidate: 0x68, Correlation: -0.06392961518206605
Candidate: 0xb, Correlation: -0.0635430854092513
Candidate: 0xbf, Correlation: -0.0629172127523641
Candidate: 0x56, Correlation: -0.06239971920109196
Candidate: 0x4, Correlation: -0.06203518763638121
Candidate: 0x57, Correlation: -0.06185931327429095
Candidate: 0xff, Correlation: -0.06168820295277743
Candidate: 0x55, Correlation: -0.06160172299661653
Candidate: 0x3c, Correlation: -0.06146776722346402
Candidate: 0x21, Correlation: -0.06137805864407545
Candidate: 0x86, Correlation: -0.06078423704302662
