Candidate: 0xa3, Correlation: -0.22676271556532596
Candidate: 0xa4, Correlation: -0.16322294299837117
Candidate: 0x23, Correlation: -0.14703569434747707
Candidate: 0xa1, Correlation: -0.13119401375476958
Candidate: 0x63, Correlation: -0.1311518643515534
Candidate: 0xe3, Correlation: -0.1291621788706031
Candidate: 0xa2, Correlation: -0.12762198259190866
Candidate: 0x9f, Correlation: -0.12550095047109747
Candidate: 0x9b, Correlation: -0.12399884763697187
Candidate: 0xa7, Correlation: -0.12087471488679341
Candidate: 0xa5, Correlation: -0.1205828418872647
Candidate: 0xa0, Correlation: -0.11586354742093573
Candidate: 0x0, Correlation: -0.11573855887391453
Candidate: 0xab, Correlation: -0.11552572476668724
Candidate: 0xb3, Correlation: -0.1142157559516416
Candidate: 0x83, Correlation: -0.11323150843169505
Candidate: 0x5b, Correlation: -0.10719092029086186
Candidate: 0xc3, Correlation: -0.10710138224829636
Candidate: 0x5f, Correlation: -0.10571283673988327
Candidate: 0xdb, Correlation: -0.10449450190577095
Candidate: 0xbb, Correlation: -0.10418177722292436
Candidate: 0x80, Correlation: -0.10380847412192006
Candidate: 0x93, Correlation: -0.10365799542274115
Candidate: 0x13, Correlation: -0.10364705544358487
Candidate: 0x33, Correlation: -0.10294110832700583
Candidate: 0xdf, Correlation: -0.10172143862499482
Candidate: 0x43, Correlation: -0.09611477635028064
Candidate: 0x2b, Correlation: -0.0941444671350658
Candidate: 0xbf, Correlation: -0.09390565658189945
Candidate: 0x97, Correlation: -0.09388962541121275
Candidate: 0x6b, Correlation: -0.09375845842904564
Candidate: 0xb7, Correlation: -0.09218304936159481
Candidate: 0xf8, Correlation: -0.09154246985367759
Candidate: 0x8b, Correlation: -0.09117101290711357
Candidate: 0x67, Correlation: -0.09073440919880711
Candidate: 0x24, Correlation: -0.08938333262259533
Candidate: 0xaf, Correlation: -0.08924385257234983
Candidate: 0x7f, Correlation: -0.0886043593207325
Candidate: 0x7b, Correlation: -0.08757329387583883
Candidate: 0x1f, Correlation: -0.08749363094422552
Candidate: 0x78, Correlation: -0.08645149267267008
Candidate: 0x3, Correlation: -0.08534013126879668
Candidate: 0x1b, Correlation: -0.08525349620988766
Candidate: 0xc7, Correlation: -0.08439986841045147
Candidate: 0xd3, Correlation: -0.0843401317413926
Candidate: 0xcb, Correlation: -0.08396757430818677
Candidate: 0xe7, Correlation: -0.08384482585846068
Candidate: 0xc0, Correlation: -0.08352036201404243
Candidate: 0x53, Correlation: -0.08179484917643233
Candidate: 0x3b, Correlation: -0.08144006527759226
Candidate: 0xeb, Correlation: -0.0806025184793072
Candidate: 0x87, Correlation: -0.07986805343688833
Candidate: 0x77, Correlation: -0.0794902506357041
Candidate: 0x4b, Correlation: -0.07893857595931555
Candidate: 0xd7, Correlation: -0.07860150477488491
Candidate: 0x57, Correlation: -0.0784163155965671
Candidate: 0x73, Correlation: -0.0773046331934815
Candidate: 0xb, Correlation: -0.07691471780279027
Candidate: 0xe0, Correlation: -0.07664528737295193
Candidate: 0x27, Correlation: -0.07490932918681881
Candidate: 0x17, Correlation: -0.07478586567763286
Candidate: 0x9c, Correlation: -0.07476578172572716
Candidate: 0xa8, Correlation: -0.07469771229251662
Candidate: 0xfc, Correlation: -0.0735691609996706
Candidate: 0x47, Correlation: -0.07347521135850588
Candidate: 0x8f, Correlation: -0.0733562392510488
Candidate: 0x37, Correlation: -0.07319075937978199
Candidate: 0xf0, Correlation: -0.07240698522688703
Candidate: 0xf3, Correlation: -0.0718202577351438
Candidate: 0xb8, Correlation: -0.07170380941344984
Candidate: 0xcf, Correlation: -0.07150263456106008
Candidate: 0x88, Correlation: -0.07132821252158626
Candidate: 0x9d, Correlation: -0.07126187604187041
Candidate: 0x96, Correlation: -0.07076382772445661
Candidate: 0xa6, Correlation: -0.06991139526009538
Candidate: 0x64, Correlation: -0.0697281051488789
Candidate: 0x3f, Correlation: -0.06957320588081743
Candidate: 0xe4, Correlation: -0.06936642261039445
Candidate: 0xfb, Correlation: -0.06918681928612996
Candidate: 0x90, Correlation: -0.06823329418463085
Candidate: 0xff, Correlation: -0.06808967836652133
Candidate: 0x8, Correlation: -0.06747095775020588
Candidate: 0x4f, Correlation: -0.06706962458147366
Candidate: 0x60, Correlation: -0.06677315678127961
Candidate: 0x7c, Correlation: -0.06626504736869449
Candidate: 0xac, Correlation: -0.0657271617149985
Candidate: 0xd, Correlation: -0.06499361186026101
Candidate: 0x2f, Correlation: -0.0649637489296803
Candidate: 0xa9, Correlation: -0.06485777451379332
Candidate: 0x84, Correlation: -0.06472014477665995
Candidate: 0xea, Correlation: -0.06428284610398856
Candidate: 0x40, Correlation: -0.06383379476452536
Candidate: 0x10, Correlation: -0.06332377977847342
