Candidate: 0xe3, Correlation: -0.35728455388173547
Candidate: 0xa3, Correlation: -0.3411570759417591
Candidate: 0x63, Correlation: -0.3406316790645726
Candidate: 0x23, Correlation: -0.3253357680799345
Candidate: 0xe2, Correlation: -0.3195904723925562
Candidate: 0xa2, Correlation: -0.30714754757733365
Candidate: 0x62, Correlation: -0.29872908367672485
Candidate: 0xe1, Correlation: -0.29358970784222654
Candidate: 0x22, Correlation: -0.2872451945458216
Candidate: 0xa1, Correlation: -0.28144325777043755
Candidate: 0x61, Correlation: -0.2721781620954968
Candidate: 0x21, Correlation: -0.2609438600854347
Candidate: 0xe0, Correlation: -0.2510060015219877
Candidate: 0xc3, Correlation: -0.2500769455356891
Candidate: 0xa0, Correlation: -0.24195301020532176
Candidate: 0x83, Correlation: -0.23972149718480146
Candidate: 0x43, Correlation: -0.2316351708443552
Candidate: 0x60, Correlation: -0.22684736482225615
Candidate: 0x3, Correlation: -0.22182545561640252
Candidate: 0x20, Correlation: -0.21852901693600996
Candidate: 0xc2, Correlation: -0.2126152438330458
Candidate: 0x2, Correlation: -0.2082659713002037
Candidate: 0xf3, Correlation: -0.20577749037505405
Candidate: 0xeb, Correlation: -0.2051729047878362
Candidate: 0x82, Correlation: -0.20451569394138866
Candidate: 0x1, Correlation: -0.20257051239768095
Candidate: 0x0, Correlation: -0.1965896755616106
Candidate: 0xe7, Correlation: -0.19515592260890885
Candidate: 0xab, Correlation: -0.19339314607431032
Candidate: 0xb3, Correlation: -0.1933816960153209
Candidate: 0x42, Correlation: -0.19104037630311466
Candidate: 0x81, Correlation: -0.18897348054021404
Candidate: 0xc1, Correlation: -0.18579861824816699
Candidate: 0x80, Correlation: -0.18520034262492596
Candidate: 0xa7, Correlation: -0.18333447560307756
Candidate: 0x73, Correlation: -0.18307387261385813
Candidate: 0x6b, Correlation: -0.18298966678723932
Candidate: 0x67, Correlation: -0.17479923463172806
Candidate: 0x2b, Correlation: -0.17196591960281368
Candidate: 0x33, Correlation: -0.17154288025263695
Candidate: 0xf2, Correlation: -0.16710915315716446
Candidate: 0xea, Correlation: -0.16532066409614946
Candidate: 0x41, Correlation: -0.16360539983095157
Candidate: 0x27, Correlation: -0.16356349789653157
Candidate: 0xe6, Correlation: -0.15731187636297647
Candidate: 0xb2, Correlation: -0.15697292660038822
Candidate: 0xaa, Correlation: -0.15578347869967976
Candidate: 0xa6, Correlation: -0.14753028095204024
Candidate: 0x28, Correlation: -0.1467337873126592
Candidate: 0xc0, Correlation: -0.14474405887222422
Candidate: 0x72, Correlation: -0.14238363397376522
Candidate: 0x6a, Correlation: -0.14114882141940796
Candidate: 0xf1, Correlation: -0.13802605875288
Candidate: 0xe9, Correlation: -0.13743452798471534
Candidate: 0x66, Correlation: -0.13447214914436537
Candidate: 0x32, Correlation: -0.13297028068677388
Candidate: 0x2a, Correlation: -0.13220939284880576
Candidate: 0x30, Correlation: -0.13026173378574277
Candidate: 0x40, Correlation: -0.12901839404824428
Candidate: 0xb1, Correlation: -0.12827098735514042
Candidate: 0xa9, Correlation: -0.12809020547561248
Candidate: 0xe5, Correlation: -0.1280001861442367
Candidate: 0x26, Correlation: -0.12520331946244637
Candidate: 0x8, Correlation: -0.12123234422855411
Candidate: 0x7, Correlation: -0.12092768440205086
Candidate: 0xa5, Correlation: -0.1185915224115056
Candidate: 0x6, Correlation: -0.11802203168200062
Candidate: 0x24, Correlation: -0.11427496081766829
