Candidate: 0xda, Correlation: -0.27593852880090464
Candidate: 0x5a, Correlation: -0.19929366108209642
Candidate: 0xba, Correlation: -0.17907660776707532
Candidate: 0xfa, Correlation: -0.17562425940663745
Candidate: 0x9a, Correlation: -0.16857642377942125
Candidate: 0xca, Correlation: -0.16617913451690605
Candidate: 0xd2, Correlation: -0.1610832211274174
Candidate: 0x3a, Correlation: -0.1609609880716579
Candidate: 0x7a, Correlation: -0.16069008474121202
Candidate: 0xea, Correlation: -0.15911580073162168
Candidate: 0x1a, Correlation: -0.1590340242832842
Candidate: 0xdb, Correlation: -0.1541374724888855
Candidate: 0xdc, Correlation: -0.15187215344756216
Candidate: 0xd8, Correlation: -0.15044906218343135
Candidate: 0xd6, Correlation: -0.14300993401250064
Candidate: 0xe2, Correlation: -0.13711633557588604
Candidate: 0x6a, Correlation: -0.13617253380212546
Candidate: 0xd9, Correlation: -0.132252558386095
Candidate: 0xde, Correlation: -0.13123374024425602
Candidate: 0xa, Correlation: -0.12776419325804944
Candidate: 0x4a, Correlation: -0.12264181437152184
Candidate: 0x8a, Correlation: -0.12137733646955669
Candidate: 0xaa, Correlation: -0.11688642032336172
Candidate: 0x52, Correlation: -0.10768894690546334
Candidate: 0xf2, Correlation: -0.10117292420233834
Candidate: 0x2a, Correlation: -0.10013293523313047
Candidate: 0xb2, Correlation: -0.09852708908517228
Candidate: 0x62, Correlation: -0.09695620694170608
Candidate: 0xd4, Correlation: -0.09247770135251052
Candidate: 0x56, Correlation: -0.09153371742330488
Candidate: 0xc2, Correlation: -0.09024732782903705
Candidate: 0x58, Correlation: -0.08974138262833711
Candidate: 0xcc, Correlation: -0.08901818118259015
Candidate: 0xce, Correlation: -0.08888019723001743
Candidate: 0xcb, Correlation: -0.08559003351910408
Candidate: 0xa2, Correlation: -0.08439358572903928
Candidate: 0xf6, Correlation: -0.08438140897087341
Candidate: 0xb6, Correlation: -0.08347887998717814
Candidate: 0x32, Correlation: -0.08223821725702314
Candidate: 0x22, Correlation: -0.08171533191334449
Candidate: 0x72, Correlation: -0.08170160577565519
Candidate: 0x12, Correlation: -0.08127540994071214
Candidate: 0xc8, Correlation: -0.08040426164643011
Candidate: 0xd0, Correlation: -0.0790687341208978
Candidate: 0xe8, Correlation: -0.07824727017324454
Candidate: 0x92, Correlation: -0.07810577966190985
Candidate: 0xc9, Correlation: -0.0765433217373594
Candidate: 0x2, Correlation: -0.07468464253848692
Candidate: 0x5b, Correlation: -0.07462596977150014
Candidate: 0x42, Correlation: -0.07414154315974718
Candidate: 0xd7, Correlation: -0.07411992230918661
Candidate: 0x5c, Correlation: -0.07396567555549227
Candidate: 0xe0, Correlation: -0.07312745723580853
Candidate: 0x81, Correlation: -0.07233575126552964
Candidate: 0xe6, Correlation: -0.07139241195488485
Candidate: 0x8f, Correlation: -0.07102810157798226
Candidate: 0xbe, Correlation: -0.0706574059823299
Candidate: 0xb8, Correlation: -0.06840886252191344
Candidate: 0x3e, Correlation: -0.06832775680563394
Candidate: 0xbf, Correlation: -0.06818005864736763
Candidate: 0xf8, Correlation: -0.06815268338834161
Candidate: 0x87, Correlation: -0.06799218537306771
Candidate: 0xe9, Correlation: -0.06763423140258826
Candidate: 0xf1, Correlation: -0.0674107529961964
Candidate: 0x5e, Correlation: -0.06722715587919535
Candidate: 0xa6, Correlation: -0.0672024867979198
Candidate: 0x82, Correlation: -0.06680923394667734
Candidate: 0x67, Correlation: -0.06656631233678166
Candidate: 0x76, Correlation: -0.06597319654644933
Candidate: 0x31, Correlation: -0.06591670330815115
Candidate: 0x8b, Correlation: -0.06548783678926351
Candidate: 0xa7, Correlation: -0.06488162692037841
Candidate: 0x51, Correlation: -0.06461238963921807
Candidate: 0x89, Correlation: -0.06411054176983247
Candidate: 0x8e, Correlation: -0.06404087649787404
Candidate: 0x36, Correlation: -0.06382433888119421
Candidate: 0xec, Correlation: -0.06374101328983497
Candidate: 0x41, Correlation: -0.06369229249101171
Candidate: 0xcd, Correlation: -0.06366130941724278
Candidate: 0xdd, Correlation: -0.06356433759312971
Candidate: 0xeb, Correlation: -0.06304551699853257
Candidate: 0x97, Correlation: -0.06284657503646744
Candidate: 0x6b, Correlation: -0.06226641229721865
Candidate: 0x6c, Correlation: -0.06185488584901199
Candidate: 0xf5, Correlation: -0.0618036129425937
Candidate: 0xa9, Correlation: -0.06157050339169034
Candidate: 0x6f, Correlation: -0.06135472398747826
Candidate: 0x85, Correlation: -0.06134017251153815
Candidate: 0xbb, Correlation: -0.06121248180368468
Candidate: 0x38, Correlation: -0.06119546993745844
Candidate: 0xc7, Correlation: -0.06112705116581509
Candidate: 0x4c, Correlation: -0.061088478480608735
Candidate: 0xc3, Correlation: -0.06085832474607967
Candidate: 0x1d, Correlation: -0.06065372954296964
Candidate: 0xc1, Correlation: -0.06039588763519215
Candidate: 0x79, Correlation: -0.060394928869077366
Candidate: 0x27, Correlation: -0.06016456473273012
Candidate: 0x63, Correlation: -0.05968882701679255
Candidate: 0x9f, Correlation: -0.05957537381294038
Candidate: 0x1, Correlation: -0.05942168966279863
Candidate: 0x6e, Correlation: -0.059376187919513025
Candidate: 0x3b, Correlation: -0.05925920958110025
Candidate: 0x59, Correlation: -0.05918920029459768
Candidate: 0x10, Correlation: -0.059020800655082147
Candidate: 0xd1, Correlation: -0.05878720247805169
Candidate: 0x7b, Correlation: -0.05853065075046618
Candidate: 0xed, Correlation: -0.05839719776172887
Candidate: 0xb5, Correlation: -0.05814934410002233
Candidate: 0x69, Correlation: -0.05799810389991471
Candidate: 0x7f, Correlation: -0.057927179896979764
Candidate: 0xee, Correlation: -0.057901780976873214
Candidate: 0xcf, Correlation: -0.05783131694681812
Candidate: 0x9b, Correlation: -0.05766716457114949
Candidate: 0x9, Correlation: -0.05762229924914626
Candidate: 0x33, Correlation: -0.057564648401442424
Candidate: 0x75, Correlation: -0.05695488852041186
Candidate: 0x47, Correlation: -0.05694117894901365
Candidate: 0x4b, Correlation: -0.05660972019447335
Candidate: 0xab, Correlation: -0.056521131663399275
Candidate: 0x9c, Correlation: -0.056488351403876536
Candidate: 0x6d, Correlation: -0.05648037194840173
Candidate: 0x4f, Correlation: -0.05626256228646808
Candidate: 0x83, Correlation: -0.05619343143700288
Candidate: 0x1e, Correlation: -0.05610114046780902
Candidate: 0xb1, Correlation: -0.055876665120925456
Candidate: 0x9e, Correlation: -0.05582965123955042
Candidate: 0x71, Correlation: -0.055780922035616
Candidate: 0xbc, Correlation: -0.055564001096999625
Candidate: 0x95, Correlation: -0.05555087525825283
Candidate: 0x18, Correlation: -0.055411805402313774
Candidate: 0xf3, Correlation: -0.055276896430155376
Candidate: 0x43, Correlation: -0.05524331705634135
Candidate: 0x11, Correlation: -0.05522109735355167
Candidate: 0x96, Correlation: -0.055181957239305815
Candidate: 0xa3, Correlation: -0.05493268899359252
Candidate: 0xa0, Correlation: -0.05470800250353172
Candidate: 0xa1, Correlation: -0.05468771202565721
Candidate: 0xb3, Correlation: -0.05464114896824632
Candidate: 0xef, Correlation: -0.05462336884030344
Candidate: 0x15, Correlation: -0.05459368272064823
Candidate: 0x23, Correlation: -0.05446514252403033
Candidate: 0x68, Correlation: -0.05438740731707787
