Candidate: 0xaa, Correlation: -0.18695552558243664
Candidate: 0xea, Correlation: -0.18683031804647374
Candidate: 0xca, Correlation: -0.1820403140207622
Candidate: 0x6a, Correlation: -0.16273689358219973
Candidate: 0xa, Correlation: -0.15768875342385497
Candidate: 0x8a, Correlation: -0.15737291466866177
Candidate: 0x4a, Correlation: -0.1535922313238537
Candidate: 0x2a, Correlation: -0.1505204124826777
Candidate: 0xba, Correlation: -0.1497702330748804
Candidate: 0xfa, Correlation: -0.13417115758006246
Candidate: 0xda, Correlation: -0.1315825933944638
Candidate: 0x3a, Correlation: -0.11774805637850853
Candidate: 0x7a, Correlation: -0.11169447191405964
Candidate: 0x9a, Correlation: -0.10817869953889035
Candidate: 0x5a, Correlation: -0.10026505209062408
Candidate: 0xb2, Correlation: -0.0959104987406932
Candidate: 0x1a, Correlation: -0.09532053507883358
Candidate: 0xc2, Correlation: -0.09458622560603827
Candidate: 0xab, Correlation: -0.09141610039812514
Candidate: 0xf2, Correlation: -0.08581802865847761
Candidate: 0xa9, Correlation: -0.08521908973932774
Candidate: 0xa8, Correlation: -0.08495317509456024
Candidate: 0xd2, Correlation: -0.08395683689433406
Candidate: 0xae, Correlation: -0.0792136971110086
Candidate: 0xac, Correlation: -0.07833049020180632
Candidate: 0x2, Correlation: -0.07719959777063662
Candidate: 0xad, Correlation: -0.0747308506664753
Candidate: 0xe2, Correlation: -0.07451299958824388
Candidate: 0xa2, Correlation: -0.07439195399037463
Candidate: 0x44, Correlation: -0.07422994839272873
Candidate: 0xe9, Correlation: -0.0725846084699397
Candidate: 0xa6, Correlation: -0.07125240471749768
Candidate: 0xc6, Correlation: -0.07022803639068521
Candidate: 0xc8, Correlation: -0.06879364905755674
Candidate: 0x88, Correlation: -0.06758980111026867
Candidate: 0xaf, Correlation: -0.06717856619780288
Candidate: 0x72, Correlation: -0.06659154112153096
Candidate: 0xc9, Correlation: -0.06643596082174333
Candidate: 0xa7, Correlation: -0.06576401150474195
Candidate: 0x42, Correlation: -0.0650498680325879
Candidate: 0xfe, Correlation: -0.06472874791794386
Candidate: 0x32, Correlation: -0.06472504994723777
Candidate: 0x16, Correlation: -0.06312816353981754
Candidate: 0xe8, Correlation: -0.06297389983669201
Candidate: 0x7e, Correlation: -0.06264624296552578
Candidate: 0x43, Correlation: -0.06261024492883623
Candidate: 0xb1, Correlation: -0.06164457772684898
Candidate: 0x82, Correlation: -0.061561223276398326
Candidate: 0x86, Correlation: -0.06081707159707259
Candidate: 0xce, Correlation: -0.06073132238135888
