Candidate: 0xff, Correlation: -0.22688780785876528
Candidate: 0x3, Correlation: -0.2168044417250714
Candidate: 0x0, Correlation: -0.19680641358336615
Candidate: 0x1, Correlation: -0.1917143304876534
Candidate: 0x7f, Correlation: -0.17739957634929437
Candidate: 0x3f, Correlation: -0.16784592094608852
Candidate: 0x83, Correlation: -0.1654080075425585
Candidate: 0xc0, Correlation: -0.16445162739558727
Candidate: 0x40, Correlation: -0.1628122960638822
Candidate: 0x1f, Correlation: -0.15534149067670117
Candidate: 0x43, Correlation: -0.15249719634992281
Candidate: 0x23, Correlation: -0.14615767422483522
Candidate: 0x81, Correlation: -0.1429302253348724
Candidate: 0x2, Correlation: -0.13656440349222543
Candidate: 0xfb, Correlation: -0.13536556542131298
Candidate: 0x80, Correlation: -0.13467455220551508
Candidate: 0x41, Correlation: -0.1316632583637494
Candidate: 0x20, Correlation: -0.13105939532249994
Candidate: 0x7, Correlation: -0.12520327533812745
Candidate: 0x21, Correlation: -0.12395271954410687
Candidate: 0xb, Correlation: -0.1218172300243582
Candidate: 0x1b, Correlation: -0.119192104534945
Candidate: 0xf, Correlation: -0.11661881612997475
Candidate: 0xef, Correlation: -0.11405834581061251
Candidate: 0xe0, Correlation: -0.11358824785395286
Candidate: 0x10, Correlation: -0.11229073765110434
Candidate: 0x13, Correlation: -0.11191184187212447
Candidate: 0xf0, Correlation: -0.10596751874112635
Candidate: 0x5f, Correlation: -0.10580557449079199
Candidate: 0xbf, Correlation: -0.10404092380081248
Candidate: 0x5, Correlation: -0.10404028736034486
Candidate: 0xfd, Correlation: -0.10373872261791772
Candidate: 0xa0, Correlation: -0.10245476548500258
Candidate: 0x30, Correlation: -0.10228336727541268
Candidate: 0xf3, Correlation: -0.10087756451038819
Candidate: 0xf7, Correlation: -0.09899927719744259
Candidate: 0xdf, Correlation: -0.09832531672507921
Candidate: 0x7b, Correlation: -0.0981493815019957
Candidate: 0x63, Correlation: -0.09605982731372452
Candidate: 0x9f, Correlation: -0.09538025761702607
Candidate: 0x6f, Correlation: -0.09455709320467082
Candidate: 0x4, Correlation: -0.09263330722623533
Candidate: 0x2f, Correlation: -0.09197759035366163
Candidate: 0x60, Correlation: -0.09153191022246127
Candidate: 0x3b, Correlation: -0.09142907317306986
Candidate: 0xfe, Correlation: -0.0900736994181685
Candidate: 0x11, Correlation: -0.08953876540270535
Candidate: 0x8, Correlation: -0.08869304921754273
Candidate: 0x82, Correlation: -0.08792553531213396
Candidate: 0xd0, Correlation: -0.08734324508306292
Candidate: 0xe3, Correlation: -0.08695064621597078
Candidate: 0xc3, Correlation: -0.08596561153378225
Candidate: 0xa3, Correlation: -0.08460543010499959
