Candidate: 0x2c, Correlation: -0.29259150344958307
Candidate: 0x24, Correlation: -0.2195448904524593
Candidate: 0xc, Correlation: -0.20644118977483805
Candidate: 0x2a, Correlation: -0.19922796835768064
Candidate: 0x34, Correlation: -0.1949850628295743
Candidate: 0xfc, Correlation: -0.19149416937506286
Candidate: 0xac, Correlation: -0.18955217204162597
Candidate: 0x3c, Correlation: -0.18384026600636572
Candidate: 0xec, Correlation: -0.17820192715326688
Candidate: 0x28, Correlation: -0.17082102746180253
Candidate: 0x14, Correlation: -0.17015448905524566
Candidate: 0x4c, Correlation: -0.16695602787665156
Candidate: 0xbc, Correlation: -0.16262669656047274
Candidate: 0x1c, Correlation: -0.15725496426137314
Candidate: 0x7c, Correlation: -0.15668024625997617
Candidate: 0xb4, Correlation: -0.1559526194620943
Candidate: 0x4, Correlation: -0.15304534669136408
Candidate: 0x80, Correlation: -0.15052652780296835
Candidate: 0x44, Correlation: -0.14983496853753542
Candidate: 0x74, Correlation: -0.14979102316523366
Candidate: 0x26, Correlation: -0.14801805804814058
Candidate: 0x0, Correlation: -0.1457331045606974
Candidate: 0x6c, Correlation: -0.14466959204367116
Candidate: 0x2e, Correlation: -0.14256792000268848
Candidate: 0xf4, Correlation: -0.14037389490338395
Candidate: 0x30, Correlation: -0.13544871777017098
Candidate: 0xc4, Correlation: -0.13396594190476596
Candidate: 0x2b, Correlation: -0.13148431724187465
Candidate: 0x22, Correlation: -0.12948414424871632
Candidate: 0x84, Correlation: -0.1247540413187722
Candidate: 0xcc, Correlation: -0.12377948467150487
Candidate: 0x8c, Correlation: -0.12135100576103779
Candidate: 0x40, Correlation: -0.12013333933652486
Candidate: 0xc0, Correlation: -0.11539890940631695
Candidate: 0xa4, Correlation: -0.11519948794490963
Candidate: 0x2d, Correlation: -0.11105822740476791
Candidate: 0x20, Correlation: -0.11006742850124149
Candidate: 0x2, Correlation: -0.10911347924991524
Candidate: 0x32, Correlation: -0.10870976526146833
Candidate: 0xe4, Correlation: -0.10633866479974649
Candidate: 0xa, Correlation: -0.1058695399294971
Candidate: 0x70, Correlation: -0.1049633950401587
Candidate: 0x3d, Correlation: -0.10237378635877976
Candidate: 0x35, Correlation: -0.09929317798360482
Candidate: 0xb0, Correlation: -0.09732336555178442
Candidate: 0x10, Correlation: -0.09560482169542561
Candidate: 0x90, Correlation: -0.09459610152211842
Candidate: 0xaa, Correlation: -0.09450726339112557
Candidate: 0x38, Correlation: -0.09344327301642619
Candidate: 0xf0, Correlation: -0.09300145778854868
Candidate: 0x54, Correlation: -0.09219018835526797
Candidate: 0x1, Correlation: -0.09218982935188298
Candidate: 0x64, Correlation: -0.09163342570125833
Candidate: 0x42, Correlation: -0.09125142385457209
Candidate: 0xfd, Correlation: -0.09014221589683613
Candidate: 0x8, Correlation: -0.08884829891536299
Candidate: 0xc2, Correlation: -0.08840119133888476
Candidate: 0x60, Correlation: -0.08419634057677008
Candidate: 0x82, Correlation: -0.0833565648262006
Candidate: 0x36, Correlation: -0.08309365637984507
