Candidate: 0xaa, Correlation: -0.3203891418887682
Candidate: 0x2a, Correlation: -0.301079456311127
Candidate: 0xa, Correlation: -0.24473697534158256
Candidate: 0x8a, Correlation: -0.22880411699028025
Candidate: 0xa8, Correlation: -0.21223232570867603
Candidate: 0xca, Correlation: -0.20570152970223088
Candidate: 0x28, Correlation: -0.19637065307206536
Candidate: 0xab, Correlation: -0.18525403711084265
Candidate: 0xac, Correlation: -0.18518907779193905
Candidate: 0x4a, Correlation: -0.18341928376800312
Candidate: 0xb2, Correlation: -0.17534579002056536
Candidate: 0xa9, Correlation: -0.17040696074120823
Candidate: 0x2c, Correlation: -0.1667772340329918
Candidate: 0xba, Correlation: -0.157348637860085
Candidate: 0x32, Correlation: -0.15634654567850598
Candidate: 0x29, Correlation: -0.1531496064267815
Candidate: 0x8, Correlation: -0.14383959903064342
Candidate: 0xa2, Correlation: -0.14186591942846563
Candidate: 0xea, Correlation: -0.14072832883580544
Candidate: 0xb3, Correlation: -0.1399189207629506
Candidate: 0x2b, Correlation: -0.13852606085821814
Candidate: 0x9a, Correlation: -0.13755304620342465
Candidate: 0xae, Correlation: -0.13744365983741924
Candidate: 0x3a, Correlation: -0.1372870612795625
Candidate: 0x1a, Correlation: -0.13669282615193706
Candidate: 0x22, Correlation: -0.13530580084114094
Candidate: 0xb0, Correlation: -0.13528895221137463
Candidate: 0x12, Correlation: -0.1281163068835923
Candidate: 0x88, Correlation: -0.1253321594242857
Candidate: 0xaf, Correlation: -0.12471808970146023
Candidate: 0xc2, Correlation: -0.1217553429903148
Candidate: 0x2, Correlation: -0.12083627946625947
Candidate: 0xa6, Correlation: -0.12014684073304832
Candidate: 0x92, Correlation: -0.11736806871144465
Candidate: 0x30, Correlation: -0.11715279317345828
Candidate: 0x2e, Correlation: -0.11710299998946799
Candidate: 0xc8, Correlation: -0.11202320285223732
Candidate: 0xc, Correlation: -0.10972811814581312
Candidate: 0x6a, Correlation: -0.10603044633332687
Candidate: 0x26, Correlation: -0.10537509005370922
Candidate: 0xb1, Correlation: -0.1032831676571503
Candidate: 0xb4, Correlation: -0.1011312595157941
Candidate: 0x42, Correlation: -0.10056794302229022
Candidate: 0xeb, Correlation: -0.0996794556393221
Candidate: 0xfa, Correlation: -0.09891167276191988
Candidate: 0xcb, Correlation: -0.09774045403418956
Candidate: 0x82, Correlation: -0.0975015292728859
Candidate: 0x9, Correlation: -0.09551873414838537
Candidate: 0xa3, Correlation: -0.09531687831294629
Candidate: 0xbb, Correlation: -0.09503635103977161
Candidate: 0x8c, Correlation: -0.09366752869124015
Candidate: 0xc3, Correlation: -0.09326698338574287
Candidate: 0xad, Correlation: -0.09134091303258972
Candidate: 0x48, Correlation: -0.09028099561224541
Candidate: 0x10, Correlation: -0.08774384092093283
Candidate: 0xa4, Correlation: -0.08756793689154402
Candidate: 0xb8, Correlation: -0.08690668563335918
Candidate: 0xbc, Correlation: -0.08613976103556768
Candidate: 0x4, Correlation: -0.0849890601067908
Candidate: 0x33, Correlation: -0.08389295576688412
Candidate: 0x3c, Correlation: -0.08352497646249683
Candidate: 0x44, Correlation: -0.08250989389062653
Candidate: 0x38, Correlation: -0.081895784001292
Candidate: 0x34, Correlation: -0.08170604749321324
Candidate: 0x96, Correlation: -0.08141485458408956
Candidate: 0x6b, Correlation: -0.08087434836704749
Candidate: 0xc4, Correlation: -0.08053429632326817
Candidate: 0xa0, Correlation: -0.0796764877815167
Candidate: 0x0, Correlation: -0.07964599912671808
Candidate: 0xe, Correlation: -0.07710267111922099
Candidate: 0xf2, Correlation: -0.07675551809061637
Candidate: 0xfc, Correlation: -0.07639439518775859
Candidate: 0x40, Correlation: -0.0758844411873086
Candidate: 0x89, Correlation: -0.07569211487525351
Candidate: 0x14, Correlation: -0.0753062256917394
Candidate: 0xf8, Correlation: -0.07515862866655267
Candidate: 0x24, Correlation: -0.07496874064509848
Candidate: 0xd2, Correlation: -0.07421258275727827
Candidate: 0xb, Correlation: -0.0741980796475289
Candidate: 0x9c, Correlation: -0.07363204069283055
Candidate: 0x7a, Correlation: -0.07362008433058527
Candidate: 0x6, Correlation: -0.0728733411417016
Candidate: 0x2f, Correlation: -0.07284649057936686
Candidate: 0xf4, Correlation: -0.0724271224182643
Candidate: 0xd4, Correlation: -0.07171821659082252
Candidate: 0xf0, Correlation: -0.07150094892237766
Candidate: 0x54, Correlation: -0.07134751395186313
Candidate: 0xfe, Correlation: -0.07065853106578704
Candidate: 0xcc, Correlation: -0.07052150711156215
Candidate: 0x90, Correlation: -0.07029992844160392
Candidate: 0xec, Correlation: -0.06967971540815271
Candidate: 0xc0, Correlation: -0.06839203530416034
Candidate: 0x98, Correlation: -0.06713798011291536
Candidate: 0x4c, Correlation: -0.06653131601507237
Candidate: 0x72, Correlation: -0.06455405637912728
Candidate: 0x56, Correlation: -0.06362271086774335
Candidate: 0x18, Correlation: -0.06355398185638125
Candidate: 0x8e, Correlation: -0.06267208355907249
Candidate: 0x21, Correlation: -0.06227154538645944
Candidate: 0xdd, Correlation: -0.062130634710135794
Candidate: 0xc1, Correlation: -0.061506164339549925
Candidate: 0x7c, Correlation: -0.06104709474018313
Candidate: 0xdf, Correlation: -0.06091416650703861
Candidate: 0x16, Correlation: -0.06087667411010625
Candidate: 0xff, Correlation: -0.06075153812745811
Candidate: 0xe4, Correlation: -0.06064522999303647
Candidate: 0xbf, Correlation: -0.060571753417951964
Candidate: 0x36, Correlation: -0.06054440171463613
Candidate: 0x65, Correlation: -0.06045150706234183
Candidate: 0xf6, Correlation: -0.06007628479262894
Candidate: 0x58, Correlation: -0.0595681454596244
Candidate: 0xfb, Correlation: -0.05955811610257586
Candidate: 0xd6, Correlation: -0.059040702361011055
Candidate: 0xc9, Correlation: -0.05893834338548234
Candidate: 0x76, Correlation: -0.05889093245295952
Candidate: 0x6c, Correlation: -0.05881678176443855
Candidate: 0x3d, Correlation: -0.05871757876968566
Candidate: 0x71, Correlation: -0.05854075159730798
Candidate: 0x73, Correlation: -0.058531204096394805
