Candidate: 0xa3, Correlation: -0.22092168763946193
Candidate: 0xa4, Correlation: -0.16448669079607006
Candidate: 0x23, Correlation: -0.14057347600499914
Candidate: 0xa1, Correlation: -0.13186230740988097
Candidate: 0x63, Correlation: -0.1290078262498081
Candidate: 0xa2, Correlation: -0.12464337697202983
Candidate: 0xe3, Correlation: -0.12251657177166825
Candidate: 0xa5, Correlation: -0.12214370192104324
Candidate: 0xa0, Correlation: -0.12145056490048382
Candidate: 0x9f, Correlation: -0.12144467466822648
Candidate: 0x9b, Correlation: -0.12108959612508075
Candidate: 0xa7, Correlation: -0.11812780551770367
Candidate: 0x0, Correlation: -0.11575587316885341
Candidate: 0xab, Correlation: -0.11437933782406107
Candidate: 0xb3, Correlation: -0.10779949011541941
Candidate: 0x83, Correlation: -0.10637270638069789
Candidate: 0xc3, Correlation: -0.10464803348890671
Candidate: 0x5b, Correlation: -0.10388027929671513
Candidate: 0x80, Correlation: -0.10332793662866534
Candidate: 0xdb, Correlation: -0.10191329077796636
Candidate: 0x5f, Correlation: -0.10081713335793417
Candidate: 0xbb, Correlation: -0.10008662887496544
Candidate: 0x93, Correlation: -0.09863515651731926
Candidate: 0x13, Correlation: -0.09793395997093998
Candidate: 0xdf, Correlation: -0.09705864227369607
Candidate: 0x33, Correlation: -0.09698764348182402
Candidate: 0x6b, Correlation: -0.09187633362833708
Candidate: 0x43, Correlation: -0.09154058617579924
Candidate: 0x2b, Correlation: -0.09141469857305817
Candidate: 0x24, Correlation: -0.09075842747393223
Candidate: 0x97, Correlation: -0.0895053475217505
Candidate: 0x8b, Correlation: -0.08924341576226116
Candidate: 0xbf, Correlation: -0.08911967066677769
Candidate: 0x67, Correlation: -0.08791880171611877
Candidate: 0xb7, Correlation: -0.08773511376448838
Candidate: 0xf8, Correlation: -0.08643940653952203
Candidate: 0x7b, Correlation: -0.08568093131611744
Candidate: 0xaf, Correlation: -0.08467520731302258
Candidate: 0xc0, Correlation: -0.08412470775070116
Candidate: 0x7f, Correlation: -0.08411025632412303
Candidate: 0x1f, Correlation: -0.08322645238694228
Candidate: 0x1b, Correlation: -0.08231062900724972
Candidate: 0xd3, Correlation: -0.08229234562514537
Candidate: 0xc7, Correlation: -0.08174237396882453
Candidate: 0xcb, Correlation: -0.08165221396289113
Candidate: 0x78, Correlation: -0.08147948417038524
Candidate: 0xe7, Correlation: -0.08134504777146077
Candidate: 0x3, Correlation: -0.08066925564441953
Candidate: 0xa8, Correlation: -0.08012394029243705
Candidate: 0x53, Correlation: -0.07974283498896488
Candidate: 0x3b, Correlation: -0.0797233204318389
Candidate: 0xeb, Correlation: -0.07966198866960308
