Candidate: 0x47, Correlation: -0.248574182854765
Candidate: 0xc7, Correlation: -0.15919850662722446
Candidate: 0x87, Correlation: -0.15783852523044453
Candidate: 0x7, Correlation: -0.15105424103176485
Candidate: 0x37, Correlation: -0.14829879476722738
Candidate: 0x43, Correlation: -0.14133696196884685
Candidate: 0x27, Correlation: -0.13969598692031027
Candidate: 0x4b, Correlation: -0.13658073367124676
Candidate: 0x45, Correlation: -0.13540293657656674
Candidate: 0x67, Correlation: -0.13332085610097308
Candidate: 0x46, Correlation: -0.13253628052475064
Candidate: 0x3f, Correlation: -0.1307093896346961
Candidate: 0x57, Correlation: -0.1257013686007272
Candidate: 0x48, Correlation: -0.12528454149648025
Candidate: 0x4f, Correlation: -0.12347005440222358
Candidate: 0x49, Correlation: -0.11988130774419066
Candidate: 0xcb, Correlation: -0.10291944000871299
Candidate: 0xa7, Correlation: -0.10220850576809186
Candidate: 0xc3, Correlation: -0.09702467302244751
Candidate: 0x2f, Correlation: -0.09338335045476194
Candidate: 0xe7, Correlation: -0.09148608474508677
Candidate: 0xcf, Correlation: -0.08846338631121198
Candidate: 0x77, Correlation: -0.0875184353005778
Candidate: 0x4a, Correlation: -0.0854188219603207
Candidate: 0x44, Correlation: -0.08483629660226842
Candidate: 0xc8, Correlation: -0.0837036046881677
Candidate: 0x17, Correlation: -0.0829461965130747
Candidate: 0x3b, Correlation: -0.08185327400813354
Candidate: 0xc9, Correlation: -0.08165709387517534
Candidate: 0xca, Correlation: -0.07942679959965221
Candidate: 0xbf, Correlation: -0.07876524579705527
Candidate: 0xb7, Correlation: -0.07746414767178494
Candidate: 0xc6, Correlation: -0.07619588324038526
Candidate: 0xf7, Correlation: -0.07300462944796904
Candidate: 0x53, Correlation: -0.0700026889011672
Candidate: 0x60, Correlation: -0.069699135141087
Candidate: 0xd7, Correlation: -0.06957779065375028
Candidate: 0x5f, Correlation: -0.06854977392635143
Candidate: 0xfe, Correlation: -0.0678938727271193
Candidate: 0x38, Correlation: -0.06739680435716969
Candidate: 0x33, Correlation: -0.06690341618007616
Candidate: 0xc2, Correlation: -0.06633489421707736
Candidate: 0x7d, Correlation: -0.06596743400267056
Candidate: 0x92, Correlation: -0.06595877444158722
Candidate: 0xfd, Correlation: -0.0658366469264681
Candidate: 0xbb, Correlation: -0.06581830528572301
Candidate: 0xd3, Correlation: -0.06542512720993025
Candidate: 0x1d, Correlation: -0.06523051283651211
Candidate: 0x68, Correlation: -0.06503052205863959
Candidate: 0x41, Correlation: -0.0647880762447138
Candidate: 0x66, Correlation: -0.06468519027838711
