Candidate: 0xda, Correlation: -0.23598312394808985
Candidate: 0xdb, Correlation: -0.18927892972103091
Candidate: 0x5a, Correlation: -0.16251096297253276
Candidate: 0xca, Correlation: -0.15107508851932938
Candidate: 0xdc, Correlation: -0.14867530409151875
Candidate: 0xd9, Correlation: -0.14463088344738725
Candidate: 0xba, Correlation: -0.14087282999938328
Candidate: 0xea, Correlation: -0.13998135321981625
Candidate: 0xfa, Correlation: -0.13813584205200133
Candidate: 0x9a, Correlation: -0.12984666263677638
Candidate: 0x7a, Correlation: -0.12594061559403097
Candidate: 0x3a, Correlation: -0.12480023955023595
Candidate: 0xd8, Correlation: -0.12356298741838055
Candidate: 0xd2, Correlation: -0.12309310847176407
Candidate: 0x1a, Correlation: -0.12017801999534858
Candidate: 0xe2, Correlation: -0.1158449845448148
Candidate: 0xde, Correlation: -0.11485246933135557
Candidate: 0xd6, Correlation: -0.11331696640219452
Candidate: 0xa, Correlation: -0.11186238091777716
Candidate: 0x5b, Correlation: -0.11002590859689682
Candidate: 0x4a, Correlation: -0.10823932387002001
Candidate: 0x8a, Correlation: -0.10543920404835135
Candidate: 0xcb, Correlation: -0.10539555818233232
Candidate: 0x6a, Correlation: -0.1050709407144891
Candidate: 0xaa, Correlation: -0.10122860367495884
Candidate: 0xdd, Correlation: -0.09428366772539892
Candidate: 0xd7, Correlation: -0.0940887359290386
Candidate: 0xcc, Correlation: -0.08935742334044883
Candidate: 0xeb, Correlation: -0.08616218026626475
Candidate: 0xce, Correlation: -0.08589152542533282
Candidate: 0x9b, Correlation: -0.08358265221895833
Candidate: 0xd3, Correlation: -0.08072222052230141
Candidate: 0xd4, Correlation: -0.07859934556569004
Candidate: 0x2a, Correlation: -0.0773779039737563
Candidate: 0xbb, Correlation: -0.07681252377393252
Candidate: 0x8e, Correlation: -0.07533160474402383
Candidate: 0xc8, Correlation: -0.0752921897711423
Candidate: 0x5c, Correlation: -0.07465002892097491
Candidate: 0xe8, Correlation: -0.07351715130743795
Candidate: 0xd0, Correlation: -0.07341533911003657
Candidate: 0x58, Correlation: -0.07215888086292657
Candidate: 0xc9, Correlation: -0.07092837782947015
Candidate: 0x1b, Correlation: -0.06975146427092381
Candidate: 0x52, Correlation: -0.06882214603989584
Candidate: 0xd5, Correlation: -0.06880905677825845
Candidate: 0xf1, Correlation: -0.06805628069794754
Candidate: 0x59, Correlation: -0.06698737154645173
Candidate: 0x62, Correlation: -0.06674376172095713
Candidate: 0xfb, Correlation: -0.06666844368450821
Candidate: 0xb, Correlation: -0.06638737896261718
Candidate: 0xec, Correlation: -0.06603022788076579
Candidate: 0x8b, Correlation: -0.06599116703259288
Candidate: 0xf2, Correlation: -0.06541040049517878
Candidate: 0x4b, Correlation: -0.06503569925369047
Candidate: 0x67, Correlation: -0.06495927611979242
Candidate: 0x1, Correlation: -0.06469827468775134
Candidate: 0xb2, Correlation: -0.06446063284908601
Candidate: 0x81, Correlation: -0.06435004256854485
Candidate: 0xb5, Correlation: -0.06434817836261683
Candidate: 0xee, Correlation: -0.0639025208077795
Candidate: 0xbe, Correlation: -0.06368646580790063
Candidate: 0x4e, Correlation: -0.06303467536960812
Candidate: 0xe9, Correlation: -0.06280099823650026
Candidate: 0x6d, Correlation: -0.06258553884447629
Candidate: 0x97, Correlation: -0.06244973182230148
Candidate: 0xc1, Correlation: -0.062210138495095685
Candidate: 0xef, Correlation: -0.06185717931108379
Candidate: 0x87, Correlation: -0.061856984342530154
Candidate: 0x82, Correlation: -0.06177926784087215
Candidate: 0x69, Correlation: -0.06135355903288377
Candidate: 0xf5, Correlation: -0.06120803013929698
Candidate: 0xab, Correlation: -0.06106647209907514
Candidate: 0x4c, Correlation: -0.060455761143387916
Candidate: 0x6b, Correlation: -0.060381520790495094
Candidate: 0x83, Correlation: -0.06033053218587272
Candidate: 0x85, Correlation: -0.06029168635624704
Candidate: 0x56, Correlation: -0.060122817341058135
Candidate: 0xa7, Correlation: -0.05990838823703351
Candidate: 0x3e, Correlation: -0.05990204094198222
