Candidate: 0xe7, Correlation: -0.18285561752711144
Candidate: 0x67, Correlation: -0.13545064062348428
Candidate: 0xef, Correlation: -0.1322760640158475
Candidate: 0xdf, Correlation: -0.1279376298560706
Candidate: 0xf7, Correlation: -0.12267671217664745
Candidate: 0xff, Correlation: -0.11801994143352286
Candidate: 0xc7, Correlation: -0.11789552202758129
Candidate: 0xe9, Correlation: -0.1176610844499285
Candidate: 0x7, Correlation: -0.11722217908510071
Candidate: 0xa7, Correlation: -0.10348188547863617
Candidate: 0xe8, Correlation: -0.1030763092997057
Candidate: 0x27, Correlation: -0.1015559397477564
Candidate: 0xe5, Correlation: -0.09727897759071139
Candidate: 0x87, Correlation: -0.09725310582158282
Candidate: 0x6f, Correlation: -0.09612160420740277
Candidate: 0x5f, Correlation: -0.09573957100213687
Candidate: 0xeb, Correlation: -0.09378613649925165
Candidate: 0xe6, Correlation: -0.09239805667389361
Candidate: 0xd7, Correlation: -0.09051989106042975
Candidate: 0xe1, Correlation: -0.0903484304015767
Candidate: 0x1f, Correlation: -0.08952990121005217
Candidate: 0xe3, Correlation: -0.08937834419617634
Candidate: 0xf1, Correlation: -0.08849338686160252
Candidate: 0xbf, Correlation: -0.08744632324150332
Candidate: 0x47, Correlation: -0.08586164784722253
Candidate: 0xcf, Correlation: -0.08359726406574977
Candidate: 0x77, Correlation: -0.0780026133270275
Candidate: 0xb7, Correlation: -0.07710690176254137
Candidate: 0x9f, Correlation: -0.07701882712563157
Candidate: 0xf3, Correlation: -0.07673410183112284
Candidate: 0xf, Correlation: -0.07491455186552193
Candidate: 0x7f, Correlation: -0.07485242784085884
Candidate: 0x1, Correlation: -0.0743403818356326
Candidate: 0x69, Correlation: -0.07362173972782371
Candidate: 0xf9, Correlation: -0.0719347065197149
Candidate: 0xed, Correlation: -0.07187111502634122
Candidate: 0x17, Correlation: -0.07173564404574993
Candidate: 0x28, Correlation: -0.07089759616278966
Candidate: 0x8f, Correlation: -0.07029636411760125
Candidate: 0xe0, Correlation: -0.0698548921957663
Candidate: 0x39, Correlation: -0.06927679444925122
Candidate: 0xaf, Correlation: -0.06835489422218098
Candidate: 0x3a, Correlation: -0.0683062082222475
Candidate: 0xec, Correlation: -0.0682809448978989
Candidate: 0x0, Correlation: -0.06799355075845497
Candidate: 0x91, Correlation: -0.06785443004652168
Candidate: 0x3, Correlation: -0.06686686963769262
Candidate: 0xcc, Correlation: -0.06593794893038553
Candidate: 0xf8, Correlation: -0.06548612634261991
Candidate: 0x57, Correlation: -0.0651803057920871
Candidate: 0xf0, Correlation: -0.06512692618631498
Candidate: 0x76, Correlation: -0.06444117102321843
Candidate: 0xf5, Correlation: -0.06430055859970585
Candidate: 0xee, Correlation: -0.06408067547946884
Candidate: 0x2b, Correlation: -0.06371304528601605
Candidate: 0x14, Correlation: -0.06362931100859434
Candidate: 0xa6, Correlation: -0.06348195992415347
Candidate: 0x3f, Correlation: -0.06259883881888684
Candidate: 0x6c, Correlation: -0.06240983704806861
Candidate: 0xc8, Correlation: -0.06220086882320947
Candidate: 0x6d, Correlation: -0.061911384217190515
Candidate: 0x2c, Correlation: -0.0617737441185844
Candidate: 0x92, Correlation: -0.06140899489217041
Candidate: 0x90, Correlation: -0.061194152188091065
Candidate: 0xc5, Correlation: -0.06070504026310603
Candidate: 0x85, Correlation: -0.060461699510667065
Candidate: 0x1b, Correlation: -0.060386803072020025
Candidate: 0x26, Correlation: -0.06025740856839558
Candidate: 0x78, Correlation: -0.0600948017512172
Candidate: 0x2f, Correlation: -0.06005540126795196
Candidate: 0x5, Correlation: -0.059968918615834865
Candidate: 0x66, Correlation: -0.05996199831987167
Candidate: 0xb9, Correlation: -0.05956543578807111
Candidate: 0xc3, Correlation: -0.05934908024559586
