Candidate: 0x2c, Correlation: -0.13405596465714245
Candidate: 0x3c, Correlation: -0.12965824172419163
Candidate: 0x2b, Correlation: -0.10493014267061011
Candidate: 0x3b, Correlation: -0.10332470141276369
Candidate: 0xac, Correlation: -0.0977723441171044
Candidate: 0x28, Correlation: -0.09393757907350336
Candidate: 0xc, Correlation: -0.0905102020414268
Candidate: 0x4c, Correlation: -0.08915612818276653
Candidate: 0xfc, Correlation: -0.08911901808358358
Candidate: 0x3d, Correlation: -0.08907817062706841
Candidate: 0x2d, Correlation: -0.08902603034896034
Candidate: 0x1c, Correlation: -0.08308263684011236
Candidate: 0x34, Correlation: -0.08303004877975108
Candidate: 0xbc, Correlation: -0.08221364246256853
Candidate: 0xa8, Correlation: -0.07957978539730978
Candidate: 0x40, Correlation: -0.07811974425976889
Candidate: 0x30, Correlation: -0.07647048327620783
Candidate: 0xec, Correlation: -0.07484696912033079
Candidate: 0x33, Correlation: -0.07437500333537427
Candidate: 0x7c, Correlation: -0.07365704931359003
Candidate: 0x3f, Correlation: -0.07064660504093158
Candidate: 0xd5, Correlation: -0.069382150134224
Candidate: 0x2f, Correlation: -0.06843004006212985
Candidate: 0x25, Correlation: -0.06675542819451066
Candidate: 0x6c, Correlation: -0.06621997376745503
Candidate: 0x1, Correlation: -0.0655401034920692
Candidate: 0x76, Correlation: -0.0652142220895252
Candidate: 0x1b, Correlation: -0.0647514784714842
Candidate: 0xb, Correlation: -0.06461209009904391
Candidate: 0xbe, Correlation: -0.06445348087482913
Candidate: 0x8c, Correlation: -0.06425140449938781
Candidate: 0x29, Correlation: -0.06388035643667449
Candidate: 0xb0, Correlation: -0.06329271142171308
Candidate: 0xef, Correlation: -0.06322016148966281
Candidate: 0xf0, Correlation: -0.06229414363908356
Candidate: 0x72, Correlation: -0.06222509749651392
Candidate: 0x35, Correlation: -0.06178023674425562
Candidate: 0x3e, Correlation: -0.061588667939180074
Candidate: 0xde, Correlation: -0.061343670288130404
Candidate: 0x43, Correlation: -0.06132796093648184
Candidate: 0x0, Correlation: -0.06129688242815383
Candidate: 0x19, Correlation: -0.06104832613661474
Candidate: 0x67, Correlation: -0.06090235885261857
Candidate: 0xc4, Correlation: -0.06058420667288546
Candidate: 0x21, Correlation: -0.060530746201363166
Candidate: 0x12, Correlation: -0.06035911276891839
Candidate: 0x4b, Correlation: -0.06025998995574262
Candidate: 0x38, Correlation: -0.060164474558625634
Candidate: 0x92, Correlation: -0.05998493050506001
Candidate: 0x5c, Correlation: -0.05993781339322875
Candidate: 0xd3, Correlation: -0.059534375295901464
Candidate: 0x10, Correlation: -0.05953239553753496
Candidate: 0xc9, Correlation: -0.05927920351780759
Candidate: 0xcc, Correlation: -0.05922157164178743
Candidate: 0xe8, Correlation: -0.05915172003647466
Candidate: 0xad, Correlation: -0.059064967458652314
Candidate: 0x6, Correlation: -0.05905235486327252
Candidate: 0xce, Correlation: -0.05894483619932476
Candidate: 0x26, Correlation: -0.05857976275899785
Candidate: 0x1f, Correlation: -0.05830966667062656
Candidate: 0x1e, Correlation: -0.05815217296690052
Candidate: 0x9, Correlation: -0.058146066992254594
Candidate: 0x44, Correlation: -0.058039998075154045
Candidate: 0x88, Correlation: -0.05792650973775395
Candidate: 0xfb, Correlation: -0.05765727960711997
