Candidate: 0xaa, Correlation: -0.1762606761030797
Candidate: 0xea, Correlation: -0.17407349414789555
Candidate: 0xca, Correlation: -0.16757154115389086
Candidate: 0x6a, Correlation: -0.15075801605391392
Candidate: 0xa, Correlation: -0.14387801606086825
Candidate: 0x8a, Correlation: -0.14380392060946198
Candidate: 0x4a, Correlation: -0.13962884412239818
Candidate: 0x2a, Correlation: -0.13923429500989282
Candidate: 0xba, Correlation: -0.1378100271689255
Candidate: 0xfa, Correlation: -0.12187924034827169
Candidate: 0xda, Correlation: -0.1195143187553504
Candidate: 0x3a, Correlation: -0.10503305435597247
Candidate: 0x7a, Correlation: -0.09987710917821149
Candidate: 0xab, Correlation: -0.09953169026554921
Candidate: 0x9a, Correlation: -0.0947055557707614
Candidate: 0x5a, Correlation: -0.08640600812430653
Candidate: 0xb2, Correlation: -0.08527276291231546
Candidate: 0xae, Correlation: -0.08500606224639799
Candidate: 0x1a, Correlation: -0.08268279019478657
Candidate: 0xc2, Correlation: -0.08186057249232118
Candidate: 0xac, Correlation: -0.07855986529457742
Candidate: 0xa9, Correlation: -0.07787296318152952
Candidate: 0xad, Correlation: -0.07702695969835122
Candidate: 0xeb, Correlation: -0.07509444507148433
Candidate: 0xf2, Correlation: -0.07481786039088249
Candidate: 0xcb, Correlation: -0.07428449921785503
Candidate: 0xe9, Correlation: -0.07422905196456829
Candidate: 0xa2, Correlation: -0.07317769497173034
Candidate: 0xc9, Correlation: -0.07194138914310272
Candidate: 0xa6, Correlation: -0.071831776167121
Candidate: 0xa8, Correlation: -0.07080831612156198
Candidate: 0x44, Correlation: -0.06896229379257826
Candidate: 0xfe, Correlation: -0.06881082611596247
Candidate: 0x7e, Correlation: -0.06839030010526381
Candidate: 0xd2, Correlation: -0.06828274503187624
Candidate: 0xd4, Correlation: -0.0652887373737974
Candidate: 0x76, Correlation: -0.06362583657548494
Candidate: 0x2, Correlation: -0.06348844313340737
Candidate: 0xaf, Correlation: -0.06253032127500195
Candidate: 0x36, Correlation: -0.06233405692022637
Candidate: 0xa7, Correlation: -0.062000109658466175
