Candidate: 0xea, Correlation: -0.6045069140789613
Candidate: 0x6a, Correlation: -0.5792012164494226
Candidate: 0xaa, Correlation: -0.5415723457852746
Candidate: 0x9b, Correlation: -0.5338887445401201
Candidate: 0x2a, Correlation: -0.5200207955963269
Candidate: 0xa, Correlation: -0.4582829852136028
Candidate: 0x13, Correlation: -0.44766886133529143
Candidate: 0x8a, Correlation: -0.4372741503695706
Candidate: 0x8d, Correlation: -0.42850458259265034
Candidate: 0x9c, Correlation: -0.4211897528018575
Candidate: 0xab, Correlation: -0.41463440311081295
Candidate: 0xe8, Correlation: -0.4146263518170001
Candidate: 0xbb, Correlation: -0.41376287656783134
Candidate: 0xfa, Correlation: -0.41093866662513817
Candidate: 0xdb, Correlation: -0.41034723254911415
Candidate: 0xa8, Correlation: -0.40868205154749704
Candidate: 0xe9, Correlation: -0.4084712013486357
Candidate: 0xe2, Correlation: -0.4079479429899356
Candidate: 0x28, Correlation: -0.40727218382254
Candidate: 0xa2, Correlation: -0.4054675964818832
Candidate: 0x9f, Correlation: -0.4053509715597913
Candidate: 0xe6, Correlation: -0.40297783934350057
Candidate: 0x22, Correlation: -0.4012660691743154
Candidate: 0x9d, Correlation: -0.4001986041231139
Candidate: 0xca, Correlation: -0.39622276688577457
Candidate: 0xa9, Correlation: -0.3933171229388282
Candidate: 0x7a, Correlation: -0.39180294608174376
Candidate: 0x62, Correlation: -0.39083105434508203
Candidate: 0xb, Correlation: -0.3903415556997152
Candidate: 0x68, Correlation: -0.3897874938694874
Candidate: 0x29, Correlation: -0.388494866878202
Candidate: 0x69, Correlation: -0.38808446108794525
Candidate: 0x20, Correlation: -0.38793055069963095
Candidate: 0xa6, Correlation: -0.38742824927305947
Candidate: 0xa3, Correlation: -0.3828608692220243
Candidate: 0xf3, Correlation: -0.3827799488642707
Candidate: 0x66, Correlation: -0.380400556150891
Candidate: 0x4a, Correlation: -0.37790295302649696
Candidate: 0x3, Correlation: -0.37406899659862797
Candidate: 0xa0, Correlation: -0.37396305196509383
Candidate: 0xd3, Correlation: -0.36538765591477496
Candidate: 0x26, Correlation: -0.3620782165308441
Candidate: 0x8b, Correlation: -0.3585808993653805
Candidate: 0x1b, Correlation: -0.35422934266776357
Candidate: 0xba, Correlation: -0.3472681130012271
Candidate: 0x3a, Correlation: -0.34473618821835295
Candidate: 0xd, Correlation: -0.3402294365605368
Candidate: 0xeb, Correlation: -0.33114336724035026
Candidate: 0x6d, Correlation: -0.3311233283815727
Candidate: 0x7d, Correlation: -0.3289448749802418
Candidate: 0xa7, Correlation: -0.32416025109585606
Candidate: 0xa1, Correlation: -0.3240821759324856
Candidate: 0xa4, Correlation: -0.3226896722015049
Candidate: 0x6c, Correlation: -0.3201298287875187
Candidate: 0x6e, Correlation: -0.32000388160215726
Candidate: 0x4d, Correlation: -0.3199666494119749
Candidate: 0xfb, Correlation: -0.3173472779431206
Candidate: 0x9e, Correlation: -0.3138945586060501
Candidate: 0x49, Correlation: -0.3135371711330842
Candidate: 0xcb, Correlation: -0.3129742588173452
Candidate: 0x95, Correlation: -0.31264863875873294
Candidate: 0xe3, Correlation: -0.3101493882037251
Candidate: 0xa5, Correlation: -0.3095869406653823
Candidate: 0x91, Correlation: -0.30783255091314893
Candidate: 0x21, Correlation: -0.3074805399108552
Candidate: 0xb3, Correlation: -0.3061054612782753
Candidate: 0x17, Correlation: -0.30595306837370767
Candidate: 0x9a, Correlation: -0.3053069088733343
Candidate: 0xac, Correlation: -0.3042929427682743
Candidate: 0x8e, Correlation: -0.3033207937474468
Candidate: 0x27, Correlation: -0.30224321884937916
Candidate: 0xbc, Correlation: -0.30075936944356085
Candidate: 0x4b, Correlation: -0.29890873193386036
Candidate: 0x6b, Correlation: -0.2988885963664433
Candidate: 0x14, Correlation: -0.2974698848475878
Candidate: 0x1f, Correlation: -0.2960655390360669
Candidate: 0xdc, Correlation: -0.29516209749677474
Candidate: 0x1e, Correlation: -0.29508314995027873
Candidate: 0x15, Correlation: -0.29302013231069685
Candidate: 0xc3, Correlation: -0.2927256322910394
Candidate: 0x24, Correlation: -0.2925785009001671
Candidate: 0xaf, Correlation: -0.2916391164242814
Candidate: 0x39, Correlation: -0.2895621201350958
Candidate: 0xbf, Correlation: -0.2876002770085395
Candidate: 0xec, Correlation: -0.28591586199950797
Candidate: 0x7b, Correlation: -0.285835837350989
Candidate: 0xdf, Correlation: -0.2858043186313797
Candidate: 0xee, Correlation: -0.284716728309675
Candidate: 0xad, Correlation: -0.28407009751329293
Candidate: 0xcd, Correlation: -0.28371107448113253
Candidate: 0xbd, Correlation: -0.2828039180204862
Candidate: 0xed, Correlation: -0.2809589668819096
Candidate: 0x25, Correlation: -0.2808338361860682
Candidate: 0xe5, Correlation: -0.27934357701272516
Candidate: 0x5c, Correlation: -0.27721947987753914
Candidate: 0x5e, Correlation: -0.2760697720978338
Candidate: 0x1a, Correlation: -0.2747268147875448
Candidate: 0x60, Correlation: -0.273276874892114
Candidate: 0xdd, Correlation: -0.27200646189239525
Candidate: 0x93, Correlation: -0.2717165303201137
Candidate: 0x59, Correlation: -0.26969745037954174
Candidate: 0xfd, Correlation: -0.26928859649898224
Candidate: 0x40, Correlation: -0.2685935749613803
Candidate: 0x48, Correlation: -0.26536834223717704
Candidate: 0x2e, Correlation: -0.2640553650291979
Candidate: 0x8, Correlation: -0.26342572263742153
