Candidate: 0xe0, Correlation: -0.5426305840504936
Candidate: 0x50, Correlation: -0.47845716544198824
Candidate: 0x42, Correlation: -0.46134521889911817
Candidate: 0x63, Correlation: -0.45540474846660045
Candidate: 0x7c, Correlation: -0.434938596314129
Candidate: 0x61, Correlation: -0.4245412756441747
Candidate: 0xe3, Correlation: -0.423270803470335
Candidate: 0xf0, Correlation: -0.4196017347736141
Candidate: 0x30, Correlation: -0.415853466384873
Candidate: 0xe1, Correlation: -0.4154672898914623
Candidate: 0x10, Correlation: -0.4153593044421375
Candidate: 0x62, Correlation: -0.41152981444825837
Candidate: 0xfc, Correlation: -0.4112064106643727
Candidate: 0x60, Correlation: -0.4091540738007839
Candidate: 0xa3, Correlation: -0.4077806024817448
Candidate: 0x40, Correlation: -0.40763212150348016
Candidate: 0x78, Correlation: -0.4049036810133463
Candidate: 0xe8, Correlation: -0.40392768426705983
Candidate: 0x20, Correlation: -0.40274537663698506
Candidate: 0x0, Correlation: -0.40155273660564156
Candidate: 0xe4, Correlation: -0.401213529075048
Candidate: 0xe2, Correlation: -0.39937819832342075
Candidate: 0xf4, Correlation: -0.3896306013396325
Candidate: 0x74, Correlation: -0.3851045665656223
Candidate: 0xf8, Correlation: -0.3799996843886955
Candidate: 0x6c, Correlation: -0.37836964292262315
Candidate: 0xa1, Correlation: -0.3780343166129151
Candidate: 0x23, Correlation: -0.37802212244268074
Candidate: 0xf6, Correlation: -0.37801320816811634
Candidate: 0xf2, Correlation: -0.3675744550293305
Candidate: 0xa2, Correlation: -0.3635053625045526
Candidate: 0x52, Correlation: -0.36163483660767887
Candidate: 0x22, Correlation: -0.3603816606210344
Candidate: 0x70, Correlation: -0.3597551027289617
Candidate: 0xec, Correlation: -0.3580275616264836
Candidate: 0x9d, Correlation: -0.3549542423663156
Candidate: 0x68, Correlation: -0.35167720047411793
Candidate: 0x2, Correlation: -0.350830853075966
Candidate: 0xc2, Correlation: -0.35032995665234445
Candidate: 0x21, Correlation: -0.3459649089210386
Candidate: 0xe6, Correlation: -0.3396159650761305
Candidate: 0x4a, Correlation: -0.337315987177828
Candidate: 0xa0, Correlation: -0.33441833281936206
Candidate: 0x43, Correlation: -0.33402458221550146
Candidate: 0x58, Correlation: -0.3319572880650786
Candidate: 0x9c, Correlation: -0.3315747598450518
Candidate: 0x6b, Correlation: -0.32975504907202136
Candidate: 0x64, Correlation: -0.32752648513563637
