Candidate: 0xf5, Correlation: -0.49694688523317115
Candidate: 0x98, Correlation: -0.48085694895256664
Candidate: 0xe7, Correlation: -0.4656881168689466
Candidate: 0x94, Correlation: -0.4615685468592002
Candidate: 0xd8, Correlation: -0.46115068651707547
Candidate: 0x99, Correlation: -0.4590686567256636
Candidate: 0xb4, Correlation: -0.447546311892783
Candidate: 0xa8, Correlation: -0.4473175032234171
Candidate: 0x3e, Correlation: -0.4439649554903727
Candidate: 0xa4, Correlation: -0.4437966792706929
Candidate: 0xd9, Correlation: -0.44256723569390183
Candidate: 0xf4, Correlation: -0.43879251386202617
Candidate: 0xd4, Correlation: -0.4371917792763216
Candidate: 0x95, Correlation: -0.43644754770563704
Candidate: 0xa9, Correlation: -0.432932070507027
Candidate: 0xe5, Correlation: -0.43105928231795587
Candidate: 0xb5, Correlation: -0.4273706081883846
Candidate: 0xe8, Correlation: -0.4258007115361572
Candidate: 0xa5, Correlation: -0.42552388575497513
Candidate: 0xd7, Correlation: -0.42400909483048865
Candidate: 0xd5, Correlation: -0.41619134110571265
Candidate: 0xe9, Correlation: -0.4051637826338837
Candidate: 0xe4, Correlation: -0.3982794389497267
Candidate: 0xe6, Correlation: -0.39814456692553635
Candidate: 0x54, Correlation: -0.3870546179226583
Candidate: 0xa7, Correlation: -0.37652329868042494
Candidate: 0x5, Correlation: -0.37464486925785045
Candidate: 0x75, Correlation: -0.369786592189685
Candidate: 0xd6, Correlation: -0.36844903623188846
Candidate: 0x1d, Correlation: -0.3574841456938477
Candidate: 0xbe, Correlation: -0.35428228171686704
Candidate: 0x34, Correlation: -0.35218184488296517
Candidate: 0x3c, Correlation: -0.34955880818044166
Candidate: 0x42, Correlation: -0.34731106632492903
Candidate: 0xf7, Correlation: -0.34719951997945664
Candidate: 0x97, Correlation: -0.3462971519449751
Candidate: 0x67, Correlation: -0.34257524816670637
Candidate: 0x7, Correlation: -0.3424163481395042
Candidate: 0x29, Correlation: -0.3368139261791938
Candidate: 0x55, Correlation: -0.3364225042767176
