Candidate: 0xc2, Correlation: -0.3061599192199303
Candidate: 0xbe, Correlation: -0.3034581508354537
Candidate: 0x42, Correlation: -0.30064274707161803
Candidate: 0x5e, Correlation: -0.2934731415284796
Candidate: 0x3e, Correlation: -0.2881055419440684
Candidate: 0x62, Correlation: -0.2863065725426592
Candidate: 0x94, Correlation: -0.28576291136071563
Candidate: 0x9e, Correlation: -0.2830770724869227
Candidate: 0x74, Correlation: -0.28031885190670897
Candidate: 0xa2, Correlation: -0.2720018579144037
Candidate: 0x8c, Correlation: -0.2692114389853391
Candidate: 0x6c, Correlation: -0.2625277165769521
Candidate: 0x82, Correlation: -0.2618746279069289
Candidate: 0x7e, Correlation: -0.252356695899205
Candidate: 0x84, Correlation: -0.24810398245304136
Candidate: 0x1a, Correlation: -0.24143705852153055
Candidate: 0xa0, Correlation: -0.23985506932396178
Candidate: 0xde, Correlation: -0.23847442913106598
Candidate: 0x7c, Correlation: -0.2310179907808203
Candidate: 0x64, Correlation: -0.22936909994159488
Candidate: 0x54, Correlation: -0.22905529070057987
Candidate: 0x22, Correlation: -0.22712862973921907
Candidate: 0x18, Correlation: -0.22697323579325562
Candidate: 0x9c, Correlation: -0.22639665992843314
Candidate: 0xe2, Correlation: -0.2263550322894743
Candidate: 0x1e, Correlation: -0.22387752417420967
Candidate: 0xa4, Correlation: -0.2221423630647003
Candidate: 0x90, Correlation: -0.21589131524141666
Candidate: 0xac, Correlation: -0.21475408981999125
Candidate: 0x70, Correlation: -0.21458538136733155
Candidate: 0xb4, Correlation: -0.2140025791433448
Candidate: 0xc4, Correlation: -0.21393730795841462
Candidate: 0xf2, Correlation: -0.2123678619688109
Candidate: 0xf8, Correlation: -0.21215541862060747
Candidate: 0xbc, Correlation: -0.20787512001560815
Candidate: 0x44, Correlation: -0.20784119585435812
Candidate: 0x2a, Correlation: -0.20497588161466745
Candidate: 0x38, Correlation: -0.20275046996937898
Candidate: 0x28, Correlation: -0.20120389857168217
Candidate: 0xc0, Correlation: -0.20107502083158543
Candidate: 0x20, Correlation: -0.20092313169288753
Candidate: 0xfa, Correlation: -0.19825662553761278
Candidate: 0x8e, Correlation: -0.19690815332479036
Candidate: 0xd4, Correlation: -0.19664865806954598
Candidate: 0x19, Correlation: -0.1962012846403251
Candidate: 0xba, Correlation: -0.19616028984306447
Candidate: 0x32, Correlation: -0.19584531369683483
Candidate: 0x5a, Correlation: -0.19499703737216253
Candidate: 0x92, Correlation: -0.19432671290787884
Candidate: 0xae, Correlation: -0.19403033503730469
Candidate: 0xc6, Correlation: -0.19346681169718657
Candidate: 0x46, Correlation: -0.1909833088870407
Candidate: 0x5c, Correlation: -0.1907745688255141
Candidate: 0x3a, Correlation: -0.18935074069737984
Candidate: 0xe0, Correlation: -0.18838556183681007
Candidate: 0x40, Correlation: -0.18598177370708832
Candidate: 0x3c, Correlation: -0.18383057044770537
Candidate: 0xa6, Correlation: -0.1829871372775401
Candidate: 0xe, Correlation: -0.18128366830057047
Candidate: 0x14, Correlation: -0.17900139822186908
Candidate: 0xce, Correlation: -0.17786298431405548
Candidate: 0x72, Correlation: -0.17728616717625767
Candidate: 0xf9, Correlation: -0.17715972399076887
Candidate: 0x58, Correlation: -0.17659059128811128
Candidate: 0x9, Correlation: -0.17557842492015305
Candidate: 0x12, Correlation: -0.17458388198754216
Candidate: 0xd2, Correlation: -0.17297327816084593
Candidate: 0x10, Correlation: -0.17224077658528822
Candidate: 0x49, Correlation: -0.17219471006979434
Candidate: 0xb2, Correlation: -0.17048098882288118
Candidate: 0xf4, Correlation: -0.17027440132095267
Candidate: 0x66, Correlation: -0.1702225170892265
Candidate: 0xb0, Correlation: -0.16968744847158101
Candidate: 0xea, Correlation: -0.16924237931734096
Candidate: 0xda, Correlation: -0.16866243250580648
Candidate: 0x9a, Correlation: -0.16704890810043693
Candidate: 0xd0, Correlation: -0.1660543705920701
Candidate: 0x34, Correlation: -0.1660442275030503
Candidate: 0x4c, Correlation: -0.16552301214879525
Candidate: 0xec, Correlation: -0.16548859015418485
Candidate: 0x4e, Correlation: -0.16543499999472658
Candidate: 0x52, Correlation: -0.16499399555924213
Candidate: 0x29, Correlation: -0.16473249774275167
Candidate: 0x11, Correlation: -0.16412504726626184
Candidate: 0xe4, Correlation: -0.16168592090843215
Candidate: 0x78, Correlation: -0.16085745530492498
