Candidate: 0xa2, Correlation: -0.2801083314353184
Candidate: 0x97, Correlation: -0.27479963532897844
Candidate: 0x62, Correlation: -0.27064030946383477
Candidate: 0xa7, Correlation: -0.2653078463348507
Candidate: 0xc7, Correlation: -0.26367019513009443
Candidate: 0xbd, Correlation: -0.26295939410103497
Candidate: 0xd7, Correlation: -0.2628332018139363
Candidate: 0x3d, Correlation: -0.26197604438663824
Candidate: 0xc1, Correlation: -0.25455631684460955
Candidate: 0x22, Correlation: -0.2529690913934309
Candidate: 0xcc, Correlation: -0.25148400517226266
Candidate: 0xbf, Correlation: -0.2489369435809916
Candidate: 0x41, Correlation: -0.2470635031601709
Candidate: 0x9e, Correlation: -0.24704974640163524
Candidate: 0x3f, Correlation: -0.24413881838351573
Candidate: 0xc3, Correlation: -0.24412433787580803
Candidate: 0x2c, Correlation: -0.24188572484602378
Candidate: 0x4c, Correlation: -0.2410309613097281
Candidate: 0x57, Correlation: -0.23990659056313016
Candidate: 0x17, Correlation: -0.239561395522827
Candidate: 0xd4, Correlation: -0.23940929007769188
Candidate: 0x47, Correlation: -0.23900933515108014
Candidate: 0x43, Correlation: -0.23703257516531373
Candidate: 0x5e, Correlation: -0.2350178701326311
Candidate: 0xb7, Correlation: -0.231935811225024
Candidate: 0xd0, Correlation: -0.23099049359617976
Candidate: 0x27, Correlation: -0.22828458624508677
Candidate: 0xc, Correlation: -0.22782929360427942
Candidate: 0x34, Correlation: -0.22442107003879289
Candidate: 0x14, Correlation: -0.22412691812141936
Candidate: 0xbe, Correlation: -0.2201076620823983
Candidate: 0x30, Correlation: -0.21996950940167545
Candidate: 0x3e, Correlation: -0.2181381555970045
Candidate: 0xc2, Correlation: -0.21405279258494814
Candidate: 0x1e, Correlation: -0.21384047057690073
Candidate: 0xa6, Correlation: -0.2134955298611486
Candidate: 0xec, Correlation: -0.21209399279151092
Candidate: 0x87, Correlation: -0.209968154071111
Candidate: 0x66, Correlation: -0.2064616078838863
Candidate: 0x42, Correlation: -0.20619521337297264
Candidate: 0xa4, Correlation: -0.20589581528639223
Candidate: 0x9a, Correlation: -0.20575961357655917
Candidate: 0x6a, Correlation: -0.2054361746265868
Candidate: 0x52, Correlation: -0.20501198310389182
Candidate: 0xe7, Correlation: -0.20453410570544517
Candidate: 0x10, Correlation: -0.2043067035050787
Candidate: 0x85, Correlation: -0.20221815195223117
Candidate: 0xdc, Correlation: -0.20143231564890132
Candidate: 0x3c, Correlation: -0.20044462647914876
Candidate: 0x4e, Correlation: -0.20021119688891909
Candidate: 0xaa, Correlation: -0.1999359252064254
Candidate: 0xd2, Correlation: -0.19992433693427686
Candidate: 0x7, Correlation: -0.19972590972407073
Candidate: 0x9d, Correlation: -0.19956926002370667
Candidate: 0x50, Correlation: -0.19942345488583252
Candidate: 0x64, Correlation: -0.1994171753527806
Candidate: 0x67, Correlation: -0.19860837382929028
Candidate: 0x54, Correlation: -0.1979741596761781
Candidate: 0x7d, Correlation: -0.19632100387630347
Candidate: 0x1c, Correlation: -0.19607287466147066
Candidate: 0xce, Correlation: -0.19559160887879876
Candidate: 0xac, Correlation: -0.19471947320751193
Candidate: 0x3b, Correlation: -0.19406495800721704
Candidate: 0xb4, Correlation: -0.19337007062110442
Candidate: 0xf0, Correlation: -0.19287226945644045
Candidate: 0xae, Correlation: -0.19224250888002048
Candidate: 0x26, Correlation: -0.19144680542039538
Candidate: 0xc5, Correlation: -0.19102368919857624
Candidate: 0x65, Correlation: -0.19082302108705487
Candidate: 0x9c, Correlation: -0.19032558644680866
Candidate: 0x2e, Correlation: -0.19023120978339575
Candidate: 0xbb, Correlation: -0.18989653607759827
Candidate: 0x24, Correlation: -0.18920481798203762
Candidate: 0x37, Correlation: -0.18725269578677053
Candidate: 0x77, Correlation: -0.1868597626225628
Candidate: 0xa5, Correlation: -0.1867678186043766
Candidate: 0xb0, Correlation: -0.1867077789175249
Candidate: 0x5a, Correlation: -0.18566471661030434
Candidate: 0x83, Correlation: -0.1850229142685737
Candidate: 0xb2, Correlation: -0.18495806613551358
Candidate: 0x45, Correlation: -0.18445292037546315
Candidate: 0xa1, Correlation: -0.18321694647893075
Candidate: 0x32, Correlation: -0.18208343007033448
Candidate: 0x9b, Correlation: -0.18136143408498476
Candidate: 0x44, Correlation: -0.18115673496076018
Candidate: 0xf4, Correlation: -0.1811433345720196
Candidate: 0xe4, Correlation: -0.1805203302389999
Candidate: 0xa3, Correlation: -0.1801610031018459
Candidate: 0x5d, Correlation: -0.17917888846961283
Candidate: 0xbc, Correlation: -0.17888881064410914
Candidate: 0x2a, Correlation: -0.17742716569250658
Candidate: 0x63, Correlation: -0.1771684370888921
Candidate: 0x61, Correlation: -0.17626908462856644
Candidate: 0xc4, Correlation: -0.17581275572362523
Candidate: 0x99, Correlation: -0.17526214420713782
Candidate: 0x7b, Correlation: -0.17408489019683537
Candidate: 0xfd, Correlation: -0.17120367827521243
Candidate: 0x5c, Correlation: -0.16886557080458636
Candidate: 0x25, Correlation: -0.16442203754669008
Candidate: 0xe2, Correlation: -0.16220755325651626
Candidate: 0x75, Correlation: -0.160799215956679
Candidate: 0x1a, Correlation: -0.1601996548714867
Candidate: 0x1d, Correlation: -0.16015738994505496
Candidate: 0x51, Correlation: -0.1588865852255772
Candidate: 0xc9, Correlation: -0.1583128535617774
Candidate: 0xde, Correlation: -0.15729574485657308
Candidate: 0x1, Correlation: -0.15605048655037312
Candidate: 0x95, Correlation: -0.15555168894232985
Candidate: 0xd9, Correlation: -0.15442354896441998
Candidate: 0xa9, Correlation: -0.1535478212649837
Candidate: 0xeb, Correlation: -0.1528089649529562
Candidate: 0x5b, Correlation: -0.15198588958900713
Candidate: 0xb9, Correlation: -0.15195720916382566
Candidate: 0xd1, Correlation: -0.15182796324328712
Candidate: 0xf7, Correlation: -0.15108648329149799
Candidate: 0x21, Correlation: -0.15061293204805615
Candidate: 0xe3, Correlation: -0.14945667508080046
Candidate: 0xff, Correlation: -0.1480693654525684
Candidate: 0x19, Correlation: -0.14791561758282076
Candidate: 0xea, Correlation: -0.14599379860388
Candidate: 0xdd, Correlation: -0.14508606095827253
Candidate: 0x79, Correlation: -0.14399049668578165
Candidate: 0xcd, Correlation: -0.14089683673972092
Candidate: 0xb1, Correlation: -0.1406340125522428
Candidate: 0x3, Correlation: -0.13896544145926762
Candidate: 0xe5, Correlation: -0.1377538568830818
Candidate: 0xe0, Correlation: -0.13754615213685795
Candidate: 0x89, Correlation: -0.1368323976302234
Candidate: 0x49, Correlation: -0.13575696706107357
