Candidate: 0xff, Correlation: -0.31186645221331194
Candidate: 0x3, Correlation: -0.31089904277874575
Candidate: 0x0, Correlation: -0.30304066110551925
Candidate: 0xa0, Correlation: -0.301427134020111
Candidate: 0x1b, Correlation: -0.3009383334531912
Candidate: 0xfc, Correlation: -0.28542347714632865
Candidate: 0x1, Correlation: -0.2854164141639192
Candidate: 0x60, Correlation: -0.2829047903137137
Candidate: 0xfd, Correlation: -0.27636400173588016
Candidate: 0x4, Correlation: -0.2762718466314476
Candidate: 0xfb, Correlation: -0.2686829959154968
Candidate: 0x20, Correlation: -0.25983425843968316
Candidate: 0x1a, Correlation: -0.2549098141202487
Candidate: 0xe0, Correlation: -0.2543296144322941
Candidate: 0x1f, Correlation: -0.2506355987088266
Candidate: 0xdf, Correlation: -0.24891329307137097
Candidate: 0x9f, Correlation: -0.2488372871289754
Candidate: 0xa1, Correlation: -0.24855315465291392
Candidate: 0x9b, Correlation: -0.24593575289558064
Candidate: 0x5f, Correlation: -0.2445117807867092
Candidate: 0x9e, Correlation: -0.23935304693757048
Candidate: 0x5e, Correlation: -0.23864338223604759
Candidate: 0x1d, Correlation: -0.23798499625167976
Candidate: 0x1c, Correlation: -0.23176630665760023
Candidate: 0x61, Correlation: -0.23151420050438712
Candidate: 0x21, Correlation: -0.2303352091815302
Candidate: 0xdb, Correlation: -0.2301901393763066
Candidate: 0xe1, Correlation: -0.22081079948145402
Candidate: 0xa2, Correlation: -0.21445770623064012
Candidate: 0xfe, Correlation: -0.21040243586078117
Candidate: 0x2, Correlation: -0.20316002580344178
Candidate: 0x19, Correlation: -0.1999647105219314
Candidate: 0x9a, Correlation: -0.19971178630119213
Candidate: 0x62, Correlation: -0.19758812828683345
Candidate: 0xb, Correlation: -0.19707176856155867
Candidate: 0x5, Correlation: -0.19557676266885335
Candidate: 0x1e, Correlation: -0.19448820486204804
Candidate: 0xda, Correlation: -0.1904654848031519
Candidate: 0xde, Correlation: -0.19043761415679553
Candidate: 0x9d, Correlation: -0.18745110471046703
Candidate: 0x3f, Correlation: -0.18739918475868805
Candidate: 0xdd, Correlation: -0.18457944349088104
Candidate: 0x7f, Correlation: -0.1830137444632172
Candidate: 0x40, Correlation: -0.18293756749788423
Candidate: 0x9c, Correlation: -0.1810322450282482
Candidate: 0x83, Correlation: -0.18082743965241463
Candidate: 0xc0, Correlation: -0.17782338497606004
Candidate: 0xbf, Correlation: -0.17294624591759328
Candidate: 0x22, Correlation: -0.17112048001818894
Candidate: 0xe5, Correlation: -0.1697041134745931
Candidate: 0xdc, Correlation: -0.1676856278899245
Candidate: 0x80, Correlation: -0.16377972387332554
Candidate: 0x8a, Correlation: -0.1631167481332203
Candidate: 0xca, Correlation: -0.16223275160622108
Candidate: 0xeb, Correlation: -0.16076444530297967
