Candidate: 0xcf, Correlation: -0.26430284332182385
Candidate: 0xcb, Correlation: -0.26184127351955744
Candidate: 0xff, Correlation: -0.2431243257663478
Candidate: 0x0, Correlation: -0.23353561953791474
Candidate: 0x29, Correlation: -0.2285244521889707
Candidate: 0xcd, Correlation: -0.22731113061096148
Candidate: 0x21, Correlation: -0.22432870491669496
Candidate: 0x31, Correlation: -0.22400897631559163
Candidate: 0x69, Correlation: -0.22339068654210206
Candidate: 0x51, Correlation: -0.22077341434343165
Candidate: 0x19, Correlation: -0.21833169169061412
Candidate: 0xaf, Correlation: -0.21741564884255424
Candidate: 0x59, Correlation: -0.2161176731512011
Candidate: 0x71, Correlation: -0.2144361773220399
Candidate: 0x61, Correlation: -0.21212320049080097
Candidate: 0x11, Correlation: -0.20976326302243753
Candidate: 0xfe, Correlation: -0.2062625770548339
Candidate: 0x39, Correlation: -0.20583486674252366
Candidate: 0xce, Correlation: -0.20392778912899825
Candidate: 0xa7, Correlation: -0.20179968993292013
Candidate: 0xd3, Correlation: -0.20125867594535474
Candidate: 0xcc, Correlation: -0.2008391563564897
Candidate: 0xef, Correlation: -0.19960537262774908
Candidate: 0x49, Correlation: -0.19611803074824974
Candidate: 0xf, Correlation: -0.1953978598132249
Candidate: 0x57, Correlation: -0.1943871355352177
Candidate: 0xa1, Correlation: -0.194043293201265
Candidate: 0xa9, Correlation: -0.19377454809549613
Candidate: 0x67, Correlation: -0.19328845842368655
Candidate: 0xf0, Correlation: -0.19255435728058123
Candidate: 0xab, Correlation: -0.19224684275996487
Candidate: 0x99, Correlation: -0.19148964785883527
Candidate: 0xe9, Correlation: -0.1906301380259427
Candidate: 0x91, Correlation: -0.1883096318869187
Candidate: 0x79, Correlation: -0.18711205679957127
Candidate: 0xf1, Correlation: -0.18697242093974079
Candidate: 0x9, Correlation: -0.18458952909354273
Candidate: 0x97, Correlation: -0.18366133373332555
Candidate: 0xb1, Correlation: -0.18300640889436673
Candidate: 0x4f, Correlation: -0.18145614531965026
Candidate: 0x5f, Correlation: -0.1811193260233077
Candidate: 0x10, Correlation: -0.18045045050914554
Candidate: 0xf9, Correlation: -0.17450529806934129
Candidate: 0x41, Correlation: -0.17357999263276883
Candidate: 0xf8, Correlation: -0.17350081525077524
Candidate: 0x89, Correlation: -0.17255939966119369
Candidate: 0x87, Correlation: -0.17207857958956185
Candidate: 0x3f, Correlation: -0.1710983188011922
Candidate: 0x78, Correlation: -0.17086086132513761
Candidate: 0xc1, Correlation: -0.17039432976171512
Candidate: 0x4b, Correlation: -0.1702774786996356
Candidate: 0xda, Correlation: -0.16967285860029827
Candidate: 0xbf, Correlation: -0.16952194380549807
Candidate: 0x77, Correlation: -0.16911668336254088
Candidate: 0xb3, Correlation: -0.1685754852666298
Candidate: 0xf7, Correlation: -0.16728456706233077
Candidate: 0x9f, Correlation: -0.16703299118981704
Candidate: 0xe1, Correlation: -0.1669245491950932
Candidate: 0xad, Correlation: -0.16659087203024794
Candidate: 0x2f, Correlation: -0.1659102492483676
Candidate: 0x8b, Correlation: -0.16520033255155975
Candidate: 0xbb, Correlation: -0.16448234935848216
Candidate: 0x3e, Correlation: -0.16423108906327524
Candidate: 0xc0, Correlation: -0.16415888776362192
Candidate: 0x58, Correlation: -0.16228227009624918
Candidate: 0x8f, Correlation: -0.16174304154191227
