Candidate: 0xd5, Correlation: -0.44889768561058924
Candidate: 0x55, Correlation: -0.40477402302210286
Candidate: 0x15, Correlation: -0.3381813797119687
Candidate: 0xd4, Correlation: -0.326610892362101
Candidate: 0x45, Correlation: -0.3239436145801801
Candidate: 0xaf, Correlation: -0.3172875150618955
Candidate: 0x4f, Correlation: -0.3029291450816362
Candidate: 0xc5, Correlation: -0.30278544943229374
Candidate: 0x6f, Correlation: -0.3021082655179565
Candidate: 0x8f, Correlation: -0.29010868986751887
Candidate: 0xd1, Correlation: -0.2877004441868573
Candidate: 0x54, Correlation: -0.28534646054192486
Candidate: 0xbf, Correlation: -0.2853304032307284
Candidate: 0x97, Correlation: -0.28268645933954284
Candidate: 0x77, Correlation: -0.28113196166309806
Candidate: 0x1f, Correlation: -0.2728199538010182
Candidate: 0x3f, Correlation: -0.272737950749412
Candidate: 0xcf, Correlation: -0.27053556830770326
Candidate: 0x87, Correlation: -0.2680790794846011
Candidate: 0x7f, Correlation: -0.26311896672910323
Candidate: 0xb4, Correlation: -0.26279089334330846
Candidate: 0xdf, Correlation: -0.2625447003462043
Candidate: 0x67, Correlation: -0.26112396565745577
Candidate: 0x2f, Correlation: -0.2600633049649581
Candidate: 0x51, Correlation: -0.25992421865491416
Candidate: 0x5f, Correlation: -0.25440148597776757
Candidate: 0x9f, Correlation: -0.2523067802141662
Candidate: 0xff, Correlation: -0.2512079186451557
Candidate: 0x5, Correlation: -0.24783582359469997
Candidate: 0x0, Correlation: -0.24697818158283463
Candidate: 0xd6, Correlation: -0.2456309270701278
Candidate: 0x94, Correlation: -0.24177575696903114
Candidate: 0xd3, Correlation: -0.2370739245864375
Candidate: 0xbc, Correlation: -0.2370131049100565
Candidate: 0xfe, Correlation: -0.23503029622764254
Candidate: 0xca, Correlation: -0.23447229227701719
Candidate: 0x34, Correlation: -0.23325039718656732
Candidate: 0x35, Correlation: -0.2330897497878251
Candidate: 0xcc, Correlation: -0.23229497166665164
Candidate: 0x57, Correlation: -0.23160479529888553
Candidate: 0xe5, Correlation: -0.23024385054550464
Candidate: 0x14, Correlation: -0.22436537203004653
Candidate: 0xd2, Correlation: -0.22328233499314046
Candidate: 0x4a, Correlation: -0.2211872223602644
Candidate: 0xe1, Correlation: -0.2200596387796766
Candidate: 0x8a, Correlation: -0.2194003476121166
Candidate: 0xc4, Correlation: -0.21855152671956363
Candidate: 0x80, Correlation: -0.21772298330856782
Candidate: 0x74, Correlation: -0.21525901569332842
Candidate: 0x21, Correlation: -0.21374121172448285
Candidate: 0xa7, Correlation: -0.2119745505248239
Candidate: 0x1, Correlation: -0.21086034618140934
Candidate: 0x3c, Correlation: -0.21007053561436156
Candidate: 0xd9, Correlation: -0.2099785245841533
Candidate: 0x4c, Correlation: -0.20755216791650732
Candidate: 0xa, Correlation: -0.2071462487897507
Candidate: 0x44, Correlation: -0.20602824813987894
Candidate: 0x75, Correlation: -0.2055151661608169
Candidate: 0x53, Correlation: -0.20551183310234036
Candidate: 0x25, Correlation: -0.20539259466910514
Candidate: 0xf5, Correlation: -0.20453960609975153
Candidate: 0xac, Correlation: -0.20172215712193486
Candidate: 0xb0, Correlation: -0.19907224565831808
Candidate: 0x7e, Correlation: -0.19856973702010478
Candidate: 0xb2, Correlation: -0.19848801013004808
Candidate: 0x8c, Correlation: -0.19842684717680384
