Candidate: 0x92, Correlation: -0.45914511290107096
Candidate: 0x0, Correlation: -0.45504949248425874
Candidate: 0xbb, Correlation: -0.3918626786148702
Candidate: 0x1a, Correlation: -0.3850521499895956
Candidate: 0xdb, Correlation: -0.38255223755098855
Candidate: 0x94, Correlation: -0.37071199045310665
Candidate: 0x1, Correlation: -0.36402174994799463
Candidate: 0x9a, Correlation: -0.36066858630412774
Candidate: 0x12, Correlation: -0.35922282936017713
Candidate: 0xd2, Correlation: -0.35809528188791406
Candidate: 0xf8, Correlation: -0.35577673077836697
Candidate: 0xda, Correlation: -0.3549251997895916
Candidate: 0xfb, Correlation: -0.35327113257827236
Candidate: 0xfe, Correlation: -0.3504521522813499
Candidate: 0xbd, Correlation: -0.34962971975911156
Candidate: 0xa2, Correlation: -0.34809707771498694
Candidate: 0xfc, Correlation: -0.34804505944405
Candidate: 0x96, Correlation: -0.34635488761889005
Candidate: 0xb2, Correlation: -0.339707424044412
Candidate: 0x10, Correlation: -0.338822275498691
Candidate: 0xbf, Correlation: -0.3381475300465716
Candidate: 0x80, Correlation: -0.3354783922627804
Candidate: 0x93, Correlation: -0.3352719599950016
Candidate: 0xe0, Correlation: -0.3323780277865363
Candidate: 0xc0, Correlation: -0.3230675873095251
Candidate: 0x5b, Correlation: -0.3230165171888754
Candidate: 0xba, Correlation: -0.3144193298312741
Candidate: 0xfd, Correlation: -0.313021658301962
Candidate: 0xdd, Correlation: -0.3003706648077298
Candidate: 0xff, Correlation: -0.29954908228673005
Candidate: 0x9b, Correlation: -0.29650369045616515
Candidate: 0xc1, Correlation: -0.2964815986139745
Candidate: 0x5a, Correlation: -0.2947084979941711
Candidate: 0x1c, Correlation: -0.28945157866502924
Candidate: 0xaa, Correlation: -0.2894170401838719
Candidate: 0xfa, Correlation: -0.28797642738566054
Candidate: 0xeb, Correlation: -0.28033767658551806
Candidate: 0xbc, Correlation: -0.2763948355398718
Candidate: 0xdc, Correlation: -0.27629323437631714
Candidate: 0x2a, Correlation: -0.2758790941581037
Candidate: 0x3a, Correlation: -0.2720778535831499
Candidate: 0xcb, Correlation: -0.27097827507159755
Candidate: 0xdf, Correlation: -0.27031984910815304
Candidate: 0xd4, Correlation: -0.2696549494450388
Candidate: 0xbe, Correlation: -0.2683893235819897
Candidate: 0xd3, Correlation: -0.26655274398661516
Candidate: 0x9c, Correlation: -0.26498161522155406
Candidate: 0x1e, Correlation: -0.26418215777740695
Candidate: 0x14, Correlation: -0.26306617759910605
Candidate: 0xf9, Correlation: -0.26002948612133986
Candidate: 0xa4, Correlation: -0.2572575119288399
Candidate: 0x98, Correlation: -0.2566056616115319
Candidate: 0x22, Correlation: -0.25654520196406716
Candidate: 0x1b, Correlation: -0.25417116043950444
Candidate: 0x52, Correlation: -0.2527153128137963
Candidate: 0x7b, Correlation: -0.2512922343019763
Candidate: 0xe2, Correlation: -0.2506017251108444
Candidate: 0xb4, Correlation: -0.24786647517141955
Candidate: 0xf6, Correlation: -0.2472485338756728
Candidate: 0xde, Correlation: -0.24715958475654884
Candidate: 0x32, Correlation: -0.24685639635715564
Candidate: 0x3b, Correlation: -0.24666555038438007
Candidate: 0x81, Correlation: -0.24543593270207684
Candidate: 0xd6, Correlation: -0.24413993944591608
Candidate: 0xe1, Correlation: -0.24378539319619358
Candidate: 0xab, Correlation: -0.24333940940416748
Candidate: 0xf4, Correlation: -0.24294333565771686
Candidate: 0x11, Correlation: -0.242756656161569
Candidate: 0x95, Correlation: -0.24212385282716334
Candidate: 0xb, Correlation: -0.2411401119125096
Candidate: 0xf2, Correlation: -0.23743266123789378
Candidate: 0x16, Correlation: -0.23713944315486865
Candidate: 0x5d, Correlation: -0.23691125905013044
Candidate: 0xb3, Correlation: -0.23619847912864075
Candidate: 0x78, Correlation: -0.23613587775879516
Candidate: 0xa6, Correlation: -0.23584909623455788
Candidate: 0xe, Correlation: -0.23552566835405056
Candidate: 0x9e, Correlation: -0.23510109489021488
Candidate: 0x7e, Correlation: -0.23396719305933672
Candidate: 0x6b, Correlation: -0.23382724246398945
Candidate: 0x8, Correlation: -0.23220791670688049
Candidate: 0x7c, Correlation: -0.2295130247163151
Candidate: 0xc, Correlation: -0.228839544147614
Candidate: 0xcd, Correlation: -0.2274766037361252
Candidate: 0xd8, Correlation: -0.2274338514839869
Candidate: 0xf3, Correlation: -0.22658487898344892
Candidate: 0x7a, Correlation: -0.22640520338841427
Candidate: 0xb6, Correlation: -0.2244232351490951
Candidate: 0xc2, Correlation: -0.22209013161774965
Candidate: 0xcf, Correlation: -0.21942247089138756
Candidate: 0xa3, Correlation: -0.21929582729755503
Candidate: 0x97, Correlation: -0.21868367031449
Candidate: 0xf0, Correlation: -0.21791879652110663
Candidate: 0x60, Correlation: -0.2163590318815211
Candidate: 0xb8, Correlation: -0.21566664382738784
Candidate: 0x53, Correlation: -0.21516477939201753
Candidate: 0x13, Correlation: -0.21437921839725602
Candidate: 0x90, Correlation: -0.21365271438500302
Candidate: 0x5c, Correlation: -0.2125162636630083
Candidate: 0x3e, Correlation: -0.21131813400547642
Candidate: 0x5f, Correlation: -0.21100924564380813
Candidate: 0xe3, Correlation: -0.20830209931898339
Candidate: 0x91, Correlation: -0.20707235235043153
Candidate: 0x3d, Correlation: -0.20187017053066428
Candidate: 0x40, Correlation: -0.2013018777323267
Candidate: 0xa0, Correlation: -0.19951283794600883
Candidate: 0xd0, Correlation: -0.19927324912148722
