Candidate: 0x9c, Correlation: -0.5146886778934021
Candidate: 0x83, Correlation: -0.5009698977269639
Candidate: 0x0, Correlation: -0.46144004265216393
Candidate: 0x82, Correlation: -0.43837297859903035
Candidate: 0x81, Correlation: -0.4322947959855921
Candidate: 0xc2, Correlation: -0.4164266732824928
Candidate: 0xbc, Correlation: -0.4093231722282845
Candidate: 0x3, Correlation: -0.4074699962651461
Candidate: 0xa0, Correlation: -0.4052588584177776
Candidate: 0x9e, Correlation: -0.3982075838787708
Candidate: 0xa4, Correlation: -0.3912788287647459
Candidate: 0x9d, Correlation: -0.39046476638547556
Candidate: 0xac, Correlation: -0.3858844361649404
Candidate: 0xdc, Correlation: -0.3774393034451422
Candidate: 0x80, Correlation: -0.375857903217417
Candidate: 0x1c, Correlation: -0.3750195707621505
Candidate: 0x93, Correlation: -0.37276093181583636
Candidate: 0xc0, Correlation: -0.3727178989705925
Candidate: 0x2, Correlation: -0.36165014592329014
Candidate: 0xfc, Correlation: -0.36111403857949365
Candidate: 0x8b, Correlation: -0.35780578902675825
Candidate: 0x10, Correlation: -0.35734004883297965
Candidate: 0x7f, Correlation: -0.3530833011179445
Candidate: 0xbe, Correlation: -0.3508299117592297
Candidate: 0xe0, Correlation: -0.3502986439762986
Candidate: 0xa2, Correlation: -0.3482572634256078
Candidate: 0x1, Correlation: -0.34282401863769824
Candidate: 0x8, Correlation: -0.3426152670211736
Candidate: 0x63, Correlation: -0.3278343170173994
Candidate: 0x43, Correlation: -0.32309166833759784
Candidate: 0x92, Correlation: -0.3158806524248676
Candidate: 0xd2, Correlation: -0.3058299145377739
Candidate: 0x91, Correlation: -0.3054709030886311
Candidate: 0x8a, Correlation: -0.3037325196948996
Candidate: 0x89, Correlation: -0.29623627019374815
Candidate: 0xfe, Correlation: -0.2959765294450561
Candidate: 0xe2, Correlation: -0.2934387792550529
Candidate: 0x7e, Correlation: -0.2930167086785708
Candidate: 0xa8, Correlation: -0.28527687446622596
Candidate: 0xc4, Correlation: -0.28481479242930624
Candidate: 0xbd, Correlation: -0.28139334358305734
Candidate: 0x7d, Correlation: -0.28031138456268667
Candidate: 0xa1, Correlation: -0.2789936109284839
Candidate: 0x13, Correlation: -0.27676372078341466
Candidate: 0xb0, Correlation: -0.2765588829856035
Candidate: 0x9f, Correlation: -0.2738538927064804
Candidate: 0xcc, Correlation: -0.2717708847425758
Candidate: 0xad, Correlation: -0.2707704417484144
Candidate: 0x20, Correlation: -0.2698180624595944
Candidate: 0x24, Correlation: -0.26825155882195256
Candidate: 0xae, Correlation: -0.2675400555338686
Candidate: 0x3c, Correlation: -0.2671631633005633
Candidate: 0x62, Correlation: -0.26521804871693855
Candidate: 0x42, Correlation: -0.2648916559438974
Candidate: 0xc3, Correlation: -0.2644892068701986
Candidate: 0xa6, Correlation: -0.26430800151053024
Candidate: 0xd0, Correlation: -0.2636714284533583
Candidate: 0xb, Correlation: -0.2631397807168824
Candidate: 0xa5, Correlation: -0.25920197226399966
Candidate: 0xb4, Correlation: -0.25840097852574834
Candidate: 0x61, Correlation: -0.2575635500930253
Candidate: 0xff, Correlation: -0.25709645224021827
Candidate: 0xde, Correlation: -0.25625026226330666
Candidate: 0x2c, Correlation: -0.255122080597412
Candidate: 0xc, Correlation: -0.2551167207649817
Candidate: 0x41, Correlation: -0.2546522146120262
Candidate: 0x12, Correlation: -0.25438812073821665
Candidate: 0xdd, Correlation: -0.25273491156650146
Candidate: 0x90, Correlation: -0.2523007993189615
Candidate: 0xe4, Correlation: -0.25169801565672995
Candidate: 0xec, Correlation: -0.2505440518671243
Candidate: 0x1e, Correlation: -0.25049574248411544
Candidate: 0x1d, Correlation: -0.24800966055387022
Candidate: 0xca, Correlation: -0.24614668230042885
Candidate: 0xe, Correlation: -0.24576605094133774
Candidate: 0x88, Correlation: -0.24452182218136448
Candidate: 0x9b, Correlation: -0.2425313961925708
