Candidate: 0xdf, Correlation: -0.5273984200293074
Candidate: 0xff, Correlation: -0.48376894039452534
Candidate: 0x31, Correlation: -0.4307496318515517
Candidate: 0xe0, Correlation: -0.40530575014230535
Candidate: 0x5f, Correlation: -0.40315944213488586
Candidate: 0xef, Correlation: -0.39590772933388063
Candidate: 0xe1, Correlation: -0.3951559514221945
Candidate: 0x1f, Correlation: -0.39266976296848255
Candidate: 0xe7, Correlation: -0.3893012971465767
Candidate: 0x1, Correlation: -0.3775912116717451
Candidate: 0x3f, Correlation: -0.3737307512086663
Candidate: 0x7, Correlation: -0.370783700976771
Candidate: 0xe3, Correlation: -0.37026192111723927
Candidate: 0xf, Correlation: -0.36846040705775696
Candidate: 0x51, Correlation: -0.3684559512060069
Candidate: 0x7f, Correlation: -0.363171120655643
Candidate: 0x0, Correlation: -0.3579562413837171
Candidate: 0x3, Correlation: -0.35511051329586857
Candidate: 0xf1, Correlation: -0.35277348099917477
Candidate: 0x2f, Correlation: -0.35194316485814525
Candidate: 0x21, Correlation: -0.34586374861068453
Candidate: 0x4f, Correlation: -0.303265626393055
Candidate: 0x39, Correlation: -0.2991738167861851
Candidate: 0x11, Correlation: -0.29663843854881394
Candidate: 0x41, Correlation: -0.29153576825115035
Candidate: 0x9f, Correlation: -0.29126059080859784
Candidate: 0x32, Correlation: -0.2904930010250221
Candidate: 0x35, Correlation: -0.2867806843846729
Candidate: 0x60, Correlation: -0.28642956969478856
Candidate: 0xde, Correlation: -0.285134938468642
Candidate: 0xb1, Correlation: -0.2812489807207063
Candidate: 0x6f, Correlation: -0.27969163811702147
Candidate: 0xf0, Correlation: -0.27571923252962605
Candidate: 0x61, Correlation: -0.2744097382332544
Candidate: 0xe2, Correlation: -0.2736230084645158
Candidate: 0xaf, Correlation: -0.27316299351631906
Candidate: 0xe8, Correlation: -0.26857479853134664
Candidate: 0x67, Correlation: -0.26768692477722317
Candidate: 0x20, Correlation: -0.26617017046208613
Candidate: 0x9, Correlation: -0.26555678908706404
Candidate: 0xe9, Correlation: -0.25970698304969303
Candidate: 0x81, Correlation: -0.2590044807120078
Candidate: 0xf7, Correlation: -0.25661639496984345
Candidate: 0x47, Correlation: -0.2560647932694105
Candidate: 0x5, Correlation: -0.2536956737924845
Candidate: 0x2, Correlation: -0.252929315182713
Candidate: 0xbf, Correlation: -0.2525930158185598
Candidate: 0x10, Correlation: -0.25105803388638137
Candidate: 0x87, Correlation: -0.25020798575764286
Candidate: 0x63, Correlation: -0.24884767213306672
Candidate: 0xa3, Correlation: -0.2486373341408645
Candidate: 0x17, Correlation: -0.24858420649397736
Candidate: 0xe4, Correlation: -0.2483394263004152
Candidate: 0x40, Correlation: -0.24820859318028332
Candidate: 0x27, Correlation: -0.24723241344614932
Candidate: 0xb3, Correlation: -0.24568564679480664
Candidate: 0x8, Correlation: -0.24557209548436337
Candidate: 0x43, Correlation: -0.24516450952692967
Candidate: 0xe5, Correlation: -0.2443985404130681
Candidate: 0x8f, Correlation: -0.24436691888322415
Candidate: 0x80, Correlation: -0.24195677853286834
Candidate: 0xa1, Correlation: -0.24080643637480864
Candidate: 0x59, Correlation: -0.2407349972159129
Candidate: 0xb, Correlation: -0.24032849912381785
Candidate: 0xf3, Correlation: -0.2399753575571425
Candidate: 0x13, Correlation: -0.23592906263852756
Candidate: 0x23, Correlation: -0.23520626013412774
Candidate: 0x83, Correlation: -0.23492403079906174
Candidate: 0xeb, Correlation: -0.23391562208500782
Candidate: 0x33, Correlation: -0.2325273551858508
Candidate: 0x9e, Correlation: -0.23098565639844887
Candidate: 0xab, Correlation: -0.23042992172041465
Candidate: 0x4, Correlation: -0.22939436526496512
Candidate: 0xbe, Correlation: -0.2282537745642226
Candidate: 0x52, Correlation: -0.22732740021776784
Candidate: 0x55, Correlation: -0.22633152820216956
Candidate: 0xf9, Correlation: -0.22612242938465735
Candidate: 0xd1, Correlation: -0.22162465401859338
Candidate: 0xbb, Correlation: -0.2207165492307042
Candidate: 0x37, Correlation: -0.2191320313607348
Candidate: 0xd6, Correlation: -0.21873396175420726
Candidate: 0xa5, Correlation: -0.21786576516616932
Candidate: 0x29, Correlation: -0.2176959992519234
Candidate: 0x5e, Correlation: -0.21723904144505143
Candidate: 0xdc, Correlation: -0.21647646884733082
Candidate: 0xad, Correlation: -0.21608742271777098
Candidate: 0xb5, Correlation: -0.21498668181788846
Candidate: 0xf2, Correlation: -0.21407257504512978
Candidate: 0xdd, Correlation: -0.21259460716342748
Candidate: 0x73, Correlation: -0.21251764273800963
Candidate: 0x30, Correlation: -0.2110251582649632
Candidate: 0xf5, Correlation: -0.20896359095631703
Candidate: 0xce, Correlation: -0.20643229737583807
Candidate: 0xbd, Correlation: -0.2064124636164082
Candidate: 0x71, Correlation: -0.20636353335035937
Candidate: 0x22, Correlation: -0.20550243575044927
Candidate: 0x6b, Correlation: -0.20359856939952597
Candidate: 0x25, Correlation: -0.20338858933561724
Candidate: 0x68, Correlation: -0.1957108993031349
Candidate: 0x78, Correlation: -0.19547318032060867
Candidate: 0x7b, Correlation: -0.19251299389597853
Candidate: 0x6c, Correlation: -0.19114296362657374
Candidate: 0x7c, Correlation: -0.19035888864033818
Candidate: 0x6d, Correlation: -0.18908656811564847
Candidate: 0xda, Correlation: -0.18814173529648387
Candidate: 0x77, Correlation: -0.1874522088047058
Candidate: 0x65, Correlation: -0.18642151690247447
Candidate: 0xcf, Correlation: -0.1830287379602402
Candidate: 0x75, Correlation: -0.18212275394423652
Candidate: 0x7d, Correlation: -0.17811009529357602
Candidate: 0xd3, Correlation: -0.17581476297730464
Candidate: 0x93, Correlation: -0.17169073453162897
Candidate: 0xd5, Correlation: -0.1698739104828911
Candidate: 0x70, Correlation: -0.16938005059325678
Candidate: 0x7e, Correlation: -0.16840825421659045
Candidate: 0x3e, Correlation: -0.1676892211460427
Candidate: 0xb6, Correlation: -0.16668805565303457
Candidate: 0x3a, Correlation: -0.16642168219549353
Candidate: 0x19, Correlation: -0.16635079439879363
Candidate: 0x95, Correlation: -0.16598867805844134
Candidate: 0x2b, Correlation: -0.16543237789493007
Candidate: 0x57, Correlation: -0.16501234273875492
Candidate: 0x74, Correlation: -0.16498731672103442
Candidate: 0x3d, Correlation: -0.1648830511049529
Candidate: 0x64, Correlation: -0.16406244799929084
Candidate: 0x50, Correlation: -0.16393569774603883
Candidate: 0xa0, Correlation: -0.16287667980978557
Candidate: 0x96, Correlation: -0.1625653315102678
Candidate: 0x9c, Correlation: -0.16256309111185208
Candidate: 0xbc, Correlation: -0.16216867502312193
Candidate: 0xcb, Correlation: -0.16192706486854466
Candidate: 0x12, Correlation: -0.15975537558718936
Candidate: 0x98, Correlation: -0.15890970696960888
Candidate: 0xb9, Correlation: -0.15879491647875674
Candidate: 0x49, Correlation: -0.15862477512015197
Candidate: 0xc3, Correlation: -0.1584523331909271
