Candidate: 0xcd, Correlation: -0.49224395185666286
Candidate: 0x0, Correlation: -0.4910940606504168
Candidate: 0xa8, Correlation: -0.4563660061933361
Candidate: 0xed, Correlation: -0.45340909325548373
Candidate: 0xc8, Correlation: -0.41652573473986837
Candidate: 0x53, Correlation: -0.40866636964713937
Candidate: 0x80, Correlation: -0.3989686186051768
Candidate: 0x68, Correlation: -0.3934843583375399
Candidate: 0xd3, Correlation: -0.39084470932799525
Candidate: 0xfe, Correlation: -0.3882387433580196
Candidate: 0x4f, Correlation: -0.38680801741393644
Candidate: 0xf0, Correlation: -0.3821008158729204
Candidate: 0x9f, Correlation: -0.3805388696583543
Candidate: 0xa0, Correlation: -0.3802575386457527
Candidate: 0x4d, Correlation: -0.3780789738560377
Candidate: 0xff, Correlation: -0.376798035860199
Candidate: 0xd1, Correlation: -0.3713337755728769
Candidate: 0xd, Correlation: -0.37132090455491823
Candidate: 0xcf, Correlation: -0.3704538596683209
Candidate: 0xdd, Correlation: -0.36874989179298345
Candidate: 0xce, Correlation: -0.36786798567173234
Candidate: 0x28, Correlation: -0.3607757350437847
Candidate: 0x4, Correlation: -0.35962146715025994
Candidate: 0xe0, Correlation: -0.3580256456948347
Candidate: 0x88, Correlation: -0.3552768823133129
Candidate: 0x5f, Correlation: -0.3552164480468027
Candidate: 0xd5, Correlation: -0.3546364070534999
Candidate: 0x8, Correlation: -0.3502511703594447
Candidate: 0xa7, Correlation: -0.3465237003952381
Candidate: 0x40, Correlation: -0.34490812937499804
Candidate: 0x6d, Correlation: -0.3434624890047399
Candidate: 0xc0, Correlation: -0.3378153385465528
Candidate: 0x63, Correlation: -0.33540448571086107
Candidate: 0xfd, Correlation: -0.3336234634709648
Candidate: 0xef, Correlation: -0.33313030638570845
Candidate: 0x54, Correlation: -0.3286480024269692
Candidate: 0x8f, Correlation: -0.32686873941704425
Candidate: 0xee, Correlation: -0.32665113935762163
Candidate: 0x67, Correlation: -0.324097315876333
Candidate: 0x48, Correlation: -0.3212649870256333
Candidate: 0x2d, Correlation: -0.31954190759251055
Candidate: 0x60, Correlation: -0.3177721550097103
Candidate: 0xf1, Correlation: -0.3166772370678978
Candidate: 0xe3, Correlation: -0.3165648267007337
Candidate: 0xd4, Correlation: -0.31207885169079813
Candidate: 0xf5, Correlation: -0.3105737926157388
Candidate: 0x98, Correlation: -0.3096676551418801
Candidate: 0x50, Correlation: -0.3083958785300386
Candidate: 0x51, Correlation: -0.30184955837061006
Candidate: 0xe8, Correlation: -0.3011806355282852
Candidate: 0xac, Correlation: -0.3006503389892779
Candidate: 0x7e, Correlation: -0.29943793395628776
Candidate: 0xdf, Correlation: -0.2961132767046453
Candidate: 0x97, Correlation: -0.293433120816297
Candidate: 0xd0, Correlation: -0.29292229128684505
Candidate: 0x20, Correlation: -0.28822335131205096
Candidate: 0x70, Correlation: -0.2881457509693884
Candidate: 0x7f, Correlation: -0.28669767542357
Candidate: 0xa6, Correlation: -0.2850710912442283
Candidate: 0x73, Correlation: -0.2834247578781017
Candidate: 0x90, Correlation: -0.27404183464505294
Candidate: 0xb8, Correlation: -0.2736055859861487
Candidate: 0x57, Correlation: -0.27201264706823486
Candidate: 0x1f, Correlation: -0.27199830645553047
Candidate: 0x84, Correlation: -0.2687465577987094
Candidate: 0xc7, Correlation: -0.26835982560695504
Candidate: 0xf3, Correlation: -0.26606306384336453
Candidate: 0x6f, Correlation: -0.26505395327265757
Candidate: 0x5d, Correlation: -0.2648710396382495
Candidate: 0xa3, Correlation: -0.2613828023004598
Candidate: 0x4e, Correlation: -0.25742062097383234
Candidate: 0x9d, Correlation: -0.25587372715749296
Candidate: 0x8d, Correlation: -0.2556154568454709
Candidate: 0xde, Correlation: -0.2544058901839807
Candidate: 0x64, Correlation: -0.25313175596325355
Candidate: 0x2, Correlation: -0.25305010520444327
Candidate: 0xcc, Correlation: -0.25286301095186703
Candidate: 0xe1, Correlation: -0.2516334932483027
Candidate: 0x11, Correlation: -0.2501293787274179
Candidate: 0x1d, Correlation: -0.24868388109485093
Candidate: 0x58, Correlation: -0.2485572400531402
Candidate: 0xf4, Correlation: -0.24792053052844887
Candidate: 0xd2, Correlation: -0.24741217495716727
Candidate: 0xe, Correlation: -0.24669808088913014
Candidate: 0x3, Correlation: -0.24635689875773054
Candidate: 0xc6, Correlation: -0.2453466061465657
Candidate: 0x6, Correlation: -0.24503495132628275
Candidate: 0x27, Correlation: -0.24451406991220515
Candidate: 0xf, Correlation: -0.2408904689672723
Candidate: 0x3e, Correlation: -0.23903455864950252
Candidate: 0xf8, Correlation: -0.23733229702989822
Candidate: 0x55, Correlation: -0.23731055482126207
Candidate: 0xd9, Correlation: -0.23657908568488023
Candidate: 0x30, Correlation: -0.23657590205444998
Candidate: 0xe4, Correlation: -0.2355575635694738
Candidate: 0x93, Correlation: -0.2354319803268319
Candidate: 0x7, Correlation: -0.23523376931714585
Candidate: 0x6c, Correlation: -0.23461443954772696
Candidate: 0x3f, Correlation: -0.23417106042756577
Candidate: 0x15, Correlation: -0.23342946984505422
Candidate: 0xe5, Correlation: -0.232181261306601
Candidate: 0xab, Correlation: -0.2303993383063471
Candidate: 0xd6, Correlation: -0.23020302169842585
Candidate: 0x61, Correlation: -0.22871247993355312
Candidate: 0xd7, Correlation: -0.22636261920326567
Candidate: 0x66, Correlation: -0.22564629797120717
Candidate: 0xe7, Correlation: -0.2255739525538939
Candidate: 0xec, Correlation: -0.22405436092899964
Candidate: 0x7d, Correlation: -0.22396179827330592
Candidate: 0xa5, Correlation: -0.22285970170846855
Candidate: 0x6a, Correlation: -0.2223674518967843
Candidate: 0x71, Correlation: -0.2210093186359972
Candidate: 0x7c, Correlation: -0.22068691473244262
Candidate: 0x52, Correlation: -0.2182464396091387
Candidate: 0x6e, Correlation: -0.21808719697056042
Candidate: 0xc, Correlation: -0.21805552697460562
Candidate: 0xad, Correlation: -0.2171808999191828
Candidate: 0xea, Correlation: -0.21564742542499757
Candidate: 0x13, Correlation: -0.2154893501155138
Candidate: 0xa4, Correlation: -0.2134102722998796
Candidate: 0x18, Correlation: -0.21332114424992657
Candidate: 0x8c, Correlation: -0.21309534733035945
Candidate: 0x78, Correlation: -0.21296839347336471
Candidate: 0x7a, Correlation: -0.21247478356839353
Candidate: 0x6b, Correlation: -0.21113206008196433
Candidate: 0x44, Correlation: -0.21089561143774677
Candidate: 0xf2, Correlation: -0.2100753128656572
Candidate: 0x87, Correlation: -0.20718629412903722
Candidate: 0x8a, Correlation: -0.2069908106949126
Candidate: 0x83, Correlation: -0.20661692365116482
Candidate: 0xbc, Correlation: -0.20656547019626428
Candidate: 0x9e, Correlation: -0.2059897253409051
Candidate: 0x2c, Correlation: -0.20535185228518846
Candidate: 0x3d, Correlation: -0.203810721453757
Candidate: 0x65, Correlation: -0.2036539579365617
Candidate: 0x1, Correlation: -0.20357726327882467
Candidate: 0x5c, Correlation: -0.20307343789940732
