Candidate: 0xac, Correlation: -0.4345713954749669
Candidate: 0x42, Correlation: -0.4238078194087668
Candidate: 0x44, Correlation: -0.38508863736183635
Candidate: 0xc2, Correlation: -0.35140105518654025
Candidate: 0x6c, Correlation: -0.3427498582665041
Candidate: 0xaa, Correlation: -0.3382002056175073
Candidate: 0x4a, Correlation: -0.33760546884446563
Candidate: 0xce, Correlation: -0.3300322807192427
Candidate: 0xa8, Correlation: -0.32869089044971306
Candidate: 0x22, Correlation: -0.3275714879053397
Candidate: 0xad, Correlation: -0.32355929799416167
Candidate: 0x9c, Correlation: -0.32326302480381996
Candidate: 0x2c, Correlation: -0.3168795606777794
Candidate: 0xa4, Correlation: -0.31583471766809307
Candidate: 0xc4, Correlation: -0.31549581048332426
Candidate: 0xcc, Correlation: -0.31316808016144604
Candidate: 0xd0, Correlation: -0.2999780649334028
Candidate: 0x2, Correlation: -0.29956601307297653
Candidate: 0x4c, Correlation: -0.29868189952281277
Candidate: 0x56, Correlation: -0.29277083920332203
Candidate: 0x43, Correlation: -0.29226163875165695
Candidate: 0x1e, Correlation: -0.2903563640293019
Candidate: 0x24, Correlation: -0.28959768342961284
Candidate: 0x32, Correlation: -0.28021502602348614
Candidate: 0xe, Correlation: -0.28014997431008376
Candidate: 0xd6, Correlation: -0.27288221422069003
Candidate: 0xca, Correlation: -0.2667235933678378
Candidate: 0x3e, Correlation: -0.2611312741879964
Candidate: 0x26, Correlation: -0.26047650193481897
Candidate: 0x4, Correlation: -0.26038788553348324
Candidate: 0xd2, Correlation: -0.2595710458033985
Candidate: 0xde, Correlation: -0.25795244164322323
Candidate: 0xa2, Correlation: -0.2563945077809388
Candidate: 0x45, Correlation: -0.25413298055257594
Candidate: 0x4e, Correlation: -0.2533726774225917
Candidate: 0x10, Correlation: -0.2513054893299292
Candidate: 0x6a, Correlation: -0.24761762530609605
Candidate: 0x34, Correlation: -0.24238845785550028
Candidate: 0x20, Correlation: -0.24057189273865523
Candidate: 0x2a, Correlation: -0.23941176471600528
Candidate: 0x31, Correlation: -0.23923423231960228
Candidate: 0x68, Correlation: -0.23533541542486405
Candidate: 0x5c, Correlation: -0.23335657166358667
Candidate: 0xcf, Correlation: -0.2332119553950567
Candidate: 0x6d, Correlation: -0.23320214521973745
Candidate: 0x2e, Correlation: -0.23305405126731812
Candidate: 0xd8, Correlation: -0.2306718489098807
Candidate: 0x16, Correlation: -0.23047304293341814
Candidate: 0x82, Correlation: -0.23030424354551973
Candidate: 0xa6, Correlation: -0.22866119094663018
Candidate: 0x46, Correlation: -0.22839262853516318
Candidate: 0x9a, Correlation: -0.22832124942962498
Candidate: 0xab, Correlation: -0.22813476261473778
Candidate: 0xe0, Correlation: -0.22733518338176303
Candidate: 0xd4, Correlation: -0.22652498461681891
Candidate: 0x40, Correlation: -0.22629283338351958
Candidate: 0x50, Correlation: -0.22475718526758812
Candidate: 0xec, Correlation: -0.22369532881024276
Candidate: 0xc3, Correlation: -0.22257782053934974
Candidate: 0x64, Correlation: -0.22174623430855572
Candidate: 0xee, Correlation: -0.2206770210182667
Candidate: 0x8c, Correlation: -0.22026009190393847
