Candidate: 0xe, Correlation: -0.45525822979290204
Candidate: 0x37, Correlation: -0.4471368958833187
Candidate: 0xf4, Correlation: -0.401141257543252
Candidate: 0x47, Correlation: -0.39405470800438946
Candidate: 0x3f, Correlation: -0.38507475577505623
Candidate: 0x10, Correlation: -0.3610336306250809
Candidate: 0xf2, Correlation: -0.35720212073866947
Candidate: 0x36, Correlation: -0.3562614429854971
Candidate: 0xa, Correlation: -0.3485919506140737
Candidate: 0xf7, Correlation: -0.3469369690708023
Candidate: 0x4e, Correlation: -0.34253200629090313
Candidate: 0xd2, Correlation: -0.33774512839096416
Candidate: 0xee, Correlation: -0.3375527782448334
Candidate: 0x8e, Correlation: -0.3372254637447694
Candidate: 0xf, Correlation: -0.33358202995626995
Candidate: 0xfe, Correlation: -0.33326014339464416
Candidate: 0x4f, Correlation: -0.3328606295940183
Candidate: 0x6, Correlation: -0.33198978261693834
Candidate: 0x4, Correlation: -0.3287274349541353
Candidate: 0xd4, Correlation: -0.32805249372352463
Candidate: 0x39, Correlation: -0.3209535147610326
Candidate: 0x33, Correlation: -0.3096482681742296
Candidate: 0x46, Correlation: -0.3079866771131567
Candidate: 0xf8, Correlation: -0.3048447296421765
Candidate: 0xfc, Correlation: -0.30119999512642565
Candidate: 0x3e, Correlation: -0.2983492006541884
Candidate: 0xf5, Correlation: -0.29523936427026004
Candidate: 0x7, Correlation: -0.2914656000479734
Candidate: 0x2, Correlation: -0.28831327549719465
Candidate: 0xff, Correlation: -0.28689360162790317
Candidate: 0xb7, Correlation: -0.2830429268451194
Candidate: 0x17, Correlation: -0.2756612021494106
Candidate: 0xdc, Correlation: -0.2744831819936654
Candidate: 0xfd, Correlation: -0.26891930075876114
Candidate: 0xe2, Correlation: -0.26813783804862307
Candidate: 0x52, Correlation: -0.2653849347902954
Candidate: 0xd6, Correlation: -0.265236033178641
Candidate: 0x49, Correlation: -0.2649051272612416
Candidate: 0xf6, Correlation: -0.26285140739448604
Candidate: 0xe4, Correlation: -0.25850183819097783
Candidate: 0x41, Correlation: -0.2583690295636405
Candidate: 0x34, Correlation: -0.2579850731340845
Candidate: 0x43, Correlation: -0.2566795925047553
Candidate: 0xc, Correlation: -0.25646263457894486
Candidate: 0x3b, Correlation: -0.254653284808206
Candidate: 0xf3, Correlation: -0.2514193637594986
Candidate: 0xda, Correlation: -0.25114130213807295
Candidate: 0x50, Correlation: -0.2504639065077091
Candidate: 0xd3, Correlation: -0.2456218680759094
Candidate: 0xd5, Correlation: -0.2451838719367262
Candidate: 0xfa, Correlation: -0.24403315613415297
Candidate: 0x90, Correlation: -0.24346004685796313
Candidate: 0x0, Correlation: -0.24285731152158035
Candidate: 0xf0, Correlation: -0.24278718785896805
Candidate: 0x74, Correlation: -0.24256859193102911
Candidate: 0x11, Correlation: -0.24223580128142433
Candidate: 0x8, Correlation: -0.2399227711568375
Candidate: 0xdd, Correlation: -0.23962152051533997
Candidate: 0x12, Correlation: -0.23822027537795662
Candidate: 0x4a, Correlation: -0.238009978831957
Candidate: 0xd8, Correlation: -0.23242569809488126
Candidate: 0x3c, Correlation: -0.23088916915971774
Candidate: 0xea, Correlation: -0.2308374435216438
Candidate: 0xc7, Correlation: -0.23037408565353154
Candidate: 0x8a, Correlation: -0.23030213894037557
Candidate: 0x38, Correlation: -0.2302337294732212
Candidate: 0xb, Correlation: -0.22758819914072825
Candidate: 0x2e, Correlation: -0.22750710475254643
Candidate: 0xbf, Correlation: -0.22582213143860932
Candidate: 0xce, Correlation: -0.2253771792422118
Candidate: 0x27, Correlation: -0.2248526614365463
Candidate: 0x32, Correlation: -0.22203145341022779
Candidate: 0x5, Correlation: -0.2196925810946957
Candidate: 0x7c, Correlation: -0.21923884283175216
Candidate: 0x1f, Correlation: -0.2189561161917344
Candidate: 0xf9, Correlation: -0.21857001844533985
Candidate: 0xef, Correlation: -0.21856231324013334
Candidate: 0x6e, Correlation: -0.218236510788582
Candidate: 0x7e, Correlation: -0.2151785490343711
Candidate: 0xde, Correlation: -0.21486161402785947
Candidate: 0x8f, Correlation: -0.21348110999783604
Candidate: 0x14, Correlation: -0.21160656755300788
Candidate: 0x86, Correlation: -0.2105205383184692
Candidate: 0xe6, Correlation: -0.2103186492278864
Candidate: 0x1c, Correlation: -0.20658758330376248
Candidate: 0xec, Correlation: -0.2061617085741706
Candidate: 0x51, Correlation: -0.20429507385924295
Candidate: 0x35, Correlation: -0.2041696962328582
Candidate: 0x4b, Correlation: -0.20180959068379
Candidate: 0x72, Correlation: -0.20099451848644123
Candidate: 0x4c, Correlation: -0.19920066932288485
Candidate: 0xb6, Correlation: -0.19764304158604043
