Candidate: 0xc0, Correlation: -0.28402053893261725
Candidate: 0xc2, Correlation: -0.2527289750104574
Candidate: 0x80, Correlation: -0.23005730171960864
Candidate: 0xc4, Correlation: -0.22107029885809107
Candidate: 0x40, Correlation: -0.21851085991017455
Candidate: 0x0, Correlation: -0.2088615592060346
Candidate: 0xc8, Correlation: -0.1974823192758462
Candidate: 0x82, Correlation: -0.18877604101177897
Candidate: 0x42, Correlation: -0.18682112694082684
Candidate: 0x84, Correlation: -0.16930118860670132
Candidate: 0x2, Correlation: -0.1676563062602533
Candidate: 0x12, Correlation: -0.164543464212191
Candidate: 0xd2, Correlation: -0.1636719112592333
Candidate: 0x44, Correlation: -0.16064249352249768
Candidate: 0x52, Correlation: -0.15947864724956956
Candidate: 0x88, Correlation: -0.15592822807987003
Candidate: 0xd0, Correlation: -0.15154454437359824
Candidate: 0xe2, Correlation: -0.1509979859490744
Candidate: 0x92, Correlation: -0.1498831533552184
Candidate: 0x62, Correlation: -0.14776538436389094
Candidate: 0x4, Correlation: -0.14744931653001414
Candidate: 0x48, Correlation: -0.14412794918974656
Candidate: 0xf2, Correlation: -0.13931078972247216
Candidate: 0x22, Correlation: -0.1392746541357342
Candidate: 0xc6, Correlation: -0.13914802367689436
Candidate: 0xd6, Correlation: -0.13878697858778324
Candidate: 0xbc, Correlation: -0.13738120364210585
Candidate: 0xc1, Correlation: -0.13686580068963736
Candidate: 0xb8, Correlation: -0.13528277209347936
Candidate: 0x56, Correlation: -0.13352447367609216
Candidate: 0xa0, Correlation: -0.13298108826852606
Candidate: 0xb0, Correlation: -0.1327874358339284
Candidate: 0x16, Correlation: -0.1323545958356286
Candidate: 0xbe, Correlation: -0.13167994767674346
Candidate: 0x6, Correlation: -0.1299777246817167
Candidate: 0x72, Correlation: -0.12736846457665343
Candidate: 0xe0, Correlation: -0.12721039846045318
Candidate: 0x8, Correlation: -0.1267033100922918
Candidate: 0x90, Correlation: -0.12593052247956785
Candidate: 0xa2, Correlation: -0.12372151367651672
Candidate: 0xe6, Correlation: -0.12317931466004257
Candidate: 0xd4, Correlation: -0.12153035829446056
Candidate: 0x14, Correlation: -0.12067073278481266
Candidate: 0x96, Correlation: -0.11825334331656596
Candidate: 0x66, Correlation: -0.11767391651965746
Candidate: 0x50, Correlation: -0.11759481417061508
Candidate: 0x54, Correlation: -0.11686114694506992
Candidate: 0x86, Correlation: -0.11379518967413159
Candidate: 0xc3, Correlation: -0.11147473257673823
Candidate: 0xf0, Correlation: -0.11045402608891929
Candidate: 0x46, Correlation: -0.10928210486169164
Candidate: 0x94, Correlation: -0.1083191285571167
Candidate: 0xcc, Correlation: -0.10729211349527555
Candidate: 0x20, Correlation: -0.10669083403964222
Candidate: 0x60, Correlation: -0.1061199940344764
Candidate: 0x26, Correlation: -0.10557875638827391
Candidate: 0xff, Correlation: -0.10552507964680709
Candidate: 0xca, Correlation: -0.10502278010587283
Candidate: 0xe, Correlation: -0.10472773193576829
Candidate: 0xe4, Correlation: -0.10456123696398727
Candidate: 0xce, Correlation: -0.1044400204699106
Candidate: 0x4e, Correlation: -0.10380929013389353
Candidate: 0xa, Correlation: -0.10351347530993016
Candidate: 0xa4, Correlation: -0.10282249100566311
Candidate: 0x64, Correlation: -0.10193540923850913
Candidate: 0x9c, Correlation: -0.10034314955604019
Candidate: 0x32, Correlation: -0.1002519905326103
Candidate: 0x10, Correlation: -0.09950218876467427
Candidate: 0xde, Correlation: -0.09850662281428546
Candidate: 0x70, Correlation: -0.09826427340364191
Candidate: 0x4a, Correlation: -0.09670050037452237
Candidate: 0xa8, Correlation: -0.09666248608309157
Candidate: 0xda, Correlation: -0.09619163537653863
