Candidate: 0xd3, Correlation: -0.21961359486540857
Candidate: 0xff, Correlation: -0.19983625017490145
Candidate: 0xd7, Correlation: -0.19439291339251505
Candidate: 0x3, Correlation: -0.1784655524925754
Candidate: 0xd5, Correlation: -0.1776208820098603
Candidate: 0x53, Correlation: -0.1757657252930255
Candidate: 0xf3, Correlation: -0.1704347773091023
Candidate: 0x13, Correlation: -0.16790568233387204
Candidate: 0x1, Correlation: -0.15686105536346842
Candidate: 0x0, Correlation: -0.15241289473871603
Candidate: 0xd4, Correlation: -0.1474683995372493
Candidate: 0xf7, Correlation: -0.14456729024871517
Candidate: 0x7f, Correlation: -0.1416041295255755
Candidate: 0xbf, Correlation: -0.13855682791625717
Candidate: 0x57, Correlation: -0.13845378293117555
Candidate: 0xfd, Correlation: -0.1370946982798881
Candidate: 0x93, Correlation: -0.13557010686028315
Candidate: 0x17, Correlation: -0.13389083106067323
Candidate: 0xf5, Correlation: -0.13112287082646595
Candidate: 0x73, Correlation: -0.13002232208697698
Candidate: 0x55, Correlation: -0.1294941789476134
Candidate: 0x83, Correlation: -0.1266842708782083
Candidate: 0xdf, Correlation: -0.1264247983219398
Candidate: 0x3f, Correlation: -0.12530196811114142
Candidate: 0x15, Correlation: -0.12485336616297055
Candidate: 0xc3, Correlation: -0.1218712256723823
Candidate: 0x2, Correlation: -0.12049036900460515
Candidate: 0xfe, Correlation: -0.120447613164843
Candidate: 0xfb, Correlation: -0.1204045890542845
Candidate: 0xcf, Correlation: -0.11886072775931354
Candidate: 0xe3, Correlation: -0.11650271388142565
Candidate: 0xd6, Correlation: -0.11587742652440265
Candidate: 0x33, Correlation: -0.11383294411862528
Candidate: 0x54, Correlation: -0.11148434359914726
Candidate: 0xb3, Correlation: -0.11145615675349946
Candidate: 0x4, Correlation: -0.10791254518730273
Candidate: 0xf4, Correlation: -0.10764016080922688
Candidate: 0xdb, Correlation: -0.10704395471992285
Candidate: 0x14, Correlation: -0.1067495157916808
Candidate: 0xef, Correlation: -0.10604312315430033
Candidate: 0x97, Correlation: -0.10258058944648799
Candidate: 0x81, Correlation: -0.10186999003673189
Candidate: 0xc1, Correlation: -0.10034467046703135
Candidate: 0xfc, Correlation: -0.09971030006000794
Candidate: 0x80, Correlation: -0.09403126191829274
Candidate: 0x77, Correlation: -0.09371486144784712
Candidate: 0x95, Correlation: -0.09330405522354908
Candidate: 0xf, Correlation: -0.09248001361112503
Candidate: 0xc0, Correlation: -0.09211375098663356
Candidate: 0xd9, Correlation: -0.09010739685284751
Candidate: 0x5, Correlation: -0.0895637543357863
Candidate: 0x75, Correlation: -0.08915829299938001
Candidate: 0xe7, Correlation: -0.08648684573360642
Candidate: 0x9f, Correlation: -0.08403230767204421
Candidate: 0x1f, Correlation: -0.0832381527416073
Candidate: 0xd1, Correlation: -0.08224308565167743
Candidate: 0xb7, Correlation: -0.0817611474796375
Candidate: 0xa3, Correlation: -0.08003543175701486
Candidate: 0x7d, Correlation: -0.07923021379133578
Candidate: 0x43, Correlation: -0.07879202066363976
Candidate: 0xd8, Correlation: -0.07852140335744649
Candidate: 0x7, Correlation: -0.07760028074788719
Candidate: 0xdd, Correlation: -0.07741195951350385
Candidate: 0x37, Correlation: -0.07528547443838572
Candidate: 0x41, Correlation: -0.07524664231847644
Candidate: 0xb, Correlation: -0.07512776582542643
Candidate: 0x4f, Correlation: -0.07482109873397724
Candidate: 0xc2, Correlation: -0.07435835102642656
Candidate: 0xbd, Correlation: -0.07415802366015432
Candidate: 0xb5, Correlation: -0.07375788747553372
Candidate: 0xd2, Correlation: -0.0733255825473989
Candidate: 0x94, Correlation: -0.07297386867362274
Candidate: 0x40, Correlation: -0.07249935916712665
Candidate: 0x35, Correlation: -0.07170615989311924
Candidate: 0x11, Correlation: -0.07130410249491112
Candidate: 0xc7, Correlation: -0.07099820500526469
Candidate: 0xe5, Correlation: -0.06933338163450724
Candidate: 0x5f, Correlation: -0.06909645732404254
Candidate: 0x82, Correlation: -0.06892345745685041
Candidate: 0x56, Correlation: -0.06833992894959912
Candidate: 0x23, Correlation: -0.06833461532325127
Candidate: 0xf1, Correlation: -0.06760608145418821
Candidate: 0xf6, Correlation: -0.06712086808659883
Candidate: 0xf9, Correlation: -0.0668238806087184
Candidate: 0x16, Correlation: -0.0668146098714512
Candidate: 0x74, Correlation: -0.06641967042573778
Candidate: 0x7e, Correlation: -0.0658870667980236
Candidate: 0x8f, Correlation: -0.0653624334529486
Candidate: 0x7b, Correlation: -0.06507505757408669
Candidate: 0x89, Correlation: -0.06467193054867994
Candidate: 0xca, Correlation: -0.06395331757362692
Candidate: 0x76, Correlation: -0.0638521666049511
Candidate: 0x51, Correlation: -0.06356327038160771
Candidate: 0xa8, Correlation: -0.06349958321548807
Candidate: 0x6b, Correlation: -0.0634751523940022
Candidate: 0x4a, Correlation: -0.06319217384011598
Candidate: 0xbe, Correlation: -0.06312046130597514
Candidate: 0x2e, Correlation: -0.06278957824045125
Candidate: 0x12, Correlation: -0.06150895493192913
Candidate: 0xa0, Correlation: -0.0613831712323388
Candidate: 0x2c, Correlation: -0.06135547219337389
Candidate: 0x9d, Correlation: -0.0611532521553437
Candidate: 0x6f, Correlation: -0.06113962646745968
Candidate: 0xe1, Correlation: -0.06106963029905703
Candidate: 0x4b, Correlation: -0.060922795165337246
Candidate: 0xc9, Correlation: -0.06074969172453659
Candidate: 0x79, Correlation: -0.06043206738112894
Candidate: 0x3b, Correlation: -0.0603582311386618
Candidate: 0x20, Correlation: -0.06023534172041622
Candidate: 0x28, Correlation: -0.06016540780661921
Candidate: 0xb1, Correlation: -0.05982865900217017
Candidate: 0xd, Correlation: -0.059307462984282376
Candidate: 0xb6, Correlation: -0.05928643480951359
Candidate: 0xd0, Correlation: -0.05923584195684985
Candidate: 0x1d, Correlation: -0.05913344730139239
Candidate: 0x8a, Correlation: -0.05909161707385183
Candidate: 0xa9, Correlation: -0.05854833140445972
Candidate: 0x3c, Correlation: -0.058443489411347284
Candidate: 0x8c, Correlation: -0.05830111729420825
Candidate: 0xeb, Correlation: -0.0576631467856091
