Candidate: 0x89, Correlation: -0.30105198420452506
Candidate: 0x9, Correlation: -0.2766899360384123
Candidate: 0x81, Correlation: -0.2278348208839678
Candidate: 0x91, Correlation: -0.22178663032541562
Candidate: 0x88, Correlation: -0.21482556822435223
Candidate: 0x1, Correlation: -0.2051957037386772
Candidate: 0x8a, Correlation: -0.19280166838724172
Candidate: 0x8, Correlation: -0.1876616101614509
Candidate: 0xa1, Correlation: -0.18220083517438027
Candidate: 0x79, Correlation: -0.17641782130903658
Candidate: 0x8d, Correlation: -0.17632900544272692
Candidate: 0x8b, Correlation: -0.16809227516944872
Candidate: 0xa, Correlation: -0.16734624073272036
Candidate: 0xf9, Correlation: -0.16438055418576633
Candidate: 0x85, Correlation: -0.16031006475232043
Candidate: 0x99, Correlation: -0.15494222516199568
Candidate: 0xa9, Correlation: -0.15294349210430566
Candidate: 0x80, Correlation: -0.14885777573647938
Candidate: 0x87, Correlation: -0.1482342550243793
Candidate: 0x82, Correlation: -0.14511699782474838
Candidate: 0xb1, Correlation: -0.14282938453929062
Candidate: 0x11, Correlation: -0.1363034652713674
Candidate: 0x0, Correlation: -0.13424040496011533
Candidate: 0x5, Correlation: -0.13304054491962652
Candidate: 0x69, Correlation: -0.13159422752379912
Candidate: 0x86, Correlation: -0.12996817848204928
Candidate: 0xe9, Correlation: -0.12803284293381517
Candidate: 0x2, Correlation: -0.1251011704695327
Candidate: 0x8f, Correlation: -0.12479342701432719
Candidate: 0xc9, Correlation: -0.12382303828791766
Candidate: 0x92, Correlation: -0.1237744782794802
Candidate: 0x7, Correlation: -0.12018174875583199
Candidate: 0x8c, Correlation: -0.11788413975273904
Candidate: 0x8e, Correlation: -0.1174501995027345
Candidate: 0x9d, Correlation: -0.11455542426877678
Candidate: 0x84, Correlation: -0.11421001881625341
Candidate: 0xd1, Correlation: -0.11195604894625182
Candidate: 0x93, Correlation: -0.11033513637658526
Candidate: 0x71, Correlation: -0.11016258450495023
Candidate: 0x29, Correlation: -0.11006873420655262
Candidate: 0x7d, Correlation: -0.10860244629551512
Candidate: 0x19, Correlation: -0.10755461193616694
Candidate: 0x21, Correlation: -0.10714620233449593
Candidate: 0xd, Correlation: -0.10679054993277913
Candidate: 0x6, Correlation: -0.10539251952800686
Candidate: 0x49, Correlation: -0.10320128426973867
Candidate: 0xad, Correlation: -0.10279619003470414
Candidate: 0x9b, Correlation: -0.10219924052537889
Candidate: 0x83, Correlation: -0.09735536252158412
Candidate: 0xf1, Correlation: -0.09631046081617717
Candidate: 0x51, Correlation: -0.09538869836210795
Candidate: 0xab, Correlation: -0.09482027832794683
Candidate: 0xb, Correlation: -0.0933349955365714
Candidate: 0xc1, Correlation: -0.09331842537638854
Candidate: 0x7a, Correlation: -0.09330966130873693
Candidate: 0x90, Correlation: -0.09244526851722837
Candidate: 0x4, Correlation: -0.09103796022827072
Candidate: 0x78, Correlation: -0.09099356317597286
Candidate: 0xfd, Correlation: -0.09096325711633689
Candidate: 0xc, Correlation: -0.08849557848347206
Candidate: 0x9a, Correlation: -0.08518581549006393
Candidate: 0xa2, Correlation: -0.08413608120283736
Candidate: 0x7f, Correlation: -0.08311922807963282
Candidate: 0x95, Correlation: -0.0826830768570238
Candidate: 0x3, Correlation: -0.0817862740583324
Candidate: 0x31, Correlation: -0.08103755767660878
Candidate: 0xfa, Correlation: -0.08015021132571061
Candidate: 0xf8, Correlation: -0.07931334729440753
Candidate: 0xaa, Correlation: -0.07848167321592306
Candidate: 0x10, Correlation: -0.07725442879725741
Candidate: 0x61, Correlation: -0.07687295842682411
Candidate: 0xe1, Correlation: -0.07557747184298537
Candidate: 0xa3, Correlation: -0.07436576566193712
Candidate: 0xfe, Correlation: -0.07420240420775963
Candidate: 0x9f, Correlation: -0.07344409100146225
Candidate: 0xcb, Correlation: -0.0722903110321423
Candidate: 0xcd, Correlation: -0.07208528994142577
Candidate: 0x7e, Correlation: -0.07097211156979517
Candidate: 0xff, Correlation: -0.06992111444796235
Candidate: 0xd5, Correlation: -0.06858211805373614
Candidate: 0xb5, Correlation: -0.06811645946153785
Candidate: 0x7c, Correlation: -0.06757084208808799
Candidate: 0x23, Correlation: -0.06731096202167104
Candidate: 0x70, Correlation: -0.06607147200673984
Candidate: 0x42, Correlation: -0.06462981898739499
Candidate: 0x14, Correlation: -0.06363295890846664
Candidate: 0x41, Correlation: -0.06329902016525077
Candidate: 0xf0, Correlation: -0.0631676125148137
Candidate: 0x9c, Correlation: -0.06264671831000339
Candidate: 0xbf, Correlation: -0.06260118245958605
Candidate: 0xe, Correlation: -0.06222522969481426
Candidate: 0x98, Correlation: -0.06155408207654555
Candidate: 0xb0, Correlation: -0.06130889302509688
Candidate: 0xb9, Correlation: -0.06115759074089486
Candidate: 0xbd, Correlation: -0.060633018670588595
Candidate: 0xc0, Correlation: -0.0604948000799675
Candidate: 0x34, Correlation: -0.05957776128208645
Candidate: 0xdd, Correlation: -0.058956611535509185
Candidate: 0xc3, Correlation: -0.05886805694860269
Candidate: 0x94, Correlation: -0.05873951280518143
Candidate: 0xa0, Correlation: -0.058654655704343875
Candidate: 0xe6, Correlation: -0.058219515395642206
Candidate: 0x12, Correlation: -0.05792155074125935
Candidate: 0x24, Correlation: -0.05788879945447246
Candidate: 0x47, Correlation: -0.05788758764253786
Candidate: 0x73, Correlation: -0.05775625620377254
Candidate: 0x1c, Correlation: -0.05770624186858712
Candidate: 0xc5, Correlation: -0.0575927347458816
Candidate: 0x26, Correlation: -0.057471385217745516
Candidate: 0x4e, Correlation: -0.05727055727973608
Candidate: 0xe3, Correlation: -0.05712242000492674
Candidate: 0x4d, Correlation: -0.05706894524412945
Candidate: 0x13, Correlation: -0.05703980702811492
Candidate: 0xa4, Correlation: -0.05692524473318564
