Candidate: 0x4b, Correlation: -0.1792974483316571
Candidate: 0x0, Correlation: -0.16183533703136163
Candidate: 0xcb, Correlation: -0.13224698617699693
Candidate: 0x80, Correlation: -0.12541232987593656
Candidate: 0xb, Correlation: -0.12176599627058
Candidate: 0x8b, Correlation: -0.12153032888726321
Candidate: 0x4d, Correlation: -0.11827100476889504
Candidate: 0x49, Correlation: -0.11772341465876776
Candidate: 0xf8, Correlation: -0.11008337659311036
Candidate: 0xf0, Correlation: -0.1093248717109797
Candidate: 0x4f, Correlation: -0.1064535067909008
Candidate: 0xfc, Correlation: -0.1052393096593156
Candidate: 0x2, Correlation: -0.10515926720560996
Candidate: 0x40, Correlation: -0.10419202975137219
Candidate: 0xfe, Correlation: -0.10194604363111787
Candidate: 0x4c, Correlation: -0.10030775012656715
Candidate: 0xc0, Correlation: -0.10020822136926547
Candidate: 0xeb, Correlation: -0.0979850847871333
Candidate: 0xe0, Correlation: -0.09703312362000188
Candidate: 0x4a, Correlation: -0.09678781052565272
Candidate: 0x6b, Correlation: -0.09464400704880532
Candidate: 0x3b, Correlation: -0.09038862687937038
Candidate: 0x20, Correlation: -0.08863388027855672
Candidate: 0x47, Correlation: -0.08567485770435478
Candidate: 0xcf, Correlation: -0.0843825656875062
Candidate: 0x43, Correlation: -0.08345614341765539
Candidate: 0xc3, Correlation: -0.08294342918389383
Candidate: 0x4, Correlation: -0.08287881637694221
Candidate: 0xd3, Correlation: -0.08152587837275543
Candidate: 0x51, Correlation: -0.0811879506678928
Candidate: 0x78, Correlation: -0.0800031844424959
Candidate: 0xfa, Correlation: -0.07997920419791482
Candidate: 0x70, Correlation: -0.07992300140363015
Candidate: 0x2b, Correlation: -0.07977819851073562
Candidate: 0x53, Correlation: -0.07849654739836122
Candidate: 0xc7, Correlation: -0.0782873998411385
Candidate: 0x8, Correlation: -0.07801952986185239
Candidate: 0x41, Correlation: -0.07675748734996429
Candidate: 0xf2, Correlation: -0.07549088518009879
Candidate: 0x60, Correlation: -0.07462531368210164
Candidate: 0x30, Correlation: -0.0741605561607338
Candidate: 0xe3, Correlation: -0.07410328150471393
Candidate: 0xf4, Correlation: -0.07393235851067785
Candidate: 0xab, Correlation: -0.07388182595099961
Candidate: 0xa0, Correlation: -0.07383494112086991
Candidate: 0x5b, Correlation: -0.07302308209313027
Candidate: 0xc2, Correlation: -0.07227510344898298
Candidate: 0x3f, Correlation: -0.07175881027166905
Candidate: 0x10, Correlation: -0.07115316411903509
Candidate: 0x3, Correlation: -0.07104541876971578
Candidate: 0x4e, Correlation: -0.07053734639050215
Candidate: 0x45, Correlation: -0.07009935139225158
Candidate: 0x1, Correlation: -0.06984824142496354
Candidate: 0x82, Correlation: -0.06947811601781935
Candidate: 0xc9, Correlation: -0.06931623518082325
Candidate: 0xff, Correlation: -0.06895259538701275
Candidate: 0xf3, Correlation: -0.06858700196789273
Candidate: 0x55, Correlation: -0.06841753675135193
Candidate: 0x7e, Correlation: -0.06823349008470045
Candidate: 0x7c, Correlation: -0.0681942247959536
Candidate: 0xd, Correlation: -0.06811439147768249
Candidate: 0xcd, Correlation: -0.06773125315384586
Candidate: 0x9, Correlation: -0.0677025943197453
Candidate: 0xd1, Correlation: -0.0673110672757894
Candidate: 0x7, Correlation: -0.06730263336422151
Candidate: 0xc5, Correlation: -0.06679464445550581
Candidate: 0x5, Correlation: -0.06652912090175911
Candidate: 0xfd, Correlation: -0.06629716198765061
Candidate: 0xf, Correlation: -0.06560015352065067
Candidate: 0xd5, Correlation: -0.06558147422529975
Candidate: 0xc4, Correlation: -0.06540595416671915
Candidate: 0x73, Correlation: -0.0643133560279282
Candidate: 0x1e, Correlation: -0.06412304672571184
Candidate: 0xa9, Correlation: -0.06354642891623721
Candidate: 0x63, Correlation: -0.0634876130105206
Candidate: 0xb0, Correlation: -0.06306275810607104
