Candidate: 0xc2, Correlation: -0.2474763021572856
Candidate: 0x42, Correlation: -0.1923577769986218
Candidate: 0xc3, Correlation: -0.16919297250785495
Candidate: 0xc1, Correlation: -0.16643824037257887
Candidate: 0x2, Correlation: -0.15961722869209688
Candidate: 0x82, Correlation: -0.15540885771964394
Candidate: 0xc0, Correlation: -0.13500202549982943
Candidate: 0xc4, Correlation: -0.12972970469654754
Candidate: 0xbe, Correlation: -0.12758172313312774
Candidate: 0xe2, Correlation: -0.1266719946986396
Candidate: 0xff, Correlation: -0.12320189782555789
Candidate: 0x32, Correlation: -0.11810237087304847
Candidate: 0xa2, Correlation: -0.1180213839771982
Candidate: 0x43, Correlation: -0.11633999537214834
Candidate: 0xb2, Correlation: -0.1156516130324682
Candidate: 0x41, Correlation: -0.11510694674685898
Candidate: 0xbf, Correlation: -0.11420316676852743
Candidate: 0x22, Correlation: -0.11079740320785672
Candidate: 0x52, Correlation: -0.11019163327347947
Candidate: 0x72, Correlation: -0.10659568838189919
Candidate: 0x92, Correlation: -0.10617035483247574
Candidate: 0xf2, Correlation: -0.10500913385974049
Candidate: 0x62, Correlation: -0.10287162554018779
Candidate: 0x12, Correlation: -0.1018895237140068
Candidate: 0xd2, Correlation: -0.1007229074180464
Candidate: 0xba, Correlation: -0.10030230311085454
Candidate: 0xc6, Correlation: -0.09642197176571397
Candidate: 0x1f, Correlation: -0.09448242644834802
Candidate: 0xfa, Correlation: -0.09033090093054158
Candidate: 0x7f, Correlation: -0.0899627000935022
Candidate: 0xda, Correlation: -0.08975251158719981
Candidate: 0x3f, Correlation: -0.08923981096281051
Candidate: 0x9a, Correlation: -0.08804340734910775
Candidate: 0x1, Correlation: -0.08702214687189022
Candidate: 0x3, Correlation: -0.0853999679143274
Candidate: 0xca, Correlation: -0.08445126202681595
Candidate: 0xfe, Correlation: -0.08430906483637861
Candidate: 0x46, Correlation: -0.08388920374509772
Candidate: 0x86, Correlation: -0.08381179084612209
Candidate: 0x40, Correlation: -0.08316724707871699
Candidate: 0x7e, Correlation: -0.08287467627686979
Candidate: 0x83, Correlation: -0.08230454550458662
Candidate: 0x3a, Correlation: -0.08077095979668773
Candidate: 0xa6, Correlation: -0.07972950695953608
Candidate: 0x3e, Correlation: -0.07903121846213589
Candidate: 0x6, Correlation: -0.0788815187942225
