Candidate: 0xbb, Correlation: -0.298191982759574
Candidate: 0x3b, Correlation: -0.23832834393598049
Candidate: 0xfb, Correlation: -0.21971906936953148
Candidate: 0x7b, Correlation: -0.20097908083651028
Candidate: 0xbf, Correlation: -0.19261506626954694
Candidate: 0xc3, Correlation: -0.16947203852646714
Candidate: 0xbd, Correlation: -0.16497268506023685
Candidate: 0xdb, Correlation: -0.16477997675006267
Candidate: 0xcb, Correlation: -0.15397147818550064
Candidate: 0xb7, Correlation: -0.15162285139481121
Candidate: 0xb9, Correlation: -0.15121836661805907
Candidate: 0x9b, Correlation: -0.14919653775036326
Candidate: 0xbc, Correlation: -0.14722827142310585
Candidate: 0xff, Correlation: -0.14649410702720464
Candidate: 0x3f, Correlation: -0.13806895550582743
Candidate: 0xb3, Correlation: -0.135154428588849
Candidate: 0xab, Correlation: -0.13144726099825435
Candidate: 0xba, Correlation: -0.12789165399122232
Candidate: 0x1b, Correlation: -0.12453708207417209
Candidate: 0x5b, Correlation: -0.12162603200093867
Candidate: 0x43, Correlation: -0.1150249836482137
Candidate: 0x3, Correlation: -0.11400572204841232
Candidate: 0x0, Correlation: -0.11166849942021002
Candidate: 0x3d, Correlation: -0.10735099659576389
Candidate: 0x4b, Correlation: -0.10608851433946723
Candidate: 0x7f, Correlation: -0.10376025195544333
Candidate: 0xdf, Correlation: -0.10036158441633264
Candidate: 0xc7, Correlation: -0.09911979021380703
Candidate: 0xfd, Correlation: -0.09897428292047647
Candidate: 0x8b, Correlation: -0.0975849312022744
Candidate: 0x37, Correlation: -0.09673685855268212
Candidate: 0xc1, Correlation: -0.09651162215407416
Candidate: 0xb, Correlation: -0.09603770599754394
Candidate: 0x83, Correlation: -0.09547649862467164
Candidate: 0xeb, Correlation: -0.09482831473890041
Candidate: 0x39, Correlation: -0.09213146237757477
Candidate: 0xa3, Correlation: -0.0905840666466344
Candidate: 0x3c, Correlation: -0.08876581393536077
Candidate: 0x2b, Correlation: -0.08780893047275112
Candidate: 0xfe, Correlation: -0.08764313312975358
Candidate: 0x1, Correlation: -0.08641088267339479
Candidate: 0x33, Correlation: -0.0861256052553229
Candidate: 0xf7, Correlation: -0.08589354734657596
Candidate: 0xf3, Correlation: -0.08413527298569501
Candidate: 0xaf, Correlation: -0.08380208230794498
Candidate: 0xda, Correlation: -0.0831235548687486
Candidate: 0xe3, Correlation: -0.08285402975993345
Candidate: 0xbe, Correlation: -0.08244467744646025
Candidate: 0x1f, Correlation: -0.08033073756341626
