Candidate: 0x4d, Correlation: -0.2631381899960755
Candidate: 0x5d, Correlation: -0.25976289400109714
Candidate: 0xd, Correlation: -0.2375465181810928
Candidate: 0x1d, Correlation: -0.23381529862383107
Candidate: 0x49, Correlation: -0.2333599685846492
Candidate: 0x59, Correlation: -0.22924673310589572
Candidate: 0x9, Correlation: -0.2066132387520536
Candidate: 0x19, Correlation: -0.20219474178663005
Candidate: 0x0, Correlation: -0.19407595141838924
Candidate: 0x4f, Correlation: -0.19173420936174349
Candidate: 0x5f, Correlation: -0.1864414270269503
Candidate: 0x10, Correlation: -0.18583825021829775
Candidate: 0x4c, Correlation: -0.18423291060833838
Candidate: 0x40, Correlation: -0.18419617208885666
Candidate: 0x4, Correlation: -0.1836401562822801
Candidate: 0x5c, Correlation: -0.1798742643450809
Candidate: 0x50, Correlation: -0.1758206581725774
Candidate: 0x14, Correlation: -0.17556091315400874
Candidate: 0x8, Correlation: -0.17474074418485644
Candidate: 0x44, Correlation: -0.1727323967061815
Candidate: 0xcd, Correlation: -0.1722095460999936
Candidate: 0x45, Correlation: -0.1692880984483642
Candidate: 0xf, Correlation: -0.16744376259957788
Candidate: 0x48, Correlation: -0.16625665986415566
Candidate: 0xdd, Correlation: -0.1662500849103807
Candidate: 0x18, Correlation: -0.16607288025734374
Candidate: 0x55, Correlation: -0.16486864878832333
Candidate: 0x54, Correlation: -0.16452316812513523
Candidate: 0xc, Correlation: -0.16378529172353667
Candidate: 0x1f, Correlation: -0.16197294283729124
Candidate: 0x4b, Correlation: -0.16153040955406375
Candidate: 0x58, Correlation: -0.1574094810211925
Candidate: 0x5b, Correlation: -0.15571121771070534
Candidate: 0x1c, Correlation: -0.15555424485917135
Candidate: 0x1, Correlation: -0.14929970451318056
Candidate: 0x8d, Correlation: -0.1468392275453767
Candidate: 0x5, Correlation: -0.14611248821826253
Candidate: 0x15, Correlation: -0.1413558753984822
Candidate: 0x9d, Correlation: -0.1408131955614389
Candidate: 0x11, Correlation: -0.14049890944215382
Candidate: 0x41, Correlation: -0.13982692338704583
Candidate: 0x9b, Correlation: -0.13980361153970922
Candidate: 0xc9, Correlation: -0.13934244271641585
Candidate: 0x6d, Correlation: -0.13701924315580408
Candidate: 0xb, Correlation: -0.13635012849322328
Candidate: 0x1b, Correlation: -0.1359393521767209
Candidate: 0xd9, Correlation: -0.13413791159337227
Candidate: 0x7d, Correlation: -0.13342327743116453
Candidate: 0x51, Correlation: -0.13301742269701886
Candidate: 0x20, Correlation: -0.12555423598446708
Candidate: 0x93, Correlation: -0.12328217174784133
Candidate: 0x99, Correlation: -0.11695787201230093
Candidate: 0x30, Correlation: -0.11626333559117447
Candidate: 0x24, Correlation: -0.11605546415534451
Candidate: 0xdb, Correlation: -0.11550247107095493
Candidate: 0x9a, Correlation: -0.11503757658979037
Candidate: 0x2d, Correlation: -0.11462107805841061
Candidate: 0x89, Correlation: -0.11388034711805321
Candidate: 0x60, Correlation: -0.11327501410759633
Candidate: 0x4e, Correlation: -0.11270029423631442
Candidate: 0x9f, Correlation: -0.11093050882282467
Candidate: 0x3d, Correlation: -0.11022010913509168
Candidate: 0x79, Correlation: -0.10883286673889696
Candidate: 0x5e, Correlation: -0.10681039527310861
Candidate: 0x8b, Correlation: -0.1062092440395698
Candidate: 0x28, Correlation: -0.10598527221523074
Candidate: 0xbb, Correlation: -0.10589964662290109
Candidate: 0x34, Correlation: -0.10552494233817995
Candidate: 0x69, Correlation: -0.10517720514069491
Candidate: 0x64, Correlation: -0.10330173657624085
Candidate: 0x70, Correlation: -0.10271354026403504
Candidate: 0x2, Correlation: -0.10257443872225143
Candidate: 0x6, Correlation: -0.10219795110447814
Candidate: 0xdf, Correlation: -0.10038328470218758
Candidate: 0xcf, Correlation: -0.09884074110180446
Candidate: 0x92, Correlation: -0.09800257312083095
Candidate: 0x39, Correlation: -0.09779029859293874
