Candidate: 0x6c, Correlation: -0.3479339484451659
Candidate: 0x4c, Correlation: -0.33263602098088374
Candidate: 0x68, Correlation: -0.313341682203982
Candidate: 0x64, Correlation: -0.30667495578649745
Candidate: 0x48, Correlation: -0.29924936882068354
Candidate: 0x2c, Correlation: -0.29641878513185776
Candidate: 0x44, Correlation: -0.29253839455986724
Candidate: 0xc, Correlation: -0.28367855956049526
Candidate: 0x60, Correlation: -0.27411445998758915
Candidate: 0x28, Correlation: -0.26400521962219947
Candidate: 0x40, Correlation: -0.2608613998221278
Candidate: 0x8, Correlation: -0.2519349772001777
Candidate: 0x24, Correlation: -0.251813101005979
Candidate: 0x4, Correlation: -0.23979905187439837
Candidate: 0x6e, Correlation: -0.23157268984271717
Candidate: 0x6d, Correlation: -0.22227444678816133
Candidate: 0x20, Correlation: -0.22146663156514348
Candidate: 0x4e, Correlation: -0.21562004620331068
Candidate: 0x0, Correlation: -0.2098350636383186
Candidate: 0x4d, Correlation: -0.20731534560830767
Candidate: 0x7c, Correlation: -0.20064235910354364
Candidate: 0x6a, Correlation: -0.20059222253849288
Candidate: 0x69, Correlation: -0.19215904954561372
Candidate: 0x66, Correlation: -0.19006080597509684
Candidate: 0x4a, Correlation: -0.18553753554891494
Candidate: 0x5c, Correlation: -0.18473942242254804
Candidate: 0x2e, Correlation: -0.17981252630507819
Candidate: 0xec, Correlation: -0.1786471866850177
Candidate: 0x65, Correlation: -0.17861907995756784
Candidate: 0x49, Correlation: -0.17785138969500025
Candidate: 0x46, Correlation: -0.17499729724427113
Candidate: 0x2d, Correlation: -0.16979559703378663
Candidate: 0x78, Correlation: -0.16940930659195683
Candidate: 0xe, Correlation: -0.16560294856546154
Candidate: 0x45, Correlation: -0.1652107326039792
Candidate: 0xd, Correlation: -0.16422731377615274
Candidate: 0xcc, Correlation: -0.16318878107507606
Candidate: 0x74, Correlation: -0.16099253814302886
Candidate: 0x62, Correlation: -0.16029756504510723
Candidate: 0x9, Correlation: -0.15863601326668117
Candidate: 0x2, Correlation: -0.15556195490460106
Candidate: 0x58, Correlation: -0.15441594885021065
Candidate: 0x41, Correlation: -0.1543500968182321
Candidate: 0x5, Correlation: -0.15227218699146847
Candidate: 0x3c, Correlation: -0.15071462202492977
Candidate: 0x2a, Correlation: -0.150133510905906
Candidate: 0xa, Correlation: -0.14992045301730003
Candidate: 0x61, Correlation: -0.14982018227272897
Candidate: 0x54, Correlation: -0.14974341669138297
Candidate: 0x80, Correlation: -0.14897915940163314
Candidate: 0x1, Correlation: -0.14748538564911934
Candidate: 0xe8, Correlation: -0.1474122540582893
Candidate: 0x42, Correlation: -0.14695718564849042
Candidate: 0x6, Correlation: -0.14604853508552107
Candidate: 0x10, Correlation: -0.14197988771181438
Candidate: 0x29, Correlation: -0.14079730913946914
Candidate: 0xe4, Correlation: -0.13787934062251053
Candidate: 0x26, Correlation: -0.1365146941962054
Candidate: 0x1c, Correlation: -0.1361904275281525
Candidate: 0xc8, Correlation: -0.13275153753507707
Candidate: 0x70, Correlation: -0.13065820450568766
Candidate: 0xc4, Correlation: -0.1275551517261177
Candidate: 0xac, Correlation: -0.12639696388386495
Candidate: 0x25, Correlation: -0.12522387131613683
Candidate: 0x50, Correlation: -0.12108847808217443
Candidate: 0x38, Correlation: -0.12052042600296003
Candidate: 0x8c, Correlation: -0.11223939865335254
Candidate: 0x82, Correlation: -0.10942849406191145
Candidate: 0xc0, Correlation: -0.10925698374355691
Candidate: 0x34, Correlation: -0.108692234017498
Candidate: 0x22, Correlation: -0.1079911000350423
Candidate: 0xe0, Correlation: -0.10767407827311885
Candidate: 0x4f, Correlation: -0.10730720586279228
Candidate: 0x18, Correlation: -0.10642216706456356
Candidate: 0x6f, Correlation: -0.10476655718528777
Candidate: 0x88, Correlation: -0.10304729472111064
Candidate: 0x84, Correlation: -0.10281837530942693
Candidate: 0x4b, Correlation: -0.10199008023917772
Candidate: 0x12, Correlation: -0.10195117550894311
Candidate: 0xf, Correlation: -0.10133924414291277
Candidate: 0x14, Correlation: -0.09872693135719914
Candidate: 0x47, Correlation: -0.09779157763398102
Candidate: 0x21, Correlation: -0.09741342556224789
Candidate: 0xa0, Correlation: -0.09708194549798535
Candidate: 0xa8, Correlation: -0.09666184967144272
Candidate: 0xb, Correlation: -0.09645117748409143
Candidate: 0x90, Correlation: -0.09610664103380433
Candidate: 0x30, Correlation: -0.09452199086366381
Candidate: 0x3, Correlation: -0.09298867777800679
Candidate: 0x43, Correlation: -0.09292329887327655
Candidate: 0x7, Correlation: -0.09064292024227819
Candidate: 0x81, Correlation: -0.08713848452218521
Candidate: 0x7e, Correlation: -0.0844700084601562
Candidate: 0xa4, Correlation: -0.08445780942003506
Candidate: 0xff, Correlation: -0.07954595448098056
Candidate: 0x11, Correlation: -0.07821664337041746
Candidate: 0x2f, Correlation: -0.07803510423919609
Candidate: 0xdf, Correlation: -0.07764441777398173
Candidate: 0x6b, Correlation: -0.07601140062317517
Candidate: 0xdc, Correlation: -0.07474883111228967
Candidate: 0xa2, Correlation: -0.07452238851598268
Candidate: 0x7d, Correlation: -0.0738723160154065
Candidate: 0xfe, Correlation: -0.07349147126044553
Candidate: 0xbb, Correlation: -0.07236864180577945
Candidate: 0xfc, Correlation: -0.0719204954337484
Candidate: 0xde, Correlation: -0.0715931380856378
Candidate: 0xc2, Correlation: -0.06949314844798476
Candidate: 0x9b, Correlation: -0.06943830189076942
Candidate: 0xfd, Correlation: -0.06922669112868163
Candidate: 0x5e, Correlation: -0.06911701361749761
Candidate: 0x27, Correlation: -0.06887570859182468
Candidate: 0xd8, Correlation: -0.06687645820257611
Candidate: 0x67, Correlation: -0.06666397953161324
Candidate: 0xed, Correlation: -0.06612625170570322
Candidate: 0xb3, Correlation: -0.06608942450931436
Candidate: 0x7f, Correlation: -0.06486550934407803
Candidate: 0xf5, Correlation: -0.0648360674297245
Candidate: 0xae, Correlation: -0.06461089055067767
Candidate: 0x17, Correlation: -0.06430093878913781
Candidate: 0x8a, Correlation: -0.06348365133505121
Candidate: 0x93, Correlation: -0.06342046374669463
Candidate: 0x5f, Correlation: -0.06334503784718504
Candidate: 0x23, Correlation: -0.06255851605697675
Candidate: 0x86, Correlation: -0.06252399806498704
Candidate: 0xd9, Correlation: -0.06245814460423237
Candidate: 0x83, Correlation: -0.061949698521711345
Candidate: 0xee, Correlation: -0.061900287343610985
Candidate: 0x9f, Correlation: -0.06163864094448744
Candidate: 0x13, Correlation: -0.06135710710835474
Candidate: 0xf8, Correlation: -0.060856956284127676
Candidate: 0xd3, Correlation: -0.060671662811968355
Candidate: 0xb9, Correlation: -0.060658791451234206
Candidate: 0x52, Correlation: -0.06040425603837936
Candidate: 0x87, Correlation: -0.060302249452692094
Candidate: 0xb7, Correlation: -0.06027178845053732
Candidate: 0x2b, Correlation: -0.05966858932787254
Candidate: 0x32, Correlation: -0.05951523184093374
Candidate: 0xf1, Correlation: -0.05947951484840388
Candidate: 0x5d, Correlation: -0.058985028321188585
Candidate: 0xbf, Correlation: -0.058887367886230085
Candidate: 0x8f, Correlation: -0.058692546660852114
Candidate: 0xfb, Correlation: -0.05866080184545616
Candidate: 0xd7, Correlation: -0.05860939701088049
Candidate: 0x1f, Correlation: -0.05807811782769375
Candidate: 0x97, Correlation: -0.05807773699873409
Candidate: 0x99, Correlation: -0.05798913227914168
Candidate: 0xdd, Correlation: -0.0578493151352663
Candidate: 0x7a, Correlation: -0.057790316102005496
Candidate: 0x15, Correlation: -0.057759326167977604
Candidate: 0xa6, Correlation: -0.05735012302377159
Candidate: 0xdb, Correlation: -0.05718691886538134
Candidate: 0x9e, Correlation: -0.057046664492303494
Candidate: 0xef, Correlation: -0.057024336488746497
Candidate: 0xc6, Correlation: -0.05687917025883797
Candidate: 0x71, Correlation: -0.05684770707135272
Candidate: 0x3e, Correlation: -0.05625358750188151
Candidate: 0xf7, Correlation: -0.056036821001674245
Candidate: 0xd0, Correlation: -0.055890896677130424
Candidate: 0xbd, Correlation: -0.055877799409644435
Candidate: 0x92, Correlation: -0.05576601776971993
Candidate: 0x59, Correlation: -0.05562537758523626
Candidate: 0xcf, Correlation: -0.055337212040957755
Candidate: 0x1a, Correlation: -0.05497670387107273
Candidate: 0xf9, Correlation: -0.0547625924160405
Candidate: 0xb6, Correlation: -0.054608462472711165
Candidate: 0xba, Correlation: -0.0545879647811177
Candidate: 0xb1, Correlation: -0.05456606740845094
Candidate: 0xe7, Correlation: -0.05439162621362025
Candidate: 0xe6, Correlation: -0.054379687773588856
Candidate: 0x9d, Correlation: -0.054245645329339925
Candidate: 0x16, Correlation: -0.05422776075345747
Candidate: 0xe5, Correlation: -0.05408683955833793
Candidate: 0xd4, Correlation: -0.05408352228162104
Candidate: 0xca, Correlation: -0.05407288619184514
Candidate: 0x63, Correlation: -0.05388854904337486
Candidate: 0xbe, Correlation: -0.05373916030599771
Candidate: 0x95, Correlation: -0.05371915941324115
Candidate: 0xf6, Correlation: -0.0537113719324777
Candidate: 0xa1, Correlation: -0.053687105422862924
Candidate: 0xf4, Correlation: -0.05365738415366149
Candidate: 0xcb, Correlation: -0.05365122003551191
Candidate: 0xd5, Correlation: -0.05361532037413242
Candidate: 0xcd, Correlation: -0.05324545757912685
Candidate: 0x72, Correlation: -0.05323830155053916
Candidate: 0x5a, Correlation: -0.05303656504103419
Candidate: 0xce, Correlation: -0.05288562309183776
Candidate: 0xe1, Correlation: -0.05287809567311275
Candidate: 0x98, Correlation: -0.052782134820957644
Candidate: 0xd1, Correlation: -0.05269637079477116
Candidate: 0xda, Correlation: -0.052556058369667806
Candidate: 0x57, Correlation: -0.05250817963431133
Candidate: 0x8e, Correlation: -0.05250672125797288
Candidate: 0x8d, Correlation: -0.05249643308529526
Candidate: 0x8b, Correlation: -0.05229524631097573
Candidate: 0x1b, Correlation: -0.05218492854926156
Candidate: 0xad, Correlation: -0.05213817684043798
Candidate: 0x31, Correlation: -0.05210098999987224
Candidate: 0x3f, Correlation: -0.05207034833066526
Candidate: 0x91, Correlation: -0.051997599688338864
Candidate: 0xd2, Correlation: -0.051951277954971786
Candidate: 0xb5, Correlation: -0.05182922286042725
