Candidate: 0xdf, Correlation: -0.12905006835341595
Candidate: 0xff, Correlation: -0.12725620300064025
Candidate: 0xf, Correlation: -0.11933067570819215
Candidate: 0x1f, Correlation: -0.11398241262254379
Candidate: 0xcf, Correlation: -0.11043040210340864
Candidate: 0x9f, Correlation: -0.10517971385621393
Candidate: 0x8f, Correlation: -0.09986050401340611
Candidate: 0xd3, Correlation: -0.0963720805425653
Candidate: 0xef, Correlation: -0.09488619587955208
Candidate: 0x7f, Correlation: -0.09422360208715053
Candidate: 0xbf, Correlation: -0.09305397907079827
Candidate: 0x13, Correlation: -0.08959834624691149
Candidate: 0x5f, Correlation: -0.08107072266280388
Candidate: 0x3, Correlation: -0.07946812124851428
Candidate: 0x93, Correlation: -0.07821966658055314
Candidate: 0xd7, Correlation: -0.07641874796375543
Candidate: 0xc3, Correlation: -0.07499351981343197
Candidate: 0xe3, Correlation: -0.07465953930856435
Candidate: 0xb3, Correlation: -0.07383339813056973
Candidate: 0xdb, Correlation: -0.07301907336324082
Candidate: 0x3f, Correlation: -0.07233986471968688
Candidate: 0x7, Correlation: -0.07223108585881258
Candidate: 0xcb, Correlation: -0.07184938196344733
Candidate: 0xbb, Correlation: -0.07117549529529449
Candidate: 0x6f, Correlation: -0.07023999992115915
Candidate: 0x4f, Correlation: -0.0684463349261202
Candidate: 0x25, Correlation: -0.0682155534625424
Candidate: 0xd4, Correlation: -0.06792680366653693
Candidate: 0x15, Correlation: -0.06709438711137966
Candidate: 0x83, Correlation: -0.06664351207671988
Candidate: 0xb7, Correlation: -0.06520855450406035
Candidate: 0x17, Correlation: -0.06514864028220864
Candidate: 0xd2, Correlation: -0.06475637082300324
Candidate: 0xe7, Correlation: -0.06443936652891652
Candidate: 0x74, Correlation: -0.06396287580322328
Candidate: 0x73, Correlation: -0.06358627174196624
Candidate: 0xf3, Correlation: -0.06339889688122022
Candidate: 0xf5, Correlation: -0.06315528893879148
Candidate: 0x8d, Correlation: -0.06286935993284735
Candidate: 0x12, Correlation: -0.06230979893011705
Candidate: 0xf8, Correlation: -0.062236626017820436
Candidate: 0x52, Correlation: -0.06196567762955878
Candidate: 0xf6, Correlation: -0.061938519185207465
Candidate: 0x11, Correlation: -0.061899818264109924
Candidate: 0x72, Correlation: -0.06188021596184704
Candidate: 0xa9, Correlation: -0.061866289150680064
Candidate: 0x8b, Correlation: -0.06138288924522644
Candidate: 0x58, Correlation: -0.061285963366584095
Candidate: 0xe6, Correlation: -0.061033342190091884
Candidate: 0xac, Correlation: -0.06088985267837117
Candidate: 0x86, Correlation: -0.060742608119336565
Candidate: 0xeb, Correlation: -0.060110457107666486
Candidate: 0xe2, Correlation: -0.06005413791700726
Candidate: 0xb, Correlation: -0.059935504671312236
Candidate: 0x1b, Correlation: -0.05983486519867439
Candidate: 0xaf, Correlation: -0.05962695339567264
Candidate: 0x43, Correlation: -0.05946287444753762
Candidate: 0xf2, Correlation: -0.059459951525773276
Candidate: 0xa7, Correlation: -0.0592513675990963
Candidate: 0xd1, Correlation: -0.059211088986545854
Candidate: 0xa6, Correlation: -0.05823199942548941
Candidate: 0x65, Correlation: -0.058215155270635754
Candidate: 0xc7, Correlation: -0.05818398613458051
Candidate: 0xe4, Correlation: -0.05802463886858223
Candidate: 0x64, Correlation: -0.057834794394336426
Candidate: 0xd6, Correlation: -0.057826641307741074
Candidate: 0x7e, Correlation: -0.05773152479868247
Candidate: 0x29, Correlation: -0.05770709219745745
Candidate: 0x47, Correlation: -0.05767801255002081
Candidate: 0x62, Correlation: -0.05756872718630851
Candidate: 0x6b, Correlation: -0.057483876180086615
Candidate: 0xab, Correlation: -0.05742251699991768
Candidate: 0x41, Correlation: -0.057316559625723684
Candidate: 0xf1, Correlation: -0.05715460704604751
Candidate: 0xad, Correlation: -0.056893047047261995
Candidate: 0xe, Correlation: -0.056855308552878375
Candidate: 0x45, Correlation: -0.05675610554666437
