Candidate: 0x92, Correlation: -0.9098155017444874
Candidate: 0xb2, Correlation: -0.8696979097772284
Candidate: 0x12, Correlation: -0.845637366965382
Candidate: 0xfb, Correlation: -0.6956302164304271
Candidate: 0x9a, Correlation: -0.6941427750696962
Candidate: 0xa2, Correlation: -0.6833962624048059
Candidate: 0xba, Correlation: -0.677750377218843
Candidate: 0x96, Correlation: -0.6772461424158923
Candidate: 0x32, Correlation: -0.6728111310058984
Candidate: 0xb4, Correlation: -0.6575821574406172
Candidate: 0xb3, Correlation: -0.650888156586107
Candidate: 0xb6, Correlation: -0.6495587721456278
Candidate: 0xf2, Correlation: -0.6484999734560527
Candidate: 0x1a, Correlation: -0.6327035001038577
Candidate: 0x74, Correlation: -0.6291699689128715
Candidate: 0xd2, Correlation: -0.6246223647308541
Candidate: 0xc2, Correlation: -0.6229195442022774
Candidate: 0x22, Correlation: -0.6197110663528804
Candidate: 0x94, Correlation: -0.6196021813015824
Candidate: 0x16, Correlation: -0.6133574539027055
Candidate: 0xf4, Correlation: -0.6074525442629647
Candidate: 0x7c, Correlation: -0.6025755065836079
Candidate: 0x93, Correlation: -0.5939526052586286
Candidate: 0xdb, Correlation: -0.5795750426617166
Candidate: 0xfc, Correlation: -0.5785007652985021
Candidate: 0x52, Correlation: -0.5589745497041827
Candidate: 0xb, Correlation: -0.5534200220278817
Candidate: 0x14, Correlation: -0.5522111653051988
Candidate: 0x13, Correlation: -0.5285850583726474
Candidate: 0xf3, Correlation: -0.5260273336862962
Candidate: 0xfd, Correlation: -0.5179618292412933
Candidate: 0x7b, Correlation: -0.5151358472880205
Candidate: 0xff, Correlation: -0.5079269860536998
Candidate: 0xaa, Correlation: -0.5068328588768924
Candidate: 0xbb, Correlation: -0.49395195224849847
Candidate: 0xa6, Correlation: -0.4892451928183259
Candidate: 0xfa, Correlation: -0.4832037065305795
Candidate: 0x3a, Correlation: -0.4830971438150486
Candidate: 0xca, Correlation: -0.4749505503798361
Candidate: 0x78, Correlation: -0.46994378399181536
Candidate: 0xbc, Correlation: -0.4684139915582652
Candidate: 0xa4, Correlation: -0.46532206956881333
Candidate: 0x9e, Correlation: -0.4646903984592178
Candidate: 0x42, Correlation: -0.46282196514465035
Candidate: 0xbe, Correlation: -0.460322199193792
Candidate: 0xc6, Correlation: -0.4596810773147056
Candidate: 0x34, Correlation: -0.457572497091236
Candidate: 0x36, Correlation: -0.45302713612638873
Candidate: 0x33, Correlation: -0.45285353783048654
Candidate: 0x72, Correlation: -0.4497309877000331
Candidate: 0xf8, Correlation: -0.44711618575600076
Candidate: 0x84, Correlation: -0.44621175539049274
Candidate: 0x80, Correlation: -0.4440306781915739
Candidate: 0xeb, Correlation: -0.44367526446900946
Candidate: 0xb5, Correlation: -0.4393881128054783
Candidate: 0xb8, Correlation: -0.4374413173339039
Candidate: 0x54, Correlation: -0.43569950554649034
Candidate: 0xa3, Correlation: -0.43518994672108713
Candidate: 0xc4, Correlation: -0.4333739669803845
Candidate: 0xb7, Correlation: -0.43084322529471525
Candidate: 0xf6, Correlation: -0.4298684147981267
Candidate: 0x4, Correlation: -0.42327381884053017
