Candidate: 0x92, Correlation: -0.9120855025458977
Candidate: 0xb2, Correlation: -0.8672240182614678
Candidate: 0x12, Correlation: -0.8411678466411645
Candidate: 0xfb, Correlation: -0.7049115186418503
Candidate: 0x9a, Correlation: -0.6941243102061908
Candidate: 0xa2, Correlation: -0.6863624403431892
Candidate: 0x96, Correlation: -0.6799280010054432
Candidate: 0xba, Correlation: -0.6761132144227793
Candidate: 0x32, Correlation: -0.6716730112093328
Candidate: 0xb3, Correlation: -0.6626740300148709
Candidate: 0xb4, Correlation: -0.6582921809610767
Candidate: 0xb6, Correlation: -0.6552422331149964
Candidate: 0xf2, Correlation: -0.6463817463179953
Candidate: 0x74, Correlation: -0.6325759124438617
Candidate: 0x94, Correlation: -0.628658914365983
Candidate: 0xd2, Correlation: -0.6284367475489268
Candidate: 0xc2, Correlation: -0.6228074617524579
Candidate: 0x1a, Correlation: -0.609735373159532
Candidate: 0x22, Correlation: -0.609150599461653
Candidate: 0x7c, Correlation: -0.6049898499744567
Candidate: 0x93, Correlation: -0.6048717197386465
Candidate: 0x16, Correlation: -0.603414071564347
Candidate: 0xf4, Correlation: -0.5942604578339782
Candidate: 0xdb, Correlation: -0.5932103437183017
Candidate: 0xfc, Correlation: -0.5745866849044624
Candidate: 0x52, Correlation: -0.5475008337302107
Candidate: 0x14, Correlation: -0.5450962553677281
Candidate: 0xb, Correlation: -0.5388258223570109
Candidate: 0xf3, Correlation: -0.5362621574129207
Candidate: 0xfd, Correlation: -0.531779724906292
Candidate: 0x13, Correlation: -0.5219684334375665
Candidate: 0x7b, Correlation: -0.5183279631266152
Candidate: 0xff, Correlation: -0.5175360938697986
Candidate: 0xaa, Correlation: -0.5024274651788939
Candidate: 0xbb, Correlation: -0.4961484477518289
Candidate: 0xfa, Correlation: -0.4867874170645036
Candidate: 0xa6, Correlation: -0.48664044715935406
Candidate: 0xa4, Correlation: -0.4821297263527868
Candidate: 0x78, Correlation: -0.4744419335703632
Candidate: 0x3a, Correlation: -0.4693415403033129
Candidate: 0xbe, Correlation: -0.4667613338612359
Candidate: 0x9e, Correlation: -0.46500407927523896
Candidate: 0xca, Correlation: -0.46391532929541096
Candidate: 0xbc, Correlation: -0.46155493603940284
Candidate: 0x33, Correlation: -0.45919069462728224
Candidate: 0x36, Correlation: -0.4561563042085433
Candidate: 0xc6, Correlation: -0.45587285262807853
Candidate: 0xb7, Correlation: -0.45370906706329023
Candidate: 0x80, Correlation: -0.4531865915526365
Candidate: 0xb5, Correlation: -0.452900792870309
Candidate: 0xc4, Correlation: -0.45288827764119877
Candidate: 0x34, Correlation: -0.45221467757511274
Candidate: 0x42, Correlation: -0.4480101329194623
Candidate: 0x84, Correlation: -0.44791891838770126
Candidate: 0xb8, Correlation: -0.4463637969274435
Candidate: 0xa3, Correlation: -0.44316526669428535
Candidate: 0x72, Correlation: -0.44233172581559577
Candidate: 0x54, Correlation: -0.43875148094051375
Candidate: 0xf8, Correlation: -0.4372612708142029
Candidate: 0xd3, Correlation: -0.43477978520081006
Candidate: 0xeb, Correlation: -0.4331375942055943
Candidate: 0xf6, Correlation: -0.43132241897326795
Candidate: 0x8c, Correlation: -0.42405889848769557
Candidate: 0x0, Correlation: -0.4216400485307732
Candidate: 0xdd, Correlation: -0.415265894057212
Candidate: 0xdf, Correlation: -0.4135356396403165
Candidate: 0x5c, Correlation: -0.4122281257893298
Candidate: 0x4, Correlation: -0.4110766863064424
Candidate: 0x5b, Correlation: -0.4092309052520005
Candidate: 0xc3, Correlation: -0.40888165966632756
Candidate: 0x9c, Correlation: -0.40809674256587675
Candidate: 0xda, Correlation: -0.40458202800015086
Candidate: 0xd4, Correlation: -0.3996330640968632
Candidate: 0xe7, Correlation: -0.3989069753044291
Candidate: 0x98, Correlation: -0.3987068218187368
Candidate: 0xe2, Correlation: -0.39703245865412606
Candidate: 0x75, Correlation: -0.39509923145596215
Candidate: 0xd6, Correlation: -0.3929826783730952
Candidate: 0xc, Correlation: -0.3926942769423257
Candidate: 0x3c, Correlation: -0.39167404734724365
Candidate: 0x9b, Correlation: -0.3916488297533246
Candidate: 0x2a, Correlation: -0.38136220125417297
Candidate: 0x7a, Correlation: -0.37898119017498116
Candidate: 0xdc, Correlation: -0.3788210317325831
Candidate: 0x1e, Correlation: -0.3781549474644143
Candidate: 0x3, Correlation: -0.3772482141659906
Candidate: 0x97, Correlation: -0.3762668677941115
Candidate: 0x7d, Correlation: -0.37428248797396835
Candidate: 0x26, Correlation: -0.37362021609524926
Candidate: 0xd, Correlation: -0.36818985145562244
Candidate: 0x3b, Correlation: -0.3663139872057591
Candidate: 0xf5, Correlation: -0.3639593704797233
Candidate: 0x2, Correlation: -0.3629289979381281
Candidate: 0x3d, Correlation: -0.3627888717626944
Candidate: 0xf, Correlation: -0.3618827187815525
Candidate: 0x1, Correlation: -0.3583048122035834
Candidate: 0xef, Correlation: -0.35829271990086553
Candidate: 0xd7, Correlation: -0.3563156572965357
Candidate: 0x73, Correlation: -0.3553105409119107
Candidate: 0xf7, Correlation: -0.3537291590003491
Candidate: 0x8b, Correlation: -0.3536300280119642
Candidate: 0xe3, Correlation: -0.35141895313965915
Candidate: 0x7, Correlation: -0.3443447085743818
Candidate: 0xa9, Correlation: -0.33983520071912426
Candidate: 0xcb, Correlation: -0.33500102902438256
Candidate: 0x7f, Correlation: -0.3315151431295686
Candidate: 0xae, Correlation: -0.32983052260675516
Candidate: 0x11, Correlation: -0.3291468471980891
Candidate: 0x95, Correlation: -0.3252302037088001
Candidate: 0xa, Correlation: -0.3214148823697225
Candidate: 0x24, Correlation: -0.3208259725800017
Candidate: 0x1c, Correlation: -0.3191895134399625
Candidate: 0xbd, Correlation: -0.31912472788803126
Candidate: 0xa5, Correlation: -0.31863841924355996
Candidate: 0x4d, Correlation: -0.3175129776736764
Candidate: 0x4b, Correlation: -0.31610783979671137
Candidate: 0xac, Correlation: -0.31599584829982025
Candidate: 0x5a, Correlation: -0.31597277362770065
Candidate: 0xa8, Correlation: -0.31419337534845637
Candidate: 0x18, Correlation: -0.31273970547252405
Candidate: 0x62, Correlation: -0.31236890504565357
Candidate: 0xbf, Correlation: -0.3103327565801957
Candidate: 0xce, Correlation: -0.3096034763028823
Candidate: 0x56, Correlation: -0.30830559149448994
Candidate: 0xea, Correlation: -0.30468814274066003
Candidate: 0xfe, Correlation: -0.2998521715895243
Candidate: 0xcc, Correlation: -0.2998326789389301
Candidate: 0x1b, Correlation: -0.2997568010135628
Candidate: 0x4c, Correlation: -0.2993944987774101
Candidate: 0xb1, Correlation: -0.29920092558389744
Candidate: 0xe9, Correlation: -0.29833985011335823
Candidate: 0x4a, Correlation: -0.29819314387501966
Candidate: 0x6f, Correlation: -0.29722223096225936
Candidate: 0x23, Correlation: -0.2967458855436935
Candidate: 0xc0, Correlation: -0.2961596148173606
Candidate: 0xc8, Correlation: -0.29577104463378573
Candidate: 0x88, Correlation: -0.2950521709987073
Candidate: 0x67, Correlation: -0.29326005562804014
Candidate: 0x17, Correlation: -0.29101945591855205
Candidate: 0x8d, Correlation: -0.2859404409693849
Candidate: 0x3f, Correlation: -0.28496313769215886
Candidate: 0x35, Correlation: -0.2842097588935053
Candidate: 0x58, Correlation: -0.28278607510806747
Candidate: 0x3e, Correlation: -0.28196712554381664
Candidate: 0x90, Correlation: -0.2812435696790745
Candidate: 0xe5, Correlation: -0.27860303513913287
