Candidate: 0x4b, Correlation: -0.7592606212473132
Candidate: 0x1a, Correlation: -0.6871882763543844
Candidate: 0x9a, Correlation: -0.6768425571620527
Candidate: 0x2b, Correlation: -0.6297704521068573
Candidate: 0x8b, Correlation: -0.6022429308315785
Candidate: 0x3b, Correlation: -0.5965237890331067
Candidate: 0x43, Correlation: -0.5836265555587423
Candidate: 0x47, Correlation: -0.5558836487318162
Candidate: 0x49, Correlation: -0.5472438855482802
Candidate: 0x4a, Correlation: -0.540573545268586
Candidate: 0xcb, Correlation: -0.5345201284429991
Candidate: 0x3a, Correlation: -0.5215884545580692
Candidate: 0xba, Correlation: -0.5184412736246669
Candidate: 0x5a, Correlation: -0.4987833185623531
Candidate: 0x2a, Correlation: -0.49780388973268663
Candidate: 0x1b, Correlation: -0.4915976624377629
Candidate: 0x18, Correlation: -0.48919559694627646
Candidate: 0x23, Correlation: -0.48866465509998935
Candidate: 0xaa, Correlation: -0.48779605379981505
Candidate: 0x16, Correlation: -0.4877848548525279
Candidate: 0x12, Correlation: -0.48521060936840055
Candidate: 0xda, Correlation: -0.4846086245876883
Candidate: 0x92, Correlation: -0.474885688068796
Candidate: 0x9b, Correlation: -0.47468789996257954
Candidate: 0x96, Correlation: -0.4739338978220533
Candidate: 0x98, Correlation: -0.4711625508187511
Candidate: 0x6b, Correlation: -0.4691015720503694
Candidate: 0x27, Correlation: -0.4607061236960693
Candidate: 0x33, Correlation: -0.45986674038067316
Candidate: 0x3f, Correlation: -0.4463673562763986
Candidate: 0x37, Correlation: -0.43611301634038535
Candidate: 0x7b, Correlation: -0.43184133250662765
Candidate: 0x83, Correlation: -0.4219143867421648
Candidate: 0x29, Correlation: -0.4148721659262272
Candidate: 0x87, Correlation: -0.39565011296591795
Candidate: 0xab, Correlation: -0.3950347449165591
Candidate: 0x13, Correlation: -0.3925567849622951
Candidate: 0x89, Correlation: -0.38969699208330105
Candidate: 0x8a, Correlation: -0.3895539570874908
Candidate: 0x1f, Correlation: -0.38271966269306146
Candidate: 0xb, Correlation: -0.3768013068514644
Candidate: 0x41, Correlation: -0.3729262315453774
Candidate: 0x39, Correlation: -0.3708587817395956
Candidate: 0x17, Correlation: -0.36634689910976315
Candidate: 0xbb, Correlation: -0.36504821942574467
Candidate: 0x42, Correlation: -0.3640580774107012
Candidate: 0xc3, Correlation: -0.3576449833603806
Candidate: 0x2f, Correlation: -0.35730863626676834
Candidate: 0x63, Correlation: -0.3431923848024397
Candidate: 0x45, Correlation: -0.3396868853922195
Candidate: 0x46, Correlation: -0.33645135791419967
Candidate: 0x7a, Correlation: -0.3329439343740939
Candidate: 0x48, Correlation: -0.3326204171383756
Candidate: 0xc7, Correlation: -0.3261548816047376
Candidate: 0xca, Correlation: -0.3248693821976536
Candidate: 0x38, Correlation: -0.3241321295850566
Candidate: 0xfa, Correlation: -0.3237597968985407
Candidate: 0xc9, Correlation: -0.3194743004980726
Candidate: 0x36, Correlation: -0.3188120356941639
Candidate: 0x67, Correlation: -0.3169975094077299
Candidate: 0x5b, Correlation: -0.3168795693729522
Candidate: 0x32, Correlation: -0.31653195128006595
Candidate: 0xb8, Correlation: -0.312130813855587
Candidate: 0x73, Correlation: -0.31129552302681796
Candidate: 0x6a, Correlation: -0.3105958617968277
Candidate: 0xb6, Correlation: -0.30968114066793323
Candidate: 0xb2, Correlation: -0.30966947889521207
Candidate: 0x28, Correlation: -0.307244317167252
Candidate: 0x7f, Correlation: -0.3042161974227287
Candidate: 0x58, Correlation: -0.29953957272969134
Candidate: 0xea, Correlation: -0.2970342588030149
Candidate: 0x56, Correlation: -0.29397369386263356
Candidate: 0x22, Correlation: -0.29200847580829165
Candidate: 0x52, Correlation: -0.2914786416709259
Candidate: 0x26, Correlation: -0.29106227113276006
Candidate: 0xa8, Correlation: -0.2910565084625333
Candidate: 0x19, Correlation: -0.2909123962073804
Candidate: 0x10, Correlation: -0.28925458815035676
Candidate: 0xf, Correlation: -0.2891854314939843
Candidate: 0x77, Correlation: -0.2878065365358963
Candidate: 0x14, Correlation: -0.2867038995423524
Candidate: 0xd8, Correlation: -0.2813853107429103
Candidate: 0xa2, Correlation: -0.2808410409646277
Candidate: 0xdb, Correlation: -0.27841350049712305
Candidate: 0xd6, Correlation: -0.27812488845032846
Candidate: 0xd2, Correlation: -0.27786276951406275
Candidate: 0xa6, Correlation: -0.27785085478186333
Candidate: 0xe, Correlation: -0.2773632857275856
Candidate: 0x90, Correlation: -0.27315279246803315
Candidate: 0x99, Correlation: -0.27122739535482526
Candidate: 0x93, Correlation: -0.27029899013099346
Candidate: 0xb0, Correlation: -0.26912651245513414
Candidate: 0x94, Correlation: -0.2687595629326121
Candidate: 0x97, Correlation: -0.26818982714118444
Candidate: 0xf0, Correlation: -0.2676338992018107
Candidate: 0x8e, Correlation: -0.26388273180856153
Candidate: 0x85, Correlation: -0.25831227344443386
Candidate: 0x0, Correlation: -0.25824905815874594
Candidate: 0xc0, Correlation: -0.2573608369679085
Candidate: 0x69, Correlation: -0.25356716476473745
Candidate: 0x21, Correlation: -0.25316603819792527
Candidate: 0x40, Correlation: -0.2518285730554525
Candidate: 0x53, Correlation: -0.24215046922377492
Candidate: 0x3d, Correlation: -0.24169643377330596
Candidate: 0x81, Correlation: -0.24112526266744108
Candidate: 0x5f, Correlation: -0.23774572499806007
Candidate: 0xeb, Correlation: -0.23676294786853674
Candidate: 0x7, Correlation: -0.2326955422998376
Candidate: 0xd0, Correlation: -0.2275395809189261
Candidate: 0x3c, Correlation: -0.22247860878110584
