Candidate: 0xd, Correlation: -0.35955571601344355
Candidate: 0x8d, Correlation: -0.3365240905796518
Candidate: 0xb, Correlation: -0.3349817133050371
Candidate: 0x8b, Correlation: -0.3155351733281574
Candidate: 0xed, Correlation: -0.3124523229827168
Candidate: 0xe, Correlation: -0.29903437913731407
Candidate: 0x6d, Correlation: -0.28727139257365186
Candidate: 0xeb, Correlation: -0.2848338052096713
Candidate: 0x8e, Correlation: -0.28186111089329535
Candidate: 0xc, Correlation: -0.2681133829522658
Candidate: 0x9, Correlation: -0.2660544662941153
Candidate: 0x6b, Correlation: -0.26245512445603103
Candidate: 0xee, Correlation: -0.2556703245359707
Candidate: 0x4d, Correlation: -0.252998656588117
Candidate: 0x8c, Correlation: -0.2507239438656385
Candidate: 0x95, Correlation: -0.24799971390145747
Candidate: 0x89, Correlation: -0.24274794554535725
Candidate: 0x7, Correlation: -0.24140132908413608
Candidate: 0x93, Correlation: -0.24041427326409406
Candidate: 0xd5, Correlation: -0.23984824954255618
Candidate: 0x15, Correlation: -0.23879098108285562
Candidate: 0x6e, Correlation: -0.23677725100294805
Candidate: 0x55, Correlation: -0.23271459785402931
Candidate: 0xd3, Correlation: -0.23234481437874896
Candidate: 0x13, Correlation: -0.22836170505368666
Candidate: 0x4b, Correlation: -0.22826436082796941
Candidate: 0xcd, Correlation: -0.22724351600538623
Candidate: 0x9d, Correlation: -0.22603364522715028
Candidate: 0x75, Correlation: -0.2241264141087993
Candidate: 0x53, Correlation: -0.22238143050936782
Candidate: 0x87, Correlation: -0.22046317631949516
Candidate: 0x9b, Correlation: -0.22016483905099432
Candidate: 0xdd, Correlation: -0.21932365435606022
Candidate: 0xec, Correlation: -0.2192961770603611
Candidate: 0xe9, Correlation: -0.21864194345301094
Candidate: 0xb5, Correlation: -0.21841653930151989
Candidate: 0xbe, Correlation: -0.2175928548591211
Candidate: 0xf5, Correlation: -0.216448467762032
Candidate: 0x1d, Correlation: -0.2159336508364763
Candidate: 0x73, Correlation: -0.2145420523733681
Candidate: 0xdb, Correlation: -0.21245861979704184
Candidate: 0x35, Correlation: -0.21049875781975755
Candidate: 0x5d, Correlation: -0.20984745270085858
Candidate: 0xb3, Correlation: -0.20797238358688427
Candidate: 0x1b, Correlation: -0.2073855983298306
Candidate: 0xcb, Correlation: -0.20489032821586764
Candidate: 0xf3, Correlation: -0.20439529622332145
Candidate: 0x2d, Correlation: -0.20416813202994813
Candidate: 0xa, Correlation: -0.20347668290407847
Candidate: 0x6c, Correlation: -0.2033076360377458
Candidate: 0x7d, Correlation: -0.20248072844959128
Candidate: 0x5b, Correlation: -0.20134701720067052
Candidate: 0xbd, Correlation: -0.19859801626235188
Candidate: 0x33, Correlation: -0.19854186522854372
Candidate: 0x76, Correlation: -0.19573483754026716
Candidate: 0x7b, Correlation: -0.19454109810467538
Candidate: 0x96, Correlation: -0.19439700849250813
Candidate: 0xb6, Correlation: -0.19389523635654024
Candidate: 0xfd, Correlation: -0.19386545905385646
Candidate: 0x4e, Correlation: -0.19357465290672848
Candidate: 0x69, Correlation: -0.19314852243336597
Candidate: 0x94, Correlation: -0.19184440466568106
Candidate: 0xe7, Correlation: -0.1916433252617257
Candidate: 0x74, Correlation: -0.19159221063629367
Candidate: 0xbb, Correlation: -0.18974518155646938
Candidate: 0x3d, Correlation: -0.18890265266525427
Candidate: 0x91, Correlation: -0.18715608044097107
Candidate: 0x5, Correlation: -0.18673483535107746
Candidate: 0xae, Correlation: -0.18562295608903945
Candidate: 0xde, Correlation: -0.18532138776828894
Candidate: 0xfb, Correlation: -0.18367026593573937
Candidate: 0x85, Correlation: -0.18270296957201063
Candidate: 0xd1, Correlation: -0.18198366385998835
Candidate: 0x8a, Correlation: -0.18166521378248743
Candidate: 0xad, Correlation: -0.18138676701881937
Candidate: 0x8f, Correlation: -0.17901329067568167
Candidate: 0x11, Correlation: -0.17808776886702898
Candidate: 0x3b, Correlation: -0.17776060268446625
Candidate: 0x2b, Correlation: -0.17724266985559478
Candidate: 0xce, Correlation: -0.1752267330915497
