Candidate: 0x2a, Correlation: -0.3888050663675663
Candidate: 0x52, Correlation: -0.38705894308166955
Candidate: 0xb0, Correlation: -0.3471746119332667
Candidate: 0x12, Correlation: -0.3386838963625515
Candidate: 0xa0, Correlation: -0.33410270950860577
Candidate: 0xaa, Correlation: -0.32397246281482733
Candidate: 0x32, Correlation: -0.3198216987683817
Candidate: 0x62, Correlation: -0.31816025453983793
Candidate: 0x72, Correlation: -0.3180913790499994
Candidate: 0xac, Correlation: -0.31418567716387824
Candidate: 0x30, Correlation: -0.3029578365638312
Candidate: 0x42, Correlation: -0.30065561210851777
Candidate: 0x99, Correlation: -0.2948918530653385
Candidate: 0x22, Correlation: -0.2909866351747523
Candidate: 0x92, Correlation: -0.2891521500351825
Candidate: 0x9c, Correlation: -0.2876025894580242
Candidate: 0x4a, Correlation: -0.2874422376540346
Candidate: 0xa4, Correlation: -0.28678146916689207
Candidate: 0x4e, Correlation: -0.2835892683739648
Candidate: 0x8c, Correlation: -0.2830818473448108
Candidate: 0xd2, Correlation: -0.2794799973176325
Candidate: 0x1e, Correlation: -0.27573481012096746
Candidate: 0x5a, Correlation: -0.2744389798682995
Candidate: 0xa8, Correlation: -0.2719508661333978
Candidate: 0xae, Correlation: -0.27097917733151056
Candidate: 0x2e, Correlation: -0.2699169859931072
Candidate: 0x20, Correlation: -0.2691702325336323
Candidate: 0xb4, Correlation: -0.26889170571253956
Candidate: 0x6d, Correlation: -0.26795584626521846
Candidate: 0x2b, Correlation: -0.2672695762849331
Candidate: 0x3a, Correlation: -0.26722856610445733
Candidate: 0x82, Correlation: -0.2666337701317718
Candidate: 0x29, Correlation: -0.26653476796882763
Candidate: 0xa9, Correlation: -0.2633222305097854
Candidate: 0xf2, Correlation: -0.2625487957971384
Candidate: 0x2c, Correlation: -0.2624266057504721
Candidate: 0x9b, Correlation: -0.25880308368979565
Candidate: 0x3e, Correlation: -0.25818569713417044
Candidate: 0xe, Correlation: -0.25752722625747443
Candidate: 0x8a, Correlation: -0.25724753036017034
Candidate: 0x8e, Correlation: -0.25412378887770437
Candidate: 0x6a, Correlation: -0.24622197673208235
Candidate: 0xaf, Correlation: -0.2461844621000275
Candidate: 0x26, Correlation: -0.24455182187186042
Candidate: 0x28, Correlation: -0.24440557337280505
Candidate: 0x50, Correlation: -0.24423610260897757
Candidate: 0x90, Correlation: -0.24307075523337182
Candidate: 0x5e, Correlation: -0.24227416028859053
Candidate: 0x94, Correlation: -0.23944942192792065
Candidate: 0x6f, Correlation: -0.23731739553067951
