Candidate: 0x1f, Correlation: -0.3989937887323145
Candidate: 0x78, Correlation: -0.37595848966531614
Candidate: 0x7b, Correlation: -0.33386493057395994
Candidate: 0xf8, Correlation: -0.3266453202056681
Candidate: 0x79, Correlation: -0.3218017335550559
Candidate: 0x70, Correlation: -0.3085128198848905
Candidate: 0x9f, Correlation: -0.3057266402793954
Candidate: 0xf9, Correlation: -0.3026110878743051
Candidate: 0x7a, Correlation: -0.2881875082849782
Candidate: 0x7e, Correlation: -0.2864191015530279
Candidate: 0x99, Correlation: -0.28260396909324764
Candidate: 0x7c, Correlation: -0.2773915239464988
Candidate: 0x80, Correlation: -0.27654799984128964
Candidate: 0x27, Correlation: -0.2735755370682698
Candidate: 0x38, Correlation: -0.2726999249251696
Candidate: 0x83, Correlation: -0.2699855001456142
Candidate: 0x62, Correlation: -0.26450836733402017
Candidate: 0x77, Correlation: -0.26353611595107496
Candidate: 0x98, Correlation: -0.26270261499928776
Candidate: 0x23, Correlation: -0.2619135477125582
Candidate: 0x19, Correlation: -0.2583108648915403
Candidate: 0x9b, Correlation: -0.25731010588091224
Candidate: 0x90, Correlation: -0.2546129255112144
Candidate: 0xf0, Correlation: -0.2531419494833689
Candidate: 0x7f, Correlation: -0.2504280620432719
Candidate: 0x9c, Correlation: -0.2500525381949443
Candidate: 0xdf, Correlation: -0.24910629238373727
Candidate: 0xb8, Correlation: -0.24838691965975637
Candidate: 0xf, Correlation: -0.2479626960062759
Candidate: 0x1b, Correlation: -0.24588344834180897
Candidate: 0x17, Correlation: -0.2448090350909735
Candidate: 0x60, Correlation: -0.24426810764866852
Candidate: 0x1e, Correlation: -0.24110478742296168
Candidate: 0x9a, Correlation: -0.24104534280851828
Candidate: 0x71, Correlation: -0.2407921647764605
Candidate: 0x3b, Correlation: -0.24078437871824812
Candidate: 0x2f, Correlation: -0.2404365820760828
Candidate: 0x3f, Correlation: -0.24003421122726823
Candidate: 0x57, Correlation: -0.2391852045322403
Candidate: 0xa0, Correlation: -0.23915107701932298
Candidate: 0x5c, Correlation: -0.23866291630808179
Candidate: 0x61, Correlation: -0.2378753702892116
Candidate: 0x2b, Correlation: -0.23785603511988573
Candidate: 0x39, Correlation: -0.23698367026574063
Candidate: 0x5e, Correlation: -0.23566240270295594
Candidate: 0xfb, Correlation: -0.2346746882658413
Candidate: 0x73, Correlation: -0.23390434182815806
Candidate: 0x6c, Correlation: -0.2333834626134654
Candidate: 0x5b, Correlation: -0.23179209412563262
Candidate: 0x63, Correlation: -0.23150208592121213
Candidate: 0xbf, Correlation: -0.23127542417890376
Candidate: 0x58, Correlation: -0.2294518933181557
Candidate: 0x95, Correlation: -0.22537540956867497
Candidate: 0x33, Correlation: -0.22221406517341152
Candidate: 0x1c, Correlation: -0.22208378325839606
Candidate: 0xfa, Correlation: -0.22203076411371023
Candidate: 0x20, Correlation: -0.2219234022383587
Candidate: 0xf7, Correlation: -0.22191223799035859
Candidate: 0x67, Correlation: -0.22089763232575366
Candidate: 0x6f, Correlation: -0.22019648995950825
Candidate: 0x37, Correlation: -0.21994869398794994
Candidate: 0x76, Correlation: -0.2173882157555818
Candidate: 0x30, Correlation: -0.21719426081124177
Candidate: 0x68, Correlation: -0.2164179354026149
Candidate: 0xb9, Correlation: -0.21544732053513696
Candidate: 0x64, Correlation: -0.2149244675436457
Candidate: 0x18, Correlation: -0.21473652819951378
Candidate: 0xfc, Correlation: -0.21425555933599372
Candidate: 0x8b, Correlation: -0.2133402362538261
Candidate: 0xff, Correlation: -0.2132135370075721
Candidate: 0xf1, Correlation: -0.21319120139118022
Candidate: 0x5f, Correlation: -0.20961128670773838
Candidate: 0x5a, Correlation: -0.2080554771455758
Candidate: 0x7d, Correlation: -0.206761710553825
Candidate: 0x13, Correlation: -0.20623143386128617
Candidate: 0x81, Correlation: -0.20536210473472194
Candidate: 0xd8, Correlation: -0.20386860374254365
Candidate: 0x8e, Correlation: -0.20374393166767965
Candidate: 0x74, Correlation: -0.203331448163486
Candidate: 0x6e, Correlation: -0.202893456146902
Candidate: 0x6b, Correlation: -0.20266871993263647
Candidate: 0xb0, Correlation: -0.20114261064831337
Candidate: 0x89, Correlation: -0.2009387325804192
Candidate: 0x59, Correlation: -0.1997357506347295
Candidate: 0x15, Correlation: -0.19778628779587323
Candidate: 0x47, Correlation: -0.19596230012860286
Candidate: 0xa9, Correlation: -0.19531506964770556
Candidate: 0x29, Correlation: -0.19472695636225268
Candidate: 0xa1, Correlation: -0.19469219458945405
Candidate: 0x84, Correlation: -0.19255368956230698
Candidate: 0x69, Correlation: -0.19231574959398248
Candidate: 0xb, Correlation: -0.19227691473748426
Candidate: 0xa7, Correlation: -0.19145044267693354
Candidate: 0x66, Correlation: -0.1908748646048445
Candidate: 0x97, Correlation: -0.19049105739917638
Candidate: 0x96, Correlation: -0.1902252651081066
Candidate: 0x1d, Correlation: -0.1897729312564825
Candidate: 0x0, Correlation: -0.18896816451559315
Candidate: 0x87, Correlation: -0.18862144751774315
Candidate: 0x9e, Correlation: -0.1885953937459642
Candidate: 0xc6, Correlation: -0.18846772731885963
Candidate: 0x21, Correlation: -0.18743140829970112
Candidate: 0xa5, Correlation: -0.18734944430897682
Candidate: 0xa4, Correlation: -0.18707726365833935
Candidate: 0x82, Correlation: -0.18533054315082564
Candidate: 0x6d, Correlation: -0.1849176518530263
Candidate: 0x93, Correlation: -0.18339782028914592
Candidate: 0x72, Correlation: -0.18187472054551143
Candidate: 0x6a, Correlation: -0.1813631087087415
Candidate: 0x4b, Correlation: -0.18132215736042967
Candidate: 0xc3, Correlation: -0.1811348040526099
Candidate: 0x75, Correlation: -0.1809123122542632
Candidate: 0x91, Correlation: -0.17993261518416234
Candidate: 0xcf, Correlation: -0.17963208827578833
Candidate: 0x7, Correlation: -0.17916043111911528
Candidate: 0x25, Correlation: -0.1788978114354574
Candidate: 0xda, Correlation: -0.1771934635258063
Candidate: 0xbb, Correlation: -0.17680760056915015
Candidate: 0x4f, Correlation: -0.17476896776613363
Candidate: 0xc5, Correlation: -0.17300882313814267
Candidate: 0x8f, Correlation: -0.1720705868563158
Candidate: 0x22, Correlation: -0.17126914831652137
Candidate: 0xa2, Correlation: -0.17038438457515662
Candidate: 0xa3, Correlation: -0.1703816819013459
Candidate: 0x8c, Correlation: -0.17037063407678996
Candidate: 0xaf, Correlation: -0.17036943165003687
