Candidate: 0xb5, Correlation: -0.47749992416432013
Candidate: 0xb3, Correlation: -0.44423366673469095
Candidate: 0xb1, Correlation: -0.3983564863461947
Candidate: 0x35, Correlation: -0.3976441308216862
Candidate: 0x33, Correlation: -0.3764409062031937
Candidate: 0xb4, Correlation: -0.3504784789078719
Candidate: 0x5e, Correlation: -0.3455495267435122
Candidate: 0x5f, Correlation: -0.3422495875837474
Candidate: 0x77, Correlation: -0.33182421475535395
Candidate: 0x31, Correlation: -0.3294455634168806
Candidate: 0x81, Correlation: -0.32709935500686077
Candidate: 0x5a, Correlation: -0.32685419942716487
Candidate: 0xc3, Correlation: -0.32431002485065263
Candidate: 0xc5, Correlation: -0.32362179927118145
Candidate: 0xb7, Correlation: -0.3235451558294175
Candidate: 0x84, Correlation: -0.3197732224174149
Candidate: 0xa5, Correlation: -0.3182443594213618
Candidate: 0xf7, Correlation: -0.3170267596017078
Candidate: 0x1, Correlation: -0.31583880082832516
Candidate: 0x71, Correlation: -0.3156941007595794
Candidate: 0x68, Correlation: -0.3155536425772478
Candidate: 0x8c, Correlation: -0.3121367292333691
Candidate: 0x60, Correlation: -0.31145610353158
Candidate: 0x9a, Correlation: -0.31081723855831633
Candidate: 0x88, Correlation: -0.3099490897752661
Candidate: 0x87, Correlation: -0.309795524313544
Candidate: 0xde, Correlation: -0.30944127495661916
Candidate: 0xc1, Correlation: -0.30902784731307853
Candidate: 0xdf, Correlation: -0.3084952678826021
Candidate: 0x93, Correlation: -0.30661960193803045
Candidate: 0xa2, Correlation: -0.30598268653591526
Candidate: 0xf1, Correlation: -0.30343442411505545
Candidate: 0x7, Correlation: -0.30117874124368593
Candidate: 0x67, Correlation: -0.30057998280727993
Candidate: 0x6c, Correlation: -0.3000464839501605
Candidate: 0xe7, Correlation: -0.2995699193016643
Candidate: 0x75, Correlation: -0.2964409371648727
Candidate: 0x73, Correlation: -0.29581393328657885
Candidate: 0x64, Correlation: -0.2938561495378498
Candidate: 0x58, Correlation: -0.29114604662734334
Candidate: 0x83, Correlation: -0.2911337525373385
Candidate: 0xf3, Correlation: -0.28802352614114846
Candidate: 0x94, Correlation: -0.2876558466418958
Candidate: 0x25, Correlation: -0.2872353771603669
Candidate: 0x14, Correlation: -0.286929954133483
Candidate: 0xf5, Correlation: -0.28648380525171163
Candidate: 0x80, Correlation: -0.2861803399968569
Candidate: 0xc4, Correlation: -0.2853303150814476
Candidate: 0x4, Correlation: -0.2851892589909741
Candidate: 0xe0, Correlation: -0.2849032532205078
Candidate: 0x3, Correlation: -0.28375021802219036
Candidate: 0x85, Correlation: -0.28369057600233066
Candidate: 0x5c, Correlation: -0.2829428140924681
Candidate: 0x34, Correlation: -0.2826246377725227
Candidate: 0x92, Correlation: -0.27989102052960146
Candidate: 0x90, Correlation: -0.27953670074856946
Candidate: 0x62, Correlation: -0.27848557851905464
Candidate: 0x7f, Correlation: -0.2771467139285467
Candidate: 0x24, Correlation: -0.27703198655290046
Candidate: 0x78, Correlation: -0.27639928192162877
Candidate: 0xaf, Correlation: -0.2759099867234271
Candidate: 0xf8, Correlation: -0.27386014575986434
Candidate: 0x91, Correlation: -0.2735472905668386
Candidate: 0x79, Correlation: -0.2733041988070481
Candidate: 0x61, Correlation: -0.2728559393390697
Candidate: 0x5, Correlation: -0.27280751507157286
Candidate: 0x44, Correlation: -0.27169039878986684
Candidate: 0xe1, Correlation: -0.2714962046724601
Candidate: 0xbd, Correlation: -0.27147028941202944
Candidate: 0x48, Correlation: -0.2713772193137688
Candidate: 0xb9, Correlation: -0.27117462730946956
Candidate: 0x1f, Correlation: -0.2705589572522745
Candidate: 0xa3, Correlation: -0.27002321121902223
Candidate: 0xf4, Correlation: -0.26924769392593545
Candidate: 0xff, Correlation: -0.26890120382301835
Candidate: 0x6f, Correlation: -0.2679262520601477
Candidate: 0xda, Correlation: -0.26753250321236133
Candidate: 0x6b, Correlation: -0.2652610811478955
Candidate: 0xa4, Correlation: -0.26510895271420415
Candidate: 0x1e, Correlation: -0.264665259066344
Candidate: 0x11, Correlation: -0.2642510253348009
Candidate: 0x8b, Correlation: -0.26395635482153135
Candidate: 0xd4, Correlation: -0.2628216443711881
Candidate: 0x97, Correlation: -0.262767025074545
Candidate: 0x70, Correlation: -0.26218908465463137
Candidate: 0x65, Correlation: -0.26203285161838513
Candidate: 0xf9, Correlation: -0.2609128124618014
Candidate: 0xe4, Correlation: -0.25987241414322104
Candidate: 0x63, Correlation: -0.2596661686703861
Candidate: 0xe3, Correlation: -0.2587333269978636
