Candidate: 0xe0, Correlation: -0.7023487262223775
Candidate: 0xa0, Correlation: -0.553792034713201
Candidate: 0xf0, Correlation: -0.5210190018030131
Candidate: 0x60, Correlation: -0.5024982200813405
Candidate: 0xe1, Correlation: -0.4957973952202909
Candidate: 0xd0, Correlation: -0.48789070588307715
Candidate: 0xe8, Correlation: -0.4876894671948333
Candidate: 0xdf, Correlation: -0.4822129331143063
Candidate: 0xc0, Correlation: -0.4800989620888418
Candidate: 0x40, Correlation: -0.4778811599273148
Candidate: 0x80, Correlation: -0.4775458401599234
Candidate: 0x3e, Correlation: -0.4710496695738651
Candidate: 0x0, Correlation: -0.4704126857755959
Candidate: 0xb0, Correlation: -0.46711104276790094
Candidate: 0x20, Correlation: -0.461653111730754
Candidate: 0xbe, Correlation: -0.46046068742770174
Candidate: 0xde, Correlation: -0.4445545569941612
Candidate: 0xf1, Correlation: -0.4391274200334542
Candidate: 0xe2, Correlation: -0.4334898003013269
Candidate: 0xc, Correlation: -0.4329791291393692
Candidate: 0xa8, Correlation: -0.4325459379098068
Candidate: 0x70, Correlation: -0.4321451726401899
Candidate: 0xef, Correlation: -0.4276723812804436
Candidate: 0x11, Correlation: -0.4244227121317827
Candidate: 0xed, Correlation: -0.42284930330638326
Candidate: 0xe4, Correlation: -0.4158084391812052
Candidate: 0xf, Correlation: -0.41379625542603293
Candidate: 0xd, Correlation: -0.40487315063203405
Candidate: 0xdc, Correlation: -0.40065247635158113
Candidate: 0xdd, Correlation: -0.3993494916741253
Candidate: 0x42, Correlation: -0.3963764002241026
Candidate: 0xe6, Correlation: -0.39584884255536884
Candidate: 0xd8, Correlation: -0.3821380973666075
Candidate: 0xec, Correlation: -0.3817861067017285
Candidate: 0xee, Correlation: -0.37592077314335015
Candidate: 0x4c, Correlation: -0.37526029343016354
Candidate: 0xcc, Correlation: -0.373348943762918
Candidate: 0x8c, Correlation: -0.37015597036252296
Candidate: 0x41, Correlation: -0.3678906096539256
Candidate: 0x3a, Correlation: -0.3666889870591038
Candidate: 0x1f, Correlation: -0.3633892985268031
Candidate: 0x23, Correlation: -0.36268252045321364
Candidate: 0xc1, Correlation: -0.36110194739795554
Candidate: 0xc2, Correlation: -0.3610391265686456
Candidate: 0xd4, Correlation: -0.36083759136812715
Candidate: 0xa4, Correlation: -0.3588234809270461
Candidate: 0x88, Correlation: -0.3523002193995907
Candidate: 0x9f, Correlation: -0.34980534962341214
Candidate: 0xb, Correlation: -0.3496466787935896
Candidate: 0x3f, Correlation: -0.34678020454686187
